segment_id,segment_class,hamnosys_1_initial_configuration,hamnosys_2_basic_handshape,hamnosys_3_handshape_modifications,fsw,signwriting_1,signwriting_2
seg00075,handshape,Selected fingers,3_spread,flattened,None,,
seg00076,handshape,Selected fingers,3_spread,bent,S190,񃘑,
seg00077,handshape,Selected fingers,3_spread,hooked,None,,
seg00078,handshape,Selected fingers,3_spread,3finger_differshape,None,,
seg00079,handshape,Selected fingers,4_nonspread,(Selected Fingers extended),S147,񁪱,񁫁
seg00080,handshape,Selected fingers,4_nonspread,(Selected Fingers extended),S15a,񂇁,񂇑
seg00081,handshape,Selected fingers,4_nonspread,(Selected Fingers extended),S15d,񂋱,񂋡
seg00082,handshape,Selected fingers,4_nonspread,(Selected Fingers flattened),S14b,񁰱,
seg00083,handshape,Selected fingers,4_nonspread,(Selected Fingers flattened),S180,񃀑,񃀁
seg00084,handshape,Selected fingers,4_nonspread,(Selected Fingers flattened),S182,񃃑,
seg00085,handshape,Selected fingers,4_nonspread,(Selected Fingers bent),S149,񁭱,
seg00086,handshape,Selected fingers,4_nonspread,(Selected Fingers bent),S168,񂜑,
seg00087,handshape,Selected fingers,4_nonspread,(Selected Fingers bent),S16e,񂥑,
seg00088,handshape,Selected fingers,4_nonspread,(Selected Fingers bent),S170,񂨑,
seg00089,handshape,Selected fingers,4_nonspread,(Selected Fingers bent),S171,񂩱,
seg00090,handshape,Selected fingers,4_nonspread,(Selected Fingers Hooked),S202,񆃑,
seg00091,handshape,Selected fingers,4_nonspread,4finger_differshape,S1d7,񅂱,
seg00092,handshape,Selected fingers,4_spread,(Selected Fingers extended),S144,񁦁,񁦡
seg00093,handshape,Selected fingers,4_spread,(Selected Fingers extended),S14c,񁲁,
seg00094,handshape,Selected fingers,4_spread,(Selected Fingers flattened),S146,񁩑,
seg00095,handshape,Selected fingers,4_spread,(Selected Fingers flattened),S158,񂄑,
seg00096,handshape,Selected fingers,4_spread,(Selected Fingers flattened),S159,񂅱,
seg00097,handshape,Selected fingers,4_spread,(Selected Fingers bent),S145,񁧱,
seg00098,handshape,Selected fingers,4_spread,(Selected Fingers bent),S14e,񁵑,
seg00099,handshape,Selected fingers,4_spread,(Selected Fingers bent),S150,񁸑,
seg00100,handshape,Selected fingers,4_spread,(Selected Fingers Hooked),None,,
seg00101,handshape,Selected fingers,4_spread,4finger_differshape,S157,񂂱,
seg00102,handshape,Selected fingers,4_spread,4finger_differshape,S1a7,񃺱,
seg00103,handshape,Selected fingers,4_spread,4finger_differshape,S1c5,񄧱,
seg00104,handshape,Thumb Opposition,1fin_othersFist,(fingers rounded),S199,񃥱,
seg00105,handshape,Thumb Opposition,1fin_othersFist,(fingers rounded),S1e5,񅗱,
seg00106,handshape,Thumb Opposition,1fin_othersFist,(fingers rounded),S1e7,񅚱,
seg00107,handshape,Thumb Opposition,1fin_othersFist,(fingers rounded),S1eb,񅠱,
seg00108,handshape,Thumb Opposition,1fin_othersFist,(fingers rounded),S1ed,񅣡,񅢑
seg00109,handshape,Thumb Opposition,1fin_othersFist,FlattenedandInFistfingerUp,S19f,񃮱,
seg00110,handshape,Thumb Opposition,1fin_othersFist,(fingers straight),S1e4,񅖑,
seg00111,handshape,Thumb Opposition,1fin_othersFist,(fingers flattened),S1ee,񅥑,
seg00112,handshape,Thumb Opposition,1fin_othersFist,(fingers flattened),S1f0,񅨑,񅨁
seg00113,handshape,Thumb Opposition,1fin_othersFist,(fingers flattened),S1f4,񅮁,񅮑
seg00114,handshape,Thumb Opposition,2finNonspread_othersFist,(fingers rounded),S129,񀽱,
seg00115,handshape,Thumb Opposition,2finNonspread_othersFist,(fingers flattened),S13d,񁛡,񁛱
seg00116,handshape,Thumb Opposition,2finNonspread_othersFist,(fingers flattened),S13f,񁞱,
seg00117,handshape,Thumb Opposition,2finNonspread_othersFist,(fingers straight),None,,
seg00118,handshape,Thumb Opposition,2finNonspread_othersFist,FlattenedandInFistfingerUp,S1a3,񃴱,
seg00119,handshape,Thumb Opposition,2finNonspread_othersFist,FlattenedandInFistfingerUp,S1b2,񄋑,
seg00120,handshape,Thumb Opposition,2finNonspread_othersFist,FlattenedandInFistfingerUp,S1b3,񄌱,
seg00121,handshape,Thumb Opposition,2finSpread_othersFist,(fingers rounded),S128,񀼑,
seg00122,handshape,Thumb Opposition,2finSpread_othersFist,(fingers rounded),S12a,񀿑,
seg00123,handshape,Thumb Opposition,2finSpread_othersFist,(fingers flattened),S12b,񁀱,
seg00124,handshape,Thumb Opposition,2finSpread_othersFist,(fingers straight),S127,񀺱,
seg00125,handshape,Thumb Opposition,2finSpread_othersFist,FlattenedandInFistfingerUp,None,,
seg00126,handshape,Thumb Opposition,4finNonspread,(fingers rounded),S16d,񂣱,
seg00127,handshape,Thumb Opposition,4finNonspread,(fingers rounded),S173,񂬱,
seg00128,handshape,Thumb Opposition,4finNonspread,(fingers rounded),S176,񂱑,
seg00129,handshape,Thumb Opposition,4finNonspread,(fingers rounded),S177,񂲱,
seg00130,handshape,Thumb Opposition,4finNonspread,(fingers flattened),S17c,񂺑,
seg00131,handshape,Thumb Opposition,4finNonspread,(fingers flattened),S17d,񂻱,
seg00132,handshape,Thumb Opposition,4finNonspread,(fingers flattened),S185,񃇱,
seg00133,handshape,Thumb Opposition,4finNonspread,(fingers straight),S160,񂐑,
seg00134,handshape,Thumb Opposition,4finSpread,(fingers rounded),S153,񁼱,
seg00135,handshape,Thumb Opposition,4finSpread,(fingers rounded),S154,񁾑,
seg00136,handshape,Thumb Opposition,4finSpread,(fingers rounded),S155,񁿱,
seg00137,handshape,Thumb Opposition,4finSpread,(fingers flattened),S155,񁿱,
seg00138,handshape,Thumb Opposition,4finSpread,(fingers straight),None,,
seg00139,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S187,񃊱,
seg00140,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S18b,񃐱,
seg00141,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1a4,񃶁,
seg00142,handshape,Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1a5,񃷱,
