dic_gloss,synonyms,sid,FSW
Myanmar,,4,M513x527S15a10501x500S15a18488x500S2ea20495x474
နှစ်သက်သည်,like,5,M553x585S30104482x477S20500495x539S1f502492x561S1f552508x524S2c300527x518
နေပြည်တော်,Naypyidaw,1,M534x517S15a18466x490S11550478x484S26506499x500S1fc50519x495
ပုဂံ,Bagan,2,M526x522S1da11493x479S1da15501x500S20600474x498
မန္တလေး,Mandalay,3,M516x518S18d20495x493S22134484x483
