dic_gloss,synonyms,sid,FSW
ácido,,547,AS10021S2c300S20500S35000S31500M545x556S35000482x483S31500482x483S10021509x506S2c300519x533S20500507x521
acné,,548,AS1f410S20500S20500S20500S21410S30e00S34800M538x546S1f410509x500S30e00482x483S34800482x483S21410513x538S20500512x516S20500521x526S20500505x527
acompañar,,549,AS1f740S1f748S20500S26620M521x534S1f748480x503S1f740501x503S20500496x523S26620492x467
aconsejar,,550,AS15030S21400S21100S26a00S14c09M528x531S14c09473x504S15030472x470S21400508x525S21100508x506S26a00501x486
actividad,,551,AS15450S15428S2ea06S2ea12M541x524S15450524x477S15428465x477S2ea06516x509S2ea12459x509
actor,"actriz, drama, obra teatral, representación teatral, representación dramática, obra de teatro, dramaturgia",552,AS14c02S27103S20500S2fc00S14c0aS2711fS20500S37542M552x554S37542482x446S14c02504x515S14c0a459x514S20500474x540S20500514x543S27103525x493S2711f442x486S2fc00491x502
actor armado,,1049,AS1ed02S21410S22b04S1e201S3760aS20500S37609S20309S36d00S35000S30e30M544x573S1ed02525x488S22b04527x526S20309453x527S3760a498x527S36d00479x525S20500498x562S1e201490x531S30e30489x490S37609466x527S35000482x483S21410527x515
Adán,,181,AS1f720S30007S20600M538x517S30007482x482S1f720518x482S20600509x467
adecuado,"apropiado, pertinente, idóneo, oportuno, ajustado, acertado, apto",912,AS1c517S2880dS1c520S30006S20500S1c50fS2f900S20500M547x584S1c520472x535S1c50f445x551S20500462x533S30006482x483S20500521x483S2880d504x532S1c517522x500S2f900458x579
adjetivo,,369,AS1ec26S20600S10028M520x524S10028480x494S1ec26501x491S20600484x477
administrar,"dirigir, regir, gobernar, gerenciar, gestionar, conducir",433,AS10051S27103S2fd00S10059S2711fM548x523S10059465x502S10051506x502S27103521x478S2711f452x480S2fd00489x481
Adonías,,197,AS1f720S30005S20500S23004M541x545S30005482x482S1f720515x509S20500502x519S23004516x527
adulto,"mayor, maduro, próximo a la vejez",209,AS18001S30005S21100S22a00M550x522S30005482x482S18001509x502S21100536x502S22a00537x483
adversario,,1060,M527x569S10002479x534S1000a446x534S20500473x519S2df04506x548S2df1c430x548S33b00482x483S36140494x502
Afganistán (seña nativa),,823,AS1f720S27106M521x520S1f720480x493S27106506x480
aflojar el paso,tomar los asuntos con calma,1162,M540x564S14c39486x537S14c51472x532S20600518x540S21400522x555S35100482x483S31310492x488
agrupar,juntar,637,AS14c30S26502S18530S14c38S26516S18538S20500M555x521S14c30531x481S14c38445x480S26502518x499S26516466x500S20500493x510S18530473x492S18538500x492
agua,,304,M528x535S30004482x483S1f710482x520S20600506x521
aguacate,,221,M522x529S15d40503x490S16e16478x490S2b705480x471S20500491x509S21400488x524
Aguada (Santander),aguada (santander),1101,AS17811S21300S2c301S15a49M524x526S15a49480x485S17811480x474S2c301498x492S21300477x510
Ahíya,,202,AS15012S21802S22f04S37800S21410S36d00M521x527S36d00479x484S37800479x487S15012443x491S21802433x496S22f04447x473S21410458x519
ají,,244,M555x600S35d04480x449S10001498x477S20500515x478S35d04482x515S31500482x515S36e00477x547S14c03509x574S2e230536x549
ajo,,266,M522x514S21100508x490S15d39479x486S20340489x494S21400507x509
Albania (Santander),albania (santander),1102,M532x533S23600469x468S15a56505x504S37806474x510S20600479x514S19a50474x487S21400482x528
alcano,,471,AS10002S2df07S16d18S2f900M531x516S16d18469x491S2f900473x484S10002484x501S2df07511x486
aleatorio,,1236,AS1eb51S27004S2d900S21e10S15118M537x530S15118467x514S21e10472x504S1eb51507x471S27004497x496S2d900464x477
Alejandro Oviedo,,366,AS16d10S2ff00S21410S20500S19210S22b04M538x544S2ff00482x483S16d10503x485S20500504x522S19210516x471S22b04522x495S21410502x536
alfa,,1276,AS1f720S2f900S2a00aM525x513S1f720475x490S2a00a499x488S2f900482x508
álgebra,,1200,AS1ed1cS15a16S20500M520x517S1ed1c494x483S15a16481x505S20500510x503
alguno que otro,"algunos pocos, algunos",98,AS10050S10058S23704S23714S2fc00S26506S26512M553x536S10050516x464S10058468x465S23704503x504S23714457x504S2fc00493x525S26506538x482S26512447x483
almuerzo,,305,M543x543S33b00482x483S18501516x497S26a04515x518S21410521x535
alqueno,,472,AS11502S2df07S16d18S2f900M531x516S16d18470x495S2f900473x486S11502485x501S2df07511x485
alquino,,473,AS18c02S2df07S16d18S2f900M530x517S16d18470x497S2f900473x490S18c02485x500S2df07510x484
alto,"superior, supremo, super",897,AS18010S22a00S2f700S18018S22a10S2f700M543x524S18010513x509S18018458x509S22a00521x487S22a10470x488S2f700470x477S2f700522x476
