dic_gloss,synonyms,sid,FSW
BOCA,"CAVIDADE BUCAL, Boca, Cavidade bical, boca, cavidade bucal",494,M547x537S33b00482x483S10001510x507S29032524x491S29004524x491
bom,"boa, bem",15,M508x512S1f540493x488
bom-dia,,11,M542x547S1f502489x523S2ff00482x482S15d00523x483S28a09490x487
bonito,bonita,239,M557x557S30004482x483S15d01487x518S1f502537x511S26506515x518S2ea06532x542
borboleta,,177,M535x519S15d09497x496S15d01481x496S20800495x487S22113516x482S22115465x482
Braga,,4,M546x518S2ff00482x483S14400486x456S22f00521x456S20e00527x475
branco,,155,M522x557S2ff00482x483S15a01499x511S20e00495x528S22f04489x543
branco,branca,88,M522x555S2ff00482x482S15d02495x502S20e00495x527S22f04488x541
C,c,25,M508x510S16d10491x490
Cabeça,"cabeça, CABEÇA",486,M538x518S2ff00482x483S15d11515x477S20600498x462
CADERNO,,358,M523x535S15a36478x473S15a40511x465S20e00485x491S26a02486x508
cama,,79,M544x589S15d17509x508S3090a482x478S15d58483x562S15d50509x562S20500500x552S26612465x549S26606514x549
cansada,cansado,6,M554x555S20500470x459S20500518x458S14c02506x483S14c0a462x483S14c32507x531S14c3a460x530S2fb00492x445S2b705540x503S2b714446x507
Cão,"cão , cachorro, cadela",223,M532x542S30004482x483S16012505x521S20600480x522
cão,,62,M536x527S2ff00482x482S14752489x513S20600514x511
Carne,carne,222,M552x546S36a00482x477S10011511x516S20500516x507S26601530x518
Carro,carro,238,M540x529S20301473x472S20301511x472S23615460x498S23607511x499
casa,,67,M521x516S36d00479x487S20600455x484S1f701470x494
Casa de banho,,220,M536x527S33100477x492S33100465x488S33100493x474S33100500x480
casa de banho,"Casa de banho, banheiro",226,M558x530S33100482x483S10012507x506S2eb08543x498S20e00522x489
castanho,castanha,87,M555x517S36d00479x484S20600533x497S1f552511x493
catolico,,178,M538x516S36d10479x484S1f703490x493S20600516x499
cavalgar,,174,M518x524S10048489x494S10e04483x476S2ea20503x483
centro,,123,M524x518S15a39476x495S1f522481x482S20600502x500
certo,"CERTO, Certo",375,M550x527S1ce0e520x479S1ce06450x474S23603507x497S23611466x493
cha,,159,M535x594S15a36489x582S1ce40513x551S2ff00482x483S22a00515x533S1ce10513x501
chorar,CHORAR,433,M536x551S30a00482x483S2fb04491x544S10001511x501S22a04509x536S22a04523x536S34410494x504
chuva,,109,M517x535S15051489x465S22b04483x505S22b04499x505
CINEMA,,346,M526x532S10019475x502S14c20484x471S20500496x505S23606509x468
cinzento,,100,M548x517S22a04493x485S1f512493x447S21100494x465S12b10451x480S2ff00482x482S13f10519x482S22b06488x479
cinzento,,102,M549x543S21100469x507S1f512492x423S21100493x440S12b10436x507S2ff00482x458S13f10520x509S2ff00482x508S22b06487x506S22a04494x456
cinzento,,97,M552x542S2ff00480x458S1f502491x414S21100492x442S21100474x509S2ff00483x507S12b10441x508S13f10523x509S22a04492x457S22b06488x507
clara,claro,95,M545x540S20300500x525S20302482x525S14c00522x464S14c08455x464S22b07506x497S22b11469x496S2fb00492x460
CLÉBER,,468,M590x524S16d10410x504S1dc20431x493S1ea10461x502S10b10493x494S22a03491x477S1ea10542x502S11610575x491S1f502520x499
CLONAGEM,"CLONAR, CLONE",345,M557x523S1ce48481x493S1ce40498x493S20500496x478S11550542x491S11558444x491S26506521x508S26512464x508
comer,,137,M539x535S33b00482x483S18507500x508S20600517x509
comer,,75,M546x522S2ff00482x482S20600524x511S18500497x506
comer,comida,229,M552x546S33b00482x483S17707502x527S26a00525x530
Como,como,228,M543x519S30c00482x483S34d00482x483S20600521x489S17710522x504S32b40509x495
como se chamas em ligua gestual portuguesa,,484,M518x562S2ff00482x483S33e10492x505S30a40489x489S30a40501x488S11e01484x506S10002470x547S22a04478x529
comunicacao,,180,M542x529S16d10500x472S16d18483x490S27100502x498S27114458x514
comunidade,,3,M526x524S16d47502x504S16d4f479x504S2d606504x476S2d61e474x476
CONCENTRADO,,359,M538x534S2ff00482x483S15a40525x485S15a48464x486S26500524x519S26510464x518
conectar,"Conectar, CONECTAR",394,M523x524S1ce0a477x502S1ce20483x477S20800501x498S26500509x486
configuração-de-mão,,408,M521x532S20357480x492S18121491x485S21100480x469S2ef05501x514
confirmar,atestar,425,M525x606S35a04482x483S11500491x521S22a04512x533S15a36472x573S11520480x576
CONHECER,,458,M523x536S31410482x483S20500496x498S20500507x498S10000508x506
