dic_gloss,synonyms,sid,FSW
21. (datumy) (UPOL),,5602,M523x519S1dc01478x481S1f502508x487S2f900510x514S2f900483x514
22. (datumy) (UPOL),,5603,M542x519S1dc01459x481S1dc01487x481S2f900465x514S22b06512x493
23. (datumy) (UPOL),,5604,M543x519S1dc01457x481S11e01484x481S22b06513x493S2f900462x514
24. (datumy) (UPOL),,5605,M530x515S1dc01470x485S14402499x493
25. (datumy) (UPOL),,5606,M544x519S1dc01456x481S14c01484x484S2f900462x514S22b06514x492
26. (datumy) A (UPOL),,5607,M540x543S1dc01476x458S14c09460x509S1f502492x512S2f900482x491S2e400511x510
26. (datumy) B (UPOL),,5608,M545x550S1dc01473x473S26900476x451S14c09455x518S1f520488x528S2e400516x517
26. (datumy) C (UPOL),,5609,M541x547S1dc01477x476S26900481x454S14c09459x520S1f502492x523S22b26511x529
27. (datumy) A (UPOL),,5610,M544x549S14c09456x522S1dc01473x473S1dc01488x519S26900476x451S22b26514x528
27. (datumy) B (UPOL),,5611,M543x569S14c09457x497S1dc20490x493S1dc01473x453S1dc50518x539S26900477x431S23c04520x508
28. (datumy) B (UPOL),,5612,M547x547S1dc01474x475S14c09453x519S11e01488x517S22b26517x526S26900477x453
29. (datumy) A (UPOL),,5613,M548x547S1dc01472x476S14c09453x520S14401486x518S26900475x454S22b26518x526
2sluchadla_potřebuje,,1977,M522x568S1dc09440x529S31400486x482S22a02475x555S36d03479x520S15d02464x535S20500460x557S33c10492x501
2sluchadla_radost,,1975,L530x568S1dc09450x530S31400486x476S33e10496x499S36d03479x514S15d02489x530S21100490x554S23100504x550
2sluchadla_to,,1976,L522x574S1dc09450x530S31400486x476S33e10496x499S36d03479x514S26501476x541S10051474x553
2sluchadla_vím,,1974,M551x566S1dc09450x536S31400486x482S33e10496x505S36d03479x520S10020523x491S20500525x477S25900537x474
2sluchadla_vpravo,,1978,L527x569S1dc01504x539S30e00480x476S36d03479x514
3 (hodiny) B (UPOL),,5531,M529x517S11e01472x487S2e408500x484
3 (UPOL),,2606,M513x515S11e01488x485
3 hodiny (UPOL),ve 3 hodiny,3146,M513x534S11e01488x467S2e200493x502
3. (datumy) (UPOL),3. (pořadí) A (UPOL),5525,M532x512S22b06502x496S11e02468x489
3. (pořadí) B (UPOL),,5526,M512x526S11e10489x496S26900489x474
3. (pořadí) C (UPOL),,5527,M515x524S11e10492x494S26901485x476
3. (pořadí) D (UPOL),"3. (třída, ročník) B (UPOL)",5528,M524x513S11e02494x488S22f02476x488
"3. (třída, ročník) A (UPOL)",,5529,M513x520S11e01488x490S21900496x481
30 (UPOL),,3173,M523x520S11e01478x481S26904507x502
30 B (UPOL),,5629,M524x515S11e01476x485S17610508x499
300 A (UPOL),,5645,M513x528S11e01488x473S2df0c491x507
300 B (UPOL),,5646,M537x515S11e01464x485S17610496x499S17610521x499
31. (datumy) (UPOL),,5614,M524x519S11e01477x481S1f502509x487S2f900486x514S2f900511x514
4 (hodiny) A (UPOL),,5537,M514x532S14401486x468S2e200494x500
4 (hodiny) B (UPOL),,5538,M530x517S14401470x488S2e408501x484
4 (UPOL),,5073,M514x515S14401486x486
4. (datumy) (UPOL),4. (pořadí) A (UPOL),5532,M532x511S14402468x489S22b06502x490
4. (pořadí) B (UPOL),,5533,M511x527S14410489x496S26900490x474
4. (pořadí) C (UPOL),,5534,M519x521S14410497x490S26901481x479
4. (pořadí) D (UPOL),"4. (třída, ročník) B (UPOL)",5535,M523x515S14401495x486S22f02478x490
"4. (třída, ročník) A (UPOL)",,5536,M514x519S14401486x490S21900490x481
40 A (UPOL),,5631,M514x526S14401486x497S26900492x475
40 B (UPOL),,5630,M526x515S14401475x486S17610510x499
400 A (UPOL),,5647,M514x527S14401486x474S2df0c493x506
400 B (UPOL),,5648,M538x515S14401462x486S17610497x499S17610522x499
45 (UPOL),čtyřicetpět,3257,M529x528S14400472x489S14c00506x488S2f900513x523S26500478x472
45 A (UPOL),,5568,M526x520S14410474x480S2f900477x515S14c10503x480S2f900510x515
5 (hodin) A (UPOL),,5544,M515x531S14c01486x469S2e200495x499
5 (hodin) B (UPOL),,5545,M529x517S14c01471x490S2e408500x484
5 (UPOL),,5596,M513x514S14c01487x487
5-Hands example,,768,M562x539S14c10539x503S14c18514x503S20500533x528S14c18439x492S14c10450x505S20500443x527S26620452x462
5. (datumy) (UPOL),,5539,M532x512S14c02468x489S22b06502x492
5. (pořadí) B (UPOL),,5540,M512x527S14c10489x496S26900493x474
5. (pořadí) C (UPOL),,5541,M519x520S14c10496x489S26901482x480
5. (pořadí) D (UPOL),"5. (třída, ročník) B (UPOL)",5542,M522x514S14c01496x487S22f02479x489
"5. (třída, ročník) A (UPOL)",,5543,M513x518S14c01487x491S21900491x482
50 A (UPOL),,5632,M513x525S14c01487x498S26900494x476
50 B (UPOL),,5633,M525x514S14c01476x487S17610509x498
500 A (UPOL),,5649,M515x526S14c01486x475S2df0c494x505
500 B (UPOL),,5650,M537x514S14c01463x487S17610496x498S17610521x498
