dic_gloss,synonyms,sid,FSW
Ablüftzeit,,14385,M623x601S34c00377x482S35000404x482S34600465x482S34800558x483S34c00529x482S36100500x482S35c00438x482S15d20418x520S22e04421x553S15d0f491x517S26b05505x530S15a1b589x548S10050578x546S20600566x533S37806562x551S37800583x569S37800585x569S35d00587x482
Abmahnung,,9636,M600x569S34c00408x482S35000438x482S33b00468x482S34c00498x482S35d00528x482S34600556x482S10010580x516S26b00573x551
abnehmend,,9651,M577x579S34c00424x483S35000454x483S34700512x482S33b00541x481S35d00483x483S15d10556x534S15d18492x534S2f900557x563S26606518x542S2f804513x568
abrasieren,,9662,M593x584S34c00408x483S35000437x482S34c00498x481S34800557x481S35d04467x481S36100527x481S36d00415x525S37703390x503S3770b387x477S1ea02400x530S1f727403x459S23404395x570S20e00407x552S2f900411x452
Absage,,9711,M607x530S34c00409x484S35000437x483S36100467x483S34c00498x482S35d04527x481S34700555x480S10054592x500S30004555x480S10030592x427S26500593x465S20e00594x485
Absatzsäge,,14382,M624x601S34c00381x482S35000407x482S36100443x483S35d00494x483S16d58561x544S26606511x550S36100521x483S15d20411x525S15d48484x542S22e04416x556S16d58386x545S2f900388x569S16d58453x546S34c00469x483S36100556x482S34a00582x482S2f900564x569S2f900456x570S20340598x547S26600585x571S26604596x570S26600608x571
abschlagen,,9811,M577x592S34c00423x482S35000453x482S34500483x482S35c00512x482S34c00541x482S15d39469x563S15d03491x565S15d27527x527S2f900469x587S20e00493x552S26507513x550
Abschleppwagen,,23422,M616x585S34c00384x482S35000414x482S34500444x483S35c00474x483S36500521x483S34c00550x483S35d04580x482S1060a415x549S10612436x546S26626474x547S20301538x540S20307580x540S2310d571x564S2311b542x563
abschneiden,,9819,M592x620S34c00409x483S35000438x482S34500467x482S34c00526x482S34800556x482S35d00496x482S26500534x568S10e30532x590S11530535x532
abschreiben,,9831,M592x585S34c00408x483S35000433x483S34500497x482S35d04526x482S26504470x538S15d39521x538S18520531x550S20e00553x537S16020472x506S26a07560x522S18520457x557S15d39426x554S2f900426x580S2f900520x562S34c00556x482
absetzen,,9840,M577x575S34c00422x483S35000452x482S34700511x482S35d00541x482S36100481x482S18040501x552S18048467x560S27100493x531S27114451x539
absorbieren,,9912,M577x602S34c00423x482S35000452x482S34400511x482S36100481x482S35d04541x482S14401488x533S15a07501x573S2f900501x597S20300524x584S2890b519x550
absorbieren,,10089,M578x598S34c00421x482S35000452x482S34400512x482S36100482x482S35d04542x482S18517556x549S1851f430x551S1855a485x573S18552504x573S28902520x555S2891a452x557S20500497x559
abspritzen,fließen,23189,M539x588S34500482x483S14c04502x536S22f04488x574S22f04514x574
Abstechdrehmeißel,,2450,M620x602S34c00380x484S34700495x483S34700584x482S35d00532x481S35d00467x483S35000409x484S35d04557x481S2f900418x576S20350416x556S20350545x558S26700438x530S10050438x572S10040567x529S34500438x484S2f900545x578S22a04568x567
Acht_geben,,10288,M563x530S34c00454x482S35800483x482S35d00510x482S30a30461x488S10e00537x500S26500549x482S2f900550x475S30a30517x485S30a30490x489S31430518x494
Achtung,,8076,M549x534S31a00482x482S25511450x494S10e20511x503S10e28474x504S25507530x492S34c10497x503
Adolf,,23845,M584x560S1dc20524x529S35d00452x483S34c00422x482S34400481x483S35c00512x484S1f720439x543S36500543x484S10120470x529S17610495x542S1ce20562x530
Advent,,8884,M601x688S35d00451x483S36500481x482S35d00541x482S34c00422x482S34700510x482S1ce18538x553S1ce40560x547S2ef02583x537S20e00560x580S1ce20550x521S26722491x550S1ce20455x521S1ce18419x554S1ce40439x547S2ef02462x554S20e00440x578S26624434x593S1ce20551x612S1ce20445x613S2ef02451x643S2ef02565x640S1ce40425x643S1ce40540x641S1ce18405x649S1ce18522x652S20e00426x676S20e00546x673S26726480x623
Advent,"Adventskranz, Adventisten",5552,M577x581S35d00451x482S35d00541x483S34c00422x483S34700510x482S36500479x482S16d20495x561S16d00476x527S16d08495x526S16d28476x561S2d606514x542S2d61e452x542
