dic_gloss,synonyms,sid,FSW
GRANDMOTHER,,146,M554x560S2ff00482x443S20500507x457S10001520x460S2ff00483x521S1ae00524x538S22a07541x523
GRANDSON,,87,M545x612S1f502454x388S1f502454x433S1f502460x514S1f502530x588S20700454x415S2920b499x544
HAIR,,96,M559x518S22b05535x483S15611507x470S20e00522x496S36b00482x482
have,有,185,M550x552S34400482x482S15a20529x497S26500516x537S26500536x537
HE,,85,M517x521S10047483x500S26507504x478
HIGH-BLOOD-PRESSURE,,141,M530x538S36a00482x477S10023509x508S22b00492x489S2ff02478x477
hijos los  te amo,,198,
hope,望,196,M526x533S11500511x483S28902487x468S20500476x497S11549473x506
HOW-ARE-YOU,,52,M518x518S30a00482x482S15c12495x498
HOW-MANY,,64,M541x518S14420459x481S26506494x497S15c1e532x498
IMMEDIATELY,,89,M519x532S15a37496x509S1bb51488x468S21b00492x501S20500481x507
JUMP,,69,M513x568S15a16486x556S20500494x549S10e04492x514S22b00491x479S11004488x432
JUMP,,131,M513x551S10e04489x487S15a16486x539S20500492x524S22b00488x449
Kaohsiung,高雄,190,M554x560S1ec48446x476S1ec40531x476S30001482x482S30007482x482S20500475x480S20500513x479S26500506x531S26500520x531S26510480x530S26510464x530S2fb04493x554
KITCHEN,,48,M587x542S15a57414x470S20500432x487S15001448x482S22510452x462S15d02524x459S15d40547x486S15d48517x486S15d0a522x523S2d60a564x469
KNOW,,82,M526x517S15a02491x484S23404489x503S20e00474x490
LAUGH,,162,M518x536S2ff00482x482S1dc02484x512S20500494x509
LIVING-ROOM,,143,M603x539S11501445x475S11509409x473S20500439x461S22a05468x501S22a13397x498S15d02541x460S15d18534x483S15d10561x484S15d0a542x520S2d60a580x472S2d61e514x510
LOOK,,94,M518x517S2ff00482x482S10e50492x485S26520492x462
love,愛 慈愛,194,M525x519S20318476x504S14c51498x480S21100476x486
MAN-MARRY-INTO-WOMAN-,,95,
MAN-MARRY-INTO-WOMAN-'S-FAMILY,,115,M548x541S19206452x520S1f510533x459S20500461x509S26603498x472
MARRIAGE,,81,M535x526S19206468x505S1fb10515x507S20500499x494S26516464x473S26502520x474
MATURE,,147,M527x543S2ff00482x482S1f702463x523S28909470x491S14c00504x475
MAY-I,,122,M518x542S2ff00482x482S20500495x504S10008496x512
MICROWAVE,,26,M512x528S14c30487x472S2ea3a487x513
MIDDLE-AGE,,72,M527x513S18518472x495S15a10515x486S20500484x501
MONDAY,,32,M589x539S10013501x497S10001568x461S36e13480x527S2c300508x471S21000476x510S26507545x482
MONDAY,,47,M554x528S10011483x497S36e15478x472S20700464x478S2b700505x499S10001533x498
MONEY,,134,M512x528S15a30489x501S20500487x472S20500499x479S20500489x487S1da40496x498
MOTHER,,100,M586x531S2ff00482x482S20500505x493S10001515x501S1ae00570x508
NET,,84,M540x535S14c01497x476S14c39476x479S20e00491x465S25903460x511S25905521x516
NEVER,,40,M523x517S15a1a496x505S14c02481x482S20e00489x502S26504477x502
NO,,4,M544x551S1de40522x521S1de48459x521S2fb00528x496S2fb00528x473S2fb00528x450S2fb00457x498S2fb00457x473S2fb00457x449
NO,,173,M544x535S1de20522x505S1de28455x502S25100522x467S25110461x464
NO-PROBLEM,,15,M525x515S1ce10503x485S1ce48476x485S20800496x502
NO-PROBLEM,,74,M531x515S1ce10509x484S1ce48469x485S20500495x500
NOT-BAD,,59,M514x535S19a10486x515S2e200491x465
"not, no",不,193,M524x521S14c20475x479S23602507x482
OLDER-BROTHER---YOUNGER-BROTHER,,9,M541x549S2ff00482x482S25504520x503S25510471x514S20500504x502S20500485x501S1f502460x486S1f50a526x525
OLDER-BROTHER---YOUNGER-BROTHER,,103,M550x538S2ff00482x482S20500505x500S20500484x500S25500463x497S25514520x505S1f50a535x514S1f502445x483
OLDER-BROTHER---YOUNGER-SISTER,,90,M539x551S2ff00482x482S20500503x499S20500485x499S1f502462x488S1ae08523x529S25510473x513S25504512x516
OLDER-BROTHER---YOUNGER-SISTER,,179,M547x552S2ff00482x482S20500504x499S20500485x499S25500462x499S25514517x509S1f502443x485S1ae00531x530
OLDER-BROTHER-YOUNGER-BROTHER-,,41,M542x554S2ff00482x482S20500506x499S20500483x499S1f502450x476S1f50a527x530S25500462x501S25514514x517
OLDER-BROTHER-YOUNGER-BROTHER-,,106,
OLDER-SISTER,,20,M551x525S2ff00482x482S20500505x494S1ae00519x503S22a07538x496
OLDER-SISTER---YOUNGER-BROTHER,,61,M535x555S2ff00482x482S20500503x501S20500486x500S1ae08459x495S1f502520x531S25510471x519S25504513x513
OLDER-SISTER---YOUNGER-SISTER,,53,M539x550S2ff00482x482S20500504x500S20500485x500S25504514x512S25510472x513S1ae08523x528S1ae00459x491
