dic_gloss,synonyms,sid,FSW
Kaapstad,,46,M539x524S1ea50511x477S1ea58466x477S23004514x505S23014461x506
Kimberley,,157,M558x537S14000529x465S14008442x464S26705452x506S26703515x505
know,,103,M544x518S30007482x483S15a11521x485S20600507x467
lockdown,,67,M541x534S15a00460x478S15a00529x478S15a20486x478S15a20502x478S2d70d501x509S2d715470x509S20500495x466
man,father,118,M553x513S36d00479x487S15a32486x501S20600453x498S37804521x490S37906513x506
meat,,132,M533x524S15d0a481x505S20700468x488S1a311493x484S22f07512x476
meat,,133,M544x550S15d0a457x531S1a211482x488S1a311519x451S22f07500x480S20710471x520
million,,96,M525x532S15a38476x505S18d22500x491S20500492x517S22b03487x469
Monday,,55,M518x518S1cd20498x483S20500483x492S20500483x507
Monday,,62,M523x515S1cd20503x485S22214477x506
month,,105,M530x528S22a04517x492S21400470x507S15d0a482x483S21100517x473S1f542496x504S1f510495x473
mother,,115,M529x527S18c28499x474S18c0a499x512S20600471x499
motivation,,70,M547x523S15a40502x496S15a48487x496S26c08520x500S26c18453x501S21100493x477
new,,99,M532x517S15a16505x505S2880f468x484S20e00491x495S1821d503x492
nine,9,89,M510x515S18e20490x485
nineteen,19,94,M537x517S20320464x499S18e00517x484S2df04487x496
now,,140,M528x526S10c58472x475S10c50511x475S22e24492x508
now,,141,M538x517S19a30510x483S19a38463x483S22b24493x487
number,,108,M543x516S18530518x500S18538458x501S22214520x485S22214461x485
old,how old,114,M572x565S10610556x503S30005482x483S22b04556x535S21300516x512
One,,18,M507x515S10000492x485
one,1,75,M508x515S10020493x485
Pairs,,14,M511x521S10e00491x491S22120489x479
pap,"sadza, ugali",107,M523x510S16f30497x490S21900478x500
parent,,120,M518x535S2ff00482x483S20310502x520S20318483x520
Phumie,,53,M532x518S30000482x483S17620494x466S14c20491x422S20500481x475S26500508x454S26500518x454S33f00482x483
Plus,,19,M520x520S10018495x490S10012490x494S20500480x479
prefer,,74,M525x545S1c507500x520S30004482x483S20600474x519
problem,,138,M528x519S18551501x482S15a56487x507S20600472x489
Proof,,21,M534x586S31a00482x482S15d39482x547S15d31490x550S20b00489x573S10001511x500S2880c522x531
psychological,,71,M547x580S1601f456x557S20500537x476S20710484x564S22f03458x532S30007482x483S22c03475x498S16040484x531S16010513x466
ready,,126,M583x515S11a21448x488S11a2f417x486S22b26486x495S11a27557x488S11a29526x488
Remember,,7,M542x518S30007482x483S11a11516x481S20600493x468
room,,142,M532x533S11a04501x467S11a0c483x467S27a02504x504S27a0a468x504
Saturday,,63,M518x540S2ff00482x483S1ba02483x520S21e00469x525
Science,,45,M533x531S1f521511x469S1f529468x475S23100507x502S23114471x505S2fb04494x525
seven,"7, L",87,M512x515S1dc20488x485
seventeen,17,92,M540x516S20320461x498S1dc00516x484S2df04484x495
sign name,"signname, sign-name",134,M541x553S19248485x534S19240496x534S19210520x490S2ff00482x483S2a603512x512
six,6,86,M508x512S1f526493x488
sixteen,16,91,M538x511S20320462x493S1f500514x493S2df04485x490
social,,131,M525x534S1f61a475x510S2eb3a493x482S1f616475x466
speaker,"lecturer, preacher",147,M551x551S14c10519x467S15a16506x539S36d00479x493S37900519x496S37909519x497S26f00511x449
Sunday,,73,M546x536S36d00479x473S36d00480x532S1824a455x465S18242531x466S22b04505x498S22b14480x498S20e00482x481S20e00507x481
Sweep,,39,M539x522S15d43490x484S15d3a468x503S20f00461x495S2a30c516x478
ten,10,90,M529x516S14c20506x485S14c28472x484
Test,,22,M546x528S10058484x498S10050501x490S21100492x472S26c18454x505S26c08519x509
thirteen,13,79,M510x521S1cd20490x491S21b00500x479
thousand,,95,M518x538S30004482x483S10010486x508S26604466x502S20500507x522
three,3,80,M510x515S1cd20490x485
Thursday,,60,M521x515S18620503x485S22214479x505
today,,139,M528x525S10c58472x476S10c50511x476S23024489x507
toilet,,123,M526x525S11541488x498S11549474x498S20600483x475S21410511x491
tool,tools,135,M554x541S1150a452x492S10e14469x459S10e40539x500S1150a520x493S20700446x471S20700531x471S23700479x520
Train,,34,M525x523S1fb51493x495S26c07505x477S21100479x484S10049476x493
train,,100,M532x565S34600482x483S11540517x532S11548463x532S2ea28490x540
tree,,148,M567x543S14c10519x458S15a1a506x531S36d00479x484S37900519x487S37909519x488S2e230548x469
try,,127,M533x533S19a09473x477S17740507x481S2c311467x508S2c305506x509S20800499x467
Tuesday,,58,M523x515S1ba20503x486S22214478x504
twelve,12,77,M508x521S10e20493x491S21b00496x479
two,2,78,M508x515S10e20493x485
Uganda,uganda,159,M521x523S15d39479x477S1f047498x493S20601486x481
Understand,,12,M534x517S30007482x482S21d00516x450S10010511x460
video,,69,M567x539S10e20531x461S11520464x509S37901538x491S21100554x516S1815a530x498S1815a454x496S2c700434x509
Vocabulary,,8,M524x525S10049477x494S10e51494x500S20500478x486S20500493x475
Wednesday,,59,M523x515S1a420503x485S22214477x505
Whatsapp,whatsapp,98,M547x528S18617508x474S1861f463x473S20500494x484S27200507x508S27214453x509
who,,111,M548x551S34600452x482S18100530x522S20600502x521S30004512x483
why,,109,M521x523S10011467x493S36d00479x496S20500471x478
Wilma,,48,M521x527S1475a480x473S18720479x491S26b06503x500
woman,,116,M564x531S15a1e515x497S15a12515x478S36d00479x469S2a602547x480S36d00479x527
woman,mother,117,M521x527S36d00479x473S15a02473x499S22b06490x511S20500482x486S20500508x486
Worry,,31,M563x553S15002506x516S1500a474x526S2e500540x526S2e518445x524S30c00482x482
Xhosa,xhosa,151,M516x525S10011495x495S10019485x495S20600490x476
zero,O,85,M508x508S17620492x492
Zulu,,51,M522x538S37701500x499S3770a509x514S37701503x514S18520479x485S26500481x462S26500493x462
Zulu,zulu,149,M533x560S33000476x483S10a00518x511S10a08467x511S26b24486x542
Zulu,zulu,150,M540x531S33000476x483S1eb00515x512S1eb08460x512S20800530x497S20800461x499
