dic_gloss,synonyms,sid,FSW
64,,3585,M533x518S1f901509x494S21600525x482S26506491x504S14400467x482
64,,3603,M518x535S1f901487x514S21600503x503S22a04505x483S14400482x465
65,,3549,M538x517S1f901514x495S21600530x483S2df08489x494S14c00462x486
65,,3584,M534x519S1f901510x494S21600526x482S26506492x504S14c00466x488
65,,3604,M518x535S1f901487x514S21600503x503S22a04505x483S14c00481x466
66,,3528,M523x515S2d604494x502S1f720477x486
66,,3532,M522x518S2d604493x505S1f701477x482
67,,3550,M538x518S1f901514x495S21600530x483S2df08489x494S1dc01462x488
67,,3583,M532x518S1f901508x494S21600524x482S26506490x504S1dc01467x485
67,,3605,M518x533S1f901487x512S21600503x501S22a04505x481S1dc01481x468
68,,3551,M539x517S1f901515x496S21600531x484S2df08490x495S11e01461x483
68,,3582,M534x518S1f901510x494S21600526x482S26506492x504S11e01465x487
68,,3606,M520x534S1f901489x513S21600505x502S22a04507x482S11e01479x467
69,,3552,M536x517S1f901512x496S21600528x484S2df08487x495S14403464x488
69,,3581,M534x518S1f901510x494S21600526x482S14403466x487S26506492x504
69,,3607,M521x532S1f901490x511S21600506x500S22a04508x480S14403478x469
70,,3553,M518x520S1dc01481x490S22104489x479S22a04505x503
71,,3554,M519x542S1dc01481x512S22104488x504S22a04506x499S10000487x457
72,,3555,M520x540S1dc01480x510S22104487x502S22a04505x497S10e00505x459
73,,3556,M519x541S1dc01480x511S22104487x503S22a04505x498S18700501x459
74,,3557,M519x542S1dc01481x512S22104488x504S22a04506x499S14400497x458
75,,3558,M521x541S1dc01479x511S22104486x503S22a04504x498S14c00498x459
76,,3559,M520x535S1dc01479x505S22104486x497S22a04504x492S1f701499x464
77,,3529,M525x522S2d604496x509S1dc20475x478
77,,3533,M520x523S2d604491x510S1dc01479x476
78,,3560,M525x538S1dc01474x508S22104481x500S22a04499x495S11e01500x461
79,,3561,M526x539S1dc01474x509S22104481x501S22a04499x496S14403497x460
80,,3562,M519x521S22a04506x506S22104490x479S11e01480x490
81,,3563,M522x538S22a04506x500S22104488x497S11e01478x508S10000507x462
82,,3564,M520x541S22a04507x503S22104489x500S11e01479x511S10e00502x459
83,,3565,M520x538S22a04507x500S22104489x497S11e01479x508S18700502x462
84,,3566,M522x539S22a04506x501S22104488x498S11e01478x509S14400500x461
85,,3567,M522x540S22a04506x502S22104488x499S11e01478x510S14c00499x459
86,,3568,M523x534S22a04505x496S22104487x493S11e01477x504S1f701502x466
87,,3569,M522x537S22a04505x499S22104487x496S11e01477x507S1dc01499x462
88,,3530,M525x524S2d604496x511S11e20474x476
88,,3534,M524x523S2d604495x510S11e01475x477
89,,3570,M522x537S22a04505x499S22104487x496S11e01477x507S14403493x463
90,,3571,M520x521S14403480x492S21600512x479S22a07505x507
91,,3572,M536x520S14403507x482S21600499x512S26506484x492S10000464x479
92,,3573,M537x521S14403508x483S21600500x513S26506486x491S10e00462x478
93,,3574,M536x520S14403507x482S21600499x512S26506485x490S18700464x480
94,,3575,M539x521S14403510x483S21600502x513S26506488x491S14400461x478
95,,3576,M542x523S14403513x485S21600505x515S26506491x493S14c00458x477
96,,3577,M537x523S14403508x485S21600500x515S26506486x493S1f701462x476
97,,3578,M540x525S14403511x487S21600503x517S26506489x495S1dc01460x475
98,,3579,M538x523S14403509x485S21600501x515S26506487x493S11e01462x476
99,,3531,M526x521S2d604497x508S14403473x480
100,,3580,M510x520S26506489x506S16d20493x479
150,,5637,M532x514S16d20469x494S17e20509x498S26506491x498S22104509x486
200,tweehonderd,7475,M520x514S11800481x487S2df08499x489
300,,5538,M531x515S18600470x485S18b20511x485S26506492x500
300,,5539,M511x535S18600490x479S2df08490x514S21600495x465
300,driehonderd,7476,M522x515S18b00478x485S2df08501x492
365,,7686,M536x542S18600465x460S14c00506x459S2df08465x495S26506490x476S22a04512x497S1f901507x521S21600528x512
366,,7687,M551x528S18600449x472S26506474x488S2df08449x507S1f701493x481S2d504514x497S1f701530x478
400,vierhonderd,7477,M523x516S14500477x485S2df08502x494
400,vierhonderd,7478,M523x516S14500477x485S2df08502x494
500,,5632,M532x516S14c00468x485S16d20515x495S26506495x498
500,vijfhonderd,7479,M524x516S15000476x485S2df08503x492
1900,,5691,M550x540S16d20505x520S26506526x522S14c29467x461S14421503x461S2a205529x485S2a21d450x485
1914,,5689,M552x568S14454506x537S26900512x514S26506534x489S16d20515x485S14421503x432S14c29467x432S2a205531x455S2a21d448x458
1918,,5754,M554x564S14c29465x436S2a21d446x462S2a205533x462S11e01469x534S16d20502x500S26506522x503S14421506x436S26502499x542S12910518x537
2000,,8032,M530x526S15d48470x493S20500494x505S10e00515x474S22e03505x507
2000,,8033,M539x538S15d48461x493S20500485x505S10e00509x463S10e02496x504S22a04526x487S26502510x524
2011,,4702,M538x565S10e00511x435S20500486x486S26502507x501S21b00509x523S10100498x535S15d48463x474S10e02498x482S22a04525x465
2012,,8036,M538x565S10e00511x436S20500486x487S26502507x502S21b00505x523S22a04525x466S15d48463x475S10e02498x483S10f00502x535
2013,,8037,M538x570S10e00511x430S20500486x481S26502507x496S22a04525x460S10e02498x477S15d48463x469S18754509x541S26900510x520
2014,,8038,M538x573S10e00511x428S20500486x479S26502507x494S22a04525x458S10e02498x475S15d48463x467S26900510x518S14454505x542
2015,,8039,M538x572S10e00511x428S20500486x479S26502507x494S22a04525x458S10e02498x475S15d48463x467S26900510x518S14c54506x541
