dic_gloss,synonyms,sid,FSW
name,,176,M514x522S15a18485x478S1f502492x498S20500501x485S2f900503x478
name,,177,M521x519S36d00479x482S1ce10485x489S20500478x494
Nani,,11,M508x533S10020492x467S23106491x507
ne,,33,M511x516S14c04488x485
ni,,71,M515x508S10e02485x493
no,,160,M524x515S10020509x485S2ef04477x497
nu,,113,M507x513S10610492x487
o,,49,M508x508S17610492x492
okashii,,64,M532x549S30004482x482S10a00479x523S20600510x521
omoidasu,,18,M571x520S30007482x482S10011532x490S20500516x483S25607527x462S10020556x462
otouto,,130,M508x535S1c600492x465S22b04492x505
Pa,,114,M564x558S17630548x542S21b00552x525S22b00548x489S33b00469x483S34900495x483
Pa--mae-,,10,M565x558S17630548x542S21b00552x525S34900495x483S33b00469x483S26600549x489
Pa--naname-shita-,,22,M564x566S17630548x503S21b00552x525S34900495x483S33b00469x483S25604548x536
pi-1,,48,M533x620S15a02458x581S22a00466x540S21100467x560S15a32492x608S22b04499x569S33b00467x482S35700497x482
Po-1,,89,M518x556S33100482x482S19a01475x534S20500496x521S30a00482x482
Raion,,165,M559x524S2ff00482x482S15001520x496S15009452x497S22f07538x482S22f11443x482
ri,,88,M520x527S10e50505x473S2a20c479x499
Rou,,175,M533x556S2ff00482x483S15a10521x510S15a01500x533S20500496x520S20500520x494
roukyou,,16,M633x556S2ff00482x483S20500519x493S20500500x522S15a10529x498S15a01493x533S10a37559x525S10a51583x493S20700574x508S2e82e601x519
sa,,167,M507x507S20320492x492
Samui,,143,M526x524S20340511x475S20348473x475S22f02512x499S22f16475x499
Satou,,51,M522x540S15a01499x506S2ff00482x482S22f03490x519
se,,17,M507x515S1c620492x485
setumei,,151,M521x523S15d39478x494S15a41498x500S20600491x477
shi,,63,M515x511S11e02485x488
shiro,,9,M520x536S36100482x482S10a01492x510S20500478x516S26502458x514
shiro-2,,41,M533x536S36100482x482S10a01482x510S20500505x520S26506518x519
sikaku,,111,M521x514S36d00479x487S20600480x498S11e02444x491
so,,19,M507x515S10040492x485
sobo,,150,M518x521S19820499x479S22f03481x500
sohu,,102,M517x522S1f902502x478S22f03484x501
su,,42,M511x515S11e04488x485
suki,,24,M525x593S30004482x482S1ee02480x523S25604509x544S21600513x530S1f402486x564
