dic_gloss,synonyms,sid,FSW
abnehmen-5328,,2421,M535x513S15d10516x486S16d18465x491S26502492x495
abnehmen-5329,,1040,M539x523S30000482x488S30105482x477S1ea17518x494S2b701515x461
Abonnement-a,S2-02820,3640,M521x526S36d00479x475S20500485x489S26b00451x485S16d32454x508
Abonnement-b,S2-02820-V,1018,M524x519S10652498x481S1064a475x504S20800505x503
Abonnement-b,S2-03718,2120,M521x519S10652489x480S1063a478x504S20800511x506
Absagen,S4-03144,1452,M526x542S17620506x458S14c50502x511S25604506x479S17620478x458S25604478x479S14c58474x511
abschicken,S4-04817-K,1161,M513x535S1ea20486x514S1ee20487x464S26500497x496
abschicken,S4-04817-V2,2485,M511x526S1ea20488x505S26500497x473S22100497x494
abschleifen,S3-05942-V,290,M575x538S15a40452x482S15a48426x482S14c48496x478S14c40538x477S25605551x514S25615509x513S22510497x462S22510538x461S2f700425x518S2f700450x517
abschleifen,S3-05942-K,1255,M580x539S15a40454x480S15a48420x480S14c48498x476S14c40540x477S2f900420x514S2f900456x514S22510499x460S22510540x461S25615509x515S25605556x513
Abschleppen,,3283,M540x519S10652483x480S1061a461x503S20800491x505S26626510x503
abschliessen,,3614,M530x528S1f730510x513S1f738469x513S2a200504x472S2a218471x472
Abschluss,S4-03421,2446,M537x522S15d49463x498S1ea51487x503S21100491x485S2c300511x477
Abschlussprfung,S4-07866,2782,M536x532S15d49390x495S1ea51414x500S21100418x482S2c300438x474S33b00482x482S1ce32506x510S26500522x491S20500499x502
Abschlussprfung-1,S4-05111-V,101,M541x523S15d49390x495S1ea51414x500S21100418x482S2c300438x474S33b00482x482S1ce10519x493S26500521x471S20500499x502
Abschlussprfung-1,S4-05111-V2,1246,M541x523S15d49390x495S1ea51414x500S21100418x482S2c300438x474S33b00482x482S1ce10519x493S2b700514x460S20500499x502
Abschlussprfung-2,S4-07891,1442,M540x532S15d49384x490S1ea51408x495S21100412x477S2c300432x469S33100482x482S20600490x521S17600523x511S14c00517x458S26500523x492
Abstand,,1333,M525x547S18048475x495S18040494x488S26600505x452S26614478x517
Abstand,S3-00333-V2,1932,M553x520S15d48478x493S15d40501x493S20500494x480S26606523x497S26612447x497
Abstand,S3-00333-K,2648,M548x520S15a40502x493S15a48486x493S20500494x480S26606518x503S26612451x503
Abstellraum-7010,,4112,M546x539S17620456x465S14c50453x508S23004453x487S10e20505x461S10e28530x461S2df06526x498S2df1e503x498
Abstimmung,,431,M543x534S2fc00479x523S18552517x484S23604504x514S23610456x494S1855a468x466
abstrakt,S4-07839,3591,M541x517S30007482x482S14c10518x477S28108520x447S20500511x474
Abstrzen,S4-07537,1576,M551x517S14e10526x484S14e18450x483S22e02502x500S22e16481x500S20500498x492
abstrzen,S4-07486,2837,M514x532S19a50486x468S25504493x495S2f700495x525
Absturz,,225,M541x532S1f540526x468S1f548459x467S1f552503x508S1f556476x508S28803501x480S2881b478x480
Absturz,,2218,M546x530S1f540531x469S1f548453x469S1f554468x514S1f55c502x515S28803501x487S2881b475x487
Abteilung,,863,M519x530S10020504x470S2a20c481x502
Abteilungsleiter,S4-06940,1947,M581x534S15a19523x511S17d11542x485S20a00518x488S26527568x474S15340464x484S15348418x485S22a16432x516S22a02453x517S20a00440x466
