dic_gloss,synonyms,sid,FSW
ccps,,1,M525x528S10e51488x484S15d39476x505S20500483x508S22a04477x491S2ef04505x472
iglesia,,2,M526x532S20312509x517S37706474x518S19210495x495S20600502x484S22f04501x467
Nombre,,5,M532x532S22a04469x469S22a04483x468S20500471x485S20500487x485S11541508x496S11549481x505
under,,4,M522x520S15a1a495x480S2c600478x482S1f540501x496
walk,,3,M521x544S15a57498x502S26507497x486S26515480x486S26511480x466S2fb00488x455S26503498x465S15a5f478x521
