dic_gloss,synonyms,sid,FSW
Hong Kong Sign Language,,3,M518x589S33100482x483S17706493x569S21d00490x524S14c00488x533
Salomão,"Rocha, de, Souza",2,M563x518S33010479x483S20e00514x474S12d21536x493S22121523x482S22121526x485
Salomão,"Rocha, de , Souza",1,M563x518S33010479x483S20e00514x474S12d21536x493S22121523x482S22121526x485
subject,"profession, 科",4,
