dic_gloss,synonyms,sid,FSW
trecientos,300,52,AS18b02S21600S26606M521x519S21600479x487S26606491x503S18b02491x481
Tres,,129,M509x515S18620491x485
tres,3,22,AS18600M509x515S18600491x485
tú,"te, ti",75,M511x533S10040489x503S26600495x467
u,,103,M508x515S1ef2e493x486
Uno,,127,M508x515S10020493x485
uno,1,20,AS10000M508x515S10000493x485
v,,104,M508x515S10e20493x485
Veinte,,146,M520x536S10e00480x465S1ce10498x506S2a603499x476
veinte,20,40,AS10042S17648S28902S20500M524x519S17648476x494S10042491x501S20500489x508S28902495x481
veinticinco,25,45,AS10012S14c18S37800S26502S20500M522x532S20500478x501S10012492x501S26502507x518S14c18479x469S37800489x500
veinticuatro,24,44,AS10012S14418S37800S26502S20500M523x532S20500479x501S10012493x501S26502508x518S14418478x469S37800490x499
Veintidós,,148,M518x521S10e00482x480S27b00502x495
veintidós,22,42,AS10012S10e18S37800S26502S20500M522x531S10e18483x469S10012492x500S26502507x517S20500478x500S37800489x498
veintinueve,29,49,AS18e20S14c18S37800S26502S20500M519x532S20500481x501S14c18482x469S26502504x515S18e20499x483S37800492x500
veintiocho,28,48,AS11e20S14c18S37800S26502S20500M521x532S20500480x501S14c18481x469S26502506x517S11e20498x485S37800491x500
veintiséis,26,46,AS1f520S14c18S37800S26502S20500M519x531S20500481x501S14c18482x469S26502504x511S1f520495x494S37800492x499
veintisiete,27,47,AS1dc20S14c18S37800S26502S20500M521x532S20500480x501S14c18481x469S26502506x512S1dc20497x480S37800491x500
Veintitrés,,149,M524x526S10e00476x480S18600506x496S27b00498x474
veintitrés,23,43,AS10012S18618S37800S26502S20500M522x531S20500478x500S10012492x500S26502507x517S18618482x469S37800489x498
Veintiuno,,147,M526x527S10e00475x474S10000489x497S21600518x495
veintiuno,21,72,AS10012S10018S37800S26502S20500M522x531S10018483x469S10012492x500S26502507x517S20500478x500S37800489x497
w,,105,M509x515S18620491x485
x,,106,M515x520S10020486x490S2330b491x480
y,,107,M514x510S19a20486x490
yo,"mí, me",73,M509x522S10044494x478S20500492x511
z,,108,M522x522S19220488x503S2470a479x479
