dic_gloss,synonyms,sid,FSW
(박지영)10,,49587,M528x530S20350472x483S37800479x498S14c49490x483S21400495x471S2f700516x507S21100473x503S21600517x477S26514500x511
(박지영)11,,49588,M521x540S15d10501x473S15d18480x473S20500495x461S25100503x507
(박지영)12,,49594,M547x537S1dc29461x465S11311509x464S37d04518x472S27200507x502S27214454x502S2fb04495x531
(박지영)13,,49596,M513x519S1545a488x482S22a04495x504
(박지영)14,,49598,M526x530S20348475x484S10e00493x476S21410474x471S20500479x493S26504512x508S37700500x505
(박지영)15,,49601,M532x536S14e50486x503S14e58468x479S21410470x465S26604516x506
(박지영)2,,49560,M530x530S19a10502x470S19a18470x470S20500495x477S25114475x497
(박지영)3,,49564,M518x558S2ff00482x483S1bb01489x499S21e03487x498S26a02500x531
(박지영)4,,49567,M527x524S15d40508x497S15d48473x497S20e00493x507S22a00508x477
(박지영)5,,49571,M545x533S14c51518x506S14c59456x507S22611508x496S22617477x499S26517473x482S26501511x481S2fb00491x468
(박지영)6,,49574,M625x557S15d20524x495S15d28459x496S30f00482x483S26502514x532S26516479x532S2fb04498x551S15d21574x500S15d29602x501S37703593x519S3770b583x519S21410570x485
(박지영)7,,49578,M546x518S2ff00482x483S21d12466x460S17450525x489S26620490x444S21d12523x458S17458453x490
(박지영)8,,49580,M543x528S15d00502x473S15d08478x472S26506506x505S26506528x505S26512478x504S26512458x505S2fb04491x522
(박지영)9,,49584,M518x543S16c10469x522S2ff00482x483S2890a486x507
(박지영)문장1,,49608,M569x603S20348326x526S10e00345x520S20500331x536S26504349x555S21410327x514S15d00411x518S15d08388x519S26506413x553S26506432x553S30104449x477S26512376x553S31a30457x499S26512394x553S2fb04404x574S1545a459x529S22a04464x552S31000516x485S14c51542x536S14c59500x536S22611537x523S22617514x524S26501542x576S26517511x576S2fb04525x597
(박지영)문장2,,49613,M574x596S15d40399x540S15d48377x540S20e00390x530S22a00404x519S14e50456x562S14e58433x535S31000444x486S26504484x581S30900521x479S20e00549x503S11510557x506S26500560x544S2f900561x565
(박지영)문장3_1,,49619,M668x550S30d00482x483S16c10469x529S2890a485x513S15d20578x487S15d28544x488S26516548x522S26502578x521S2fb04563x539S15d21619x508S15d29645x507S37600633x522S21410621x496
(박지영)문장3_2,,49630,M607x603S2ff00397x492S17450437x521S17458372x521S21e12439x497S21e12385x499S26620407x450S20350488x552S37900495x563S21100491x572S14c49506x547S21400512x535S21600533x543S26514514x573S2f700527x571S15d10588x534S15d18568x534S20500583x524S25100589x568S30124568x474
(신체기관)장,,50188,M556x532S36d00479x468S36d00479x512S1ce52494x482S24b04534x485S24d04532x497
