Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S110,6,1.48%,3,1.09%,"анализ (анализировать) (sid_417), искать (поиск) (sid_59), приходить (sid_409)",313,77.09
S19a,6,1.48%,5,1.82%,"У (sid_338), где (sid_441), желтый (цвет) (sid_69), куда (sid_442), телефон (sid_403)",319,78.57
S1dc,5,1.23%,5,1.82%,"Г (sid_321), Ъ (sid_345), Ь (sid_347), два (2) (sid_23), или (sid_399)",324,79.8
S1ed,5,1.23%,5,1.82%,"Э (sid_349), банка (sid_453), больной человек (пациент) (sid_56), синий (цвет) (sid_38), человек (sid_33)",329,81.03
S171,5,1.23%,3,1.09%,"добрый (добро) (sid_398), мир (мирный, перемирие) (sid_375), черный (цвет) (sid_48)",334,82.27
S14e,5,1.23%,3,1.09%,"аборт (sid_352), автомат (автоматический) (sid_410), механизм (механика, механический, машина) (sid_383)",339,83.5
S11e,5,1.23%,5,1.82%,"8 (восемь, eight) (sid_236), восемь (sid_264), три (3) (sid_24), три (3) (sid_9), укол (sid_444)",344,84.73
S1bb,4,0.99%,3,1.09%,"Р (sid_335), арбуз (sid_423), нравиться (мне нравится) (sid_66)",348,85.71
S1f7,3,0.74%,2,0.73%,"вчера (sid_424), завтра (sid_425)",351,86.45
S144,3,0.74%,3,1.09%,"9 (девять, nine) (sid_237), дедушка (дед, grand-father) (sid_240), четыре (4) (sid_10)",354,87.19
S1de,3,0.74%,3,1.09%,"где (sid_440), красный (sid_358), семь (7) (sid_42)",357,87.93
S1a5,3,0.74%,2,0.73%,"Н (sid_332), нужно (need) (sid_253)",360,88.67
S182,3,0.74%,3,1.09%,"выше (sid_50), февраль (February) (sid_256), хотеть (хочу, to want) (sid_242)",363,89.41
S13f,3,0.74%,3,1.09%,"Работа (работать, to work) (sid_241), Ч (sid_342), укол (sid_444)",366,90.15
S18c,3,0.74%,3,1.09%,"Т (sid_337), Ш (sid_343), Щ (sid_344)",369,90.89
S147,2,0.49%,2,0.73%,"женщина (женский) (sid_438), мужчина (мужской) (sid_437)",371,91.38
S101,2,0.49%,2,0.73%,"вкусный (sid_433), ухо (слышать) (sid_5)",373,91.87
S1ec,2,0.49%,2,0.73%,"река (sid_39), человек (sid_395)",375,92.36
S157,2,0.49%,1,0.36%,общество (общественный) (sid_407),377,92.86
S186,2,0.49%,2,0.73%,"М (sid_331), минута (sid_468)",379,93.35
S156,2,0.49%,2,0.73%,"лиса (лис, лисица, лисовин) (sid_446), лиса (лисица, лисий, лисовин) (sid_366)",381,93.84
S1b1,2,0.49%,2,0.73%,"И (sid_327), Й (sid_328)",383,94.33
S154,2,0.49%,1,0.36%,автобус (a bas) (sid_244),385,94.83
S1f0,2,0.49%,1,0.36%,арест (арестовывать) (sid_430),387,95.32
S117,2,0.49%,2,0.73%,"Б (sid_319), бежевый (sid_462)",389,95.81
S128,2,0.49%,1,0.36%,университет (sid_72),391,96.31
S1c3,1,0.25%,1,0.36%,розовый (цвет) (sid_70),392,96.55
S183,1,0.25%,1,0.36%,Ф (sid_339),393,96.8
S10a,1,0.25%,1,0.36%,Х (sid_340),394,97.04
S10b,1,0.25%,1,0.36%,Программный язык (sid_263),395,97.29
S196,1,0.25%,1,0.36%,Ю (sid_348),396,97.54
S1ea,1,0.25%,1,0.36%,война (военный) (sid_365),397,97.78
S192,1,0.25%,1,0.36%,плохой (плохо) (sid_77),398,98.03
S1eb,1,0.25%,1,0.36%,пельмени (sid_30),399,98.28
S121,1,0.25%,1,0.36%,каша (sid_35),400,98.52
S1c5,1,0.25%,1,0.36%,белый (цвет) (sid_67),401,98.77
S16a,1,0.25%,1,0.36%,бедный (бедность) (sid_461),402,99.01
S14f,1,0.25%,1,0.36%,банка (sid_453),403,99.26
S16f,1,0.25%,1,0.36%,апельсин (sid_420),404,99.51
S1e1,1,0.25%,1,0.36%,аккуратный (аккуратность) (sid_414),405,99.75
S11a,1,0.25%,1,0.36%,Я (sid_350),406,100.0
