Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S16d,18,2.55%,13,2.7%,"ADQUIRIR (sid_465), C (c) (sid_25), CLÉBER (sid_468), SIGNWRITING (ESCRITA DE LÍNGUA GESTUAL, SignWriting, SW) (sid_338), alfabeto C (sid_216), bilingue (sid_2), comunicacao (sid_180), comunidade (sid_3), copo (sid_505), criar (fundar) (sid_118), grupo (sid_244), grupo 2 (Grupo 2) (sid_282), sapo (sid_210)",439,62.27
S10e,17,2.41%,16,3.33%,"Ler (ler) (sid_236), N (n) (sid_52), TV (sid_197), V (v) (sid_57), VIP (sid_344), Vida (vida) (sid_254), alfabeto V (sid_319), bilingue (sid_2), cavalgar (sid_174), dois (Dois, Duas, duas) (sid_265), prisao (sid_187), ver (sid_161), ver-esquerda (olhar-esquerda) (sid_423), vocabulario (sid_162), vocabulário (VOCABULÁRIO, Vocabulário) (sid_407), voz (VOZ) (sid_431)",456,64.68
S1ea,17,2.41%,12,2.49%,"CLÉBER (sid_468), E (e) (sid_39), L'Épée (sid_106), L'Épée (sid_107), L'Épée (sid_108), L'Épée (sid_175), Pedro Ponce Leon (sid_199), alfabeto E (sid_252), expressao facial (sid_138), expressão-facial (expressão-facial) (sid_409), juiz (sid_189), segredo (código, SEGREDO, CÓDIGO) (sid_396)",473,67.09
S1f7,14,1.99%,11,2.29%,"andar (sid_77), casa (sid_67), catolico (sid_178), crise (sid_181), futsal (sid_150), gramatica (sid_18), onde (sid_289), proprio (sid_200), roxo (sid_101), roxo (sid_98), sistema (sid_158)",487,69.08
S14e,11,1.56%,7,1.46%,"apresenta-dois (APRESENTA-DOIS) (sid_381), essa-mão-direita (sid_385), esse-mão-esquerda (sid_382), gritar (GRITAR) (sid_432), guerra (sid_154), qual-dos-dois (QUAL-DOS-DOIS) (sid_386), telemobil (celular) (sid_271)",498,70.64
S1ed,10,1.42%,6,1.25%,"Apartamento (apartamento) (sid_274), GARGANTA (Garganta, garganta) (sid_493), jornalista (sid_188), pessoa (PESSOA, Pessoa) (sid_427), quem (QUEM) (sid_416), sintaxe (Sintaxe, SINTAXE) (sid_403)",508,72.06
S1f4,8,1.13%,8,1.66%,"Minuto (minuto) (sid_266), NOME (sid_352), NOME (sid_444), banco (sid_183), crise (sid_181), economia (sid_203), longe (sid_117), nome (sid_71)",516,73.19
S19a,7,0.99%,7,1.46%,"2 (sid_32), Telefone (telefone) (sid_270), Y (y) (sid_84), alfabeto Y (sid_323), avião (voar, voo) (sid_219), feliz (sid_139), y (sid_300)",523,74.18
S180,7,0.99%,5,1.04%,"Despedir (sid_130), SUPERIOR (sid_448), dar (oferecer) (sid_134), informacao (sid_142), saude (sid_140)",530,75.18
S1da,7,0.99%,7,1.46%,"4 (sid_475), LGP (sid_451), P (p) (sid_54), PORTO (CIDADE DO PORTO) (sid_450), SEMPRE (sid_462), alfabeto P (sid_313), p (sid_296)",537,76.17
S176,7,0.99%,6,1.25%,"0 (number) (sid_480), O (o) (sid_38), alfabeto O (sid_312), criar (fundar) (sid_118), dentro (incluso, DENTRO, INCLUSO) (sid_412), ninguém (NÍNGUEM, Ninguém) (sid_393)",544,77.16
S116,6,0.85%,6,1.25%,"CLÉBER (sid_468), R (r) (sid_48), R (r) (sid_63), alfabeto R (sid_315), horrivel (sid_83), horrível (HORRÍVEL, Horrível) (sid_438)",550,78.01
S13f,5,0.71%,4,0.83%,"cinzento (sid_100), cinzento (sid_102), cinzento (sid_97), não (NÃO, Não) (sid_391)",555,78.72
S1c5,5,0.71%,4,0.83%,"CRÂNIO (Crânio, crânio) (sid_499), Não é fácil (não é fácil , não fácil) (sid_258), internet (sid_151), preto (preta) (sid_91)",560,79.43
S150,5,0.71%,3,0.62%,"IRÁ (ira, raiva, RAIVA) (sid_435), chuva (sid_109), gato (sid_68)",565,80.14
S15f,5,0.71%,5,1.04%,"1997 (sid_373), 7 (sid_35), J (j) (sid_47), alfabeto J (sid_307), j (sid_292)",570,80.85
S186,5,0.71%,4,0.83%,"M (m) (sid_51), W (w) (sid_58), garfo (sid_506), linguagem (LINGUAGEM, Linguagem) (sid_383)",575,81.56
S140,5,0.71%,5,1.04%,"K (k) (sid_49), alfabeto K (sid_308), há (HÁ, Há) (sid_421), k (sid_293), v (sid_299)",580,82.27
S10b,5,0.71%,5,1.04%,"CLÉBER (sid_468), EU (sid_446), OLHO DIREITO (Olho direito, olho direito) (sid_488), OLHO ESQUERDO (Olho esquerdo, olho esquerdo) (sid_489), OLHOS (Olhos, olhos) (sid_487)",585,82.98
S177,5,0.71%,5,1.04%,"Como (como) (sid_228), Jovem (jovem) (sid_221), comer (comida) (sid_229), dentro (incluso, DENTRO, INCLUSO) (sid_412), onde (sid_289)",590,83.69
S12b,4,0.57%,4,0.83%,"Novembro (NOVEMBRO, novembro) (sid_366), cinzento (sid_100), cinzento (sid_102), cinzento (sid_97)",594,84.26
S192,4,0.57%,4,0.83%,"I (i) (sid_46), alfabeto I (sid_306), identidade (sid_27), magro (sid_206)",598,84.82
S101,4,0.57%,4,0.83%,"6 (sid_23), 6 (sid_477), 9 (sid_37), 9 (sid_479)",602,85.39
S1f8,4,0.57%,3,0.62%,"5 (sid_476), ADQUIRIR (sid_465), facial-corporal (sid_398)",606,85.96
S147,4,0.57%,4,0.83%,"Se (se) (sid_261), cão (sid_62), idade (sid_119), quarto (sid_72)",610,86.52
S10a,4,0.57%,4,0.83%,"DENTE (Dente, dentes) (sid_496), GENGIVAS (Gengivas, gengivas) (sid_497), alfabeto Z (sid_324), pedra (sid_208)",614,87.09
S1d4,4,0.57%,3,0.62%,"ASSIM (sid_464), amarela (amarelo) (sid_85), roupa (sid_179)",618,87.66
S1eb,4,0.57%,3,0.62%,"Estrela (sid_127), Rafaela Silva (sid_290), pouco (sid_171)",622,88.23
S144,3,0.43%,2,0.42%,"Braga (sid_4), pessoas-ver-esquerda (sid_415)",625,88.65
S17c,3,0.43%,2,0.42%,"gostar (gosto, gostas) (sid_240), lua (sid_114)",628,89.08
S1f1,3,0.43%,3,0.62%,"LGP (lgp) (sid_399), ORELHA (Orelha, orelha) (sid_490), soprar-vela (sid_135)",631,89.5
S106,3,0.43%,3,0.62%,"Ontem (ontem) (sid_242), Perguntar (perguntar) (sid_230), Z (z) (sid_60)",634,89.93
S10c,3,0.43%,3,0.62%,"apoio (apoiar) (sid_508), ele (ela, lá, Lá) (sid_273), hoje (aqui) (sid_401)",637,90.35
S118,3,0.43%,3,0.62%,"OLHOS (VL 2) (Olhos (VL 2), olhos (VL 2)) (sid_491), andar-pé (sid_115), olhos (sid_504)",640,90.78
S18d,3,0.43%,3,0.62%,"alfabeto M (sid_310), m (sid_294), sim (SIM) (sid_413)",643,91.21
S1ca,3,0.43%,3,0.62%,"3 (sid_31), 3 (sid_474), TRÊS (3) (sid_351)",646,91.63
S1f9,3,0.43%,3,0.62%,"5 (sid_34), contente (sid_255), quinze (Quinze, QUINZE, 15) (sid_365)",649,92.06
S1ec,3,0.43%,2,0.42%,"VOZ (voz, garganta, GARGANTA) (sid_430), andar (sid_77)",652,92.48
