Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1ed,10,1.57%,8,2.02%,"Adam Feedback 8 (sid_317), Val Feedback 1 (sid_297), د دال جرف الدال (sid_142), دين (الدين) (sid_243), ممنوع الوقوف (ممنوع الانتظار) (sid_389), ن نون حرف النون (sid_163), يا (صوت مرتفع صراخ يصرخ صرخ صاخ يصيح صياح) (sid_170), يهودي (اليهود, اسرائيل) (sid_203)",447,70.39
S151,9,1.42%,5,1.26%,"Adam Feedback 1 (sid_310), Val Feedback 13 (sid_334), Val Feedback 14 (sid_335), العشاء (عشاء) (sid_258), تمساح (sid_337)",456,71.81
S1dc,9,1.42%,9,2.27%,"6 الرقم ستة ست (sid_109), 7 الرقم سبعة سبع (sid_186), الاردن (المملكة الاردنية الهاشمية) (sid_197), حمام دورة مياه تواليت (sid_77), زكاة (الزكاة, يزكي) (sid_242), سيارة اجرة (sid_391), ل لام حرف اللام (sid_160), مئة (مائة) (sid_231), يقول يتحدث يخبر يذكر يصف (sid_46)",465,73.23
S157,8,1.26%,6,1.51%,"Adam Feedback 11 (sid_320), Val Feedback 4 (sid_300), الرحمن (رحمن , رحمة , الرحمة, راحم , يرحم) (sid_370), حفظ يحفظ تحفظ نحفظ (sid_91), من (sid_13), ورم متورم منتفخ انتفاخ (sid_352)",473,74.49
S101,8,1.26%,7,1.76%,"اعوذ (sid_1), الدين (الاسلام  اسلام, الشهادتان) (sid_233), القرآن (كتاب الله القرآن الكريم,, قرآن) (sid_218), بسم الله (sid_72), على (عليه) (sid_378), هذا , هو (تستخدم للاشارة الى شخص او شيء) (sid_5), يعلمه يخبره يحدثه يقول له (sid_132)",481,75.75
S1ea,7,1.1%,5,1.26%,"Val Feedback 10 (sid_306), بنت , انثى , امرأة البنت المراة الانثى، فتاة،  الفتاة (sid_220), تجارة يتاجر التجارة بيع يبيع (sid_368), خالق , خلق (مبدع , ابداع, Creation , creator, رب) (sid_8), زكاة (الزكاة, يزكي) (sid_242)",488,76.85
S176,7,1.1%,5,1.26%,"جنة وردة (sid_129), هاء حرف الهاء ه (sid_164), ولادة ، يلد ، تلد , (تضع مولودا, عملية ولادة) (sid_202), يرمي يلقي يطرح (sid_130), ينفخ الصور (sid_125)",495,77.95
S16c,6,0.94%,4,1.01%,"الجمعة (يوم الجمعة, جمعة) (sid_267), خسوف (الخسوف) (sid_266), طبق صحن وعاء (sid_120), طبق صحن وعاء (sid_121)",501,78.9
S11e,6,0.94%,4,1.01%,"ثلاث ثلاثة (sid_32), غ غين حرف الغين (sid_158), غني غنى عيد (sid_115), مثل متماثل مشابه مثله (sid_210)",507,79.84
S16d,6,0.94%,5,1.26%,"جيم حرف الجيم ج (sid_139), حافلة (sid_393), دخل  في يدخل دخول دخلت دخلنا (sid_71), فواكه فاكهة (sid_86), يشرب (sid_73)",513,80.79
S1ce,6,0.94%,5,1.26%,"Adam Feedback 13 (sid_322), الداخلية داخلية  شرطة (sid_362), كامل متكامل (sid_185), كلام , يتكلم , يقول , يتحدث , حديث قال (sid_22), يحب احب حب (sid_28)",519,81.73
S185,6,0.94%,4,1.01%,"Adam Feedback 10 (sid_319), خ حرف الخاء (sid_141), ليل (الليل) (sid_261), مع معا مع بعض (sid_50)",525,82.68
S1eb,5,0.79%,5,1.26%,"اسم (sid_382), الناس ناس انسان الانسان (sid_35), ثمار قطاف قطف يقطف قطفت (sid_38), ف حرف الفاء فاء (sid_143), مكتوب (المكتوب, يكتب, الكتابة, كتابة) (sid_269)",530,83.46
S19a,5,0.79%,4,1.01%,"انتر نت (sid_119), مهم (sid_26), مهم هام (sid_358), ي ياء حرف الياء (sid_166)",535,84.25
S1f7,5,0.79%,3,0.76%,"اسرة ، عائلة (الاسارة العائلة) (sid_200), شبيه  الشبيه (نظير النظير, مكافئ المكافئ, الموازي موازي, معادل المعادل, مثيل المثيل مماثل المماثل) (sid_209), ض حرف الضاد ضاد (sid_154)",540,85.04
S14e,4,0.63%,2,0.5%,"Adam Feedback 1 (sid_309), تمساح (sid_336)",544,85.67
S10a,4,0.63%,4,1.01%,"ر حرف الراء  راء (sid_149), طبيب (دكتور) (sid_285), طبيب الطبيب دكتور مستشفى مريض مرض تعب (sid_192), غضب (يغضب, غضبان) (sid_379)",548,86.3
S129,4,0.63%,4,1.01%,"اسان ناس الانسان الناس (sid_190), حج (الحج, حجة) (sid_240), عمرة يعتمر (sid_249), ق قاف حرف القاف (sid_145)",552,86.93
