Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S140,50,2.45%,46,3.63%,"K (sid_500), K (sid_724), K. (sid_1946), KE Firma (sid_857), Karen Elizabeth (sid_868), Mi (sid_262), Mi (sid_263), Online (sid_1217), Online (sid_1226), P (sid_505), P (sid_714), P. (sid_1914), PATRICIA (sid_2012), Papá (sid_276), Patricia Salazar Díaz (sid_2011), Persona (sid_1897), Pluma (sid_11), Pregunta (sid_851), Pregunta (sid_852), Prepa 7 (sid_2114), Puebla (sid_749), Rundesth (sid_854), San Luis Potosí 1 (sid_752), San Luis Potosí 2 (sid_753), Su (sid_323), dad (sid_132), his-her (sid_83), my (sid_140), newspaper (sid_5), oración (sid_1399), pais (sid_428), papa (sid_173), papá (padre) (sid_673), pen (sid_153), pero (sid_374), pero (sid_375), pero (sid_785), perro ((dog)) (sid_1392), persona (gente) (sid_618), pr (sid_1110), pregunta (sid_578), preguntar (pregunta, (question)) (sid_1401), prestar ((to lend)) (sid_1544), py (sid_1104), repeat (sid_165), repetir (sid_252)",1025,50.25
S176,50,2.45%,33,2.61%,"0 (number) (sid_528), 0 (numero) (sid_725), Alabanza (sid_464), NOEMI (sid_2027), O (sid_504), O (sid_713), Oaxaca (sid_748), Octubre (sid_2005), Online (sid_1225), Online (sid_1260), Online (sid_1874), Online (sid_1889), Online (sid_995), Online (sid_996), Online (sid_997), Online (sid_998), OrySurf (Orión) (sid_438), Oscar Zavala (sid_1938), Quintana Roo (sid_419), Quintana Roo (sid_751), RODRIGO (sid_2013), Secreto (sid_466), cero (sid_609), dolores hidalgo (sid_1945), encuentra sol (sid_1944), guanajuato (sid_1943), guanajuato (sid_1961), octubre (sid_647), ocupar ((to occupy)) (sid_1555), olvidar ((to forget)) (sid_1526), oración (sid_1399), ordenar (sid_1398), ordenes (orden) (sid_580)",1075,52.7
S11a,46,2.25%,36,2.84%,"Cesar (sid_820), Color Rojo (sid_2039), Color Rosa (sid_2044), César Ernesto (sid_1933), DeafVivaracha (sid_406), JAVIER (sid_2008), MERCEDES (sid_2015), Online (sid_1228), Online (sid_1230), Online (sid_1861), Online (sid_1874), Online (sid_1885), PATRICIA (sid_2012), Quintana Roo (sid_419), Quintana Roo (sid_751), R (sid_507), RODRIGO (sid_2013), RR (sid_723), Ratón (sid_383), Regalar (sid_444), Rio (sid_431), Rápido (sid_201), arreglar (sid_1522), dolores hidalgo (sid_1945), pr (sid_1110), razonar (razón) (sid_1293), recibir ((to recieve)) (sid_1533), refrigerador (sid_462), representa (sid_808), respect (sid_42), respeto (sid_233), rey (sid_651), rey (sid_652), rojo color (sid_817), romper (sid_700), soltero (soltera) (sid_602)",1121,54.95
S14a,44,2.16%,25,1.97%,"Cesar (sid_820), César Ernesto (sid_1933), E (sid_494), Edad (sid_361), Eduardo Guzmán (sid_1936), Educado (educacion) (sid_695), Enero (sid_2001), Estado de México (sid_737), Estar (sid_189), JAVIER (sid_2008), KE Firma (sid_857), Karen Elizabeth (sid_868), MERCEDES (sid_2015), NOEMI (sid_2027), Online (sid_1037), Online (sid_1166), Online (sid_1211), Online (sid_1553), Online (sid_1874), dolores hidalgo (sid_1945), edificio (sid_221), enero (sid_638), escuela (sid_219), sesenta (sid_592), ¿Cómo estas? (sid_296)",1165,57.11
S115,42,2.06%,30,2.37%,"Cancún (sid_418), Hola (sid_187), Navidad (sid_620), Negro (sid_405), Nombre--name- (sid_52), Noviembre (sid_1999), Online (sid_1043), Online (sid_1232), Online (sid_1889), PONCHE (sid_449), U (sid_510), VULGAR (sid_957), black (sid_96), diving (sid_138), dulces (sid_1970), guanajuato (sid_1943), guanajuato (sid_1961), h (sid_1405), matar ((kill)) (sid_1432), name (sid_119), need (sid_19), nombre (sid_1960), noviembre (sid_590), nubes (sid_1984), nuera (sid_594), silla (sid_600), sit (sid_20), una frase (sid_328), unidad (sid_810), uy (sid_1101)",1207,59.17
S1f7,42,2.06%,27,2.13%,"A (sid_1098), A (sid_490), ARTESANO (sid_955), ARTESANO (sid_956), Agosto (sid_1995), Arte (sid_297), Arte (sid_317), Azul (sid_2036), COCHE (sid_2017), Online (sid_1207), Online (sid_1760), Online (sid_1837), Online (sid_1861), Online (sid_1874), Online (sid_1885), Online (sid_1889), abril (sid_641), agosto (sid_645), azul (cian) (sid_585), cambiar_1 (sid_706), car (sid_144), coche (sid_1974), dolores hidalgo (sid_1945), grandfather (sid_70), guanajuato (sid_1943), guanajuato (sid_1961), mes (meses) (sid_577)",1249,61.23
S18c,37,1.81%,26,2.05%,"Mamá (sid_275), Manzana (sid_471), Mariana Cabrero (sid_865), Mayo (sid_2002), Michoacán (sid_742), Mother (sid_116), Museo (museo) (sid_482), Museo (sid_295), Museo incorrecto (sid_483), Online (sid_1861), Online (sid_1874), Online (sid_986), Online (sid_987), Online (sid_988), Online (sid_989), Online (sid_990), maestro (sid_246), mamá (madre, (mother, mom)) (sid_1403), mario (sid_1289), marzo (sid_640), mayo (sid_643), mesa (sid_251), mom (sid_87), muertos (sid_697), mundo (sid_686), three (sid_159)",1286,63.04
S101,33,1.62%,28,2.21%,"D (sid_493), D (sid_712), DIA (sid_2102), Dar (dar) (sid_455), Diciembre (sid_2000), Dios (sid_284), Dios_1 (sid_781), Director (director) (sid_452), Domingo (sid_268), Online (sid_1206), Online (sid_1210), Online (sid_1885), Presuntuoso (sid_465), Secreto (sid_466), Voluntad (voluntad) (sid_453), bb (sid_459), caballo (sid_542), cebra (sid_420), deber (sid_1320), decir (diga) (sid_779), dia (sid_1900), dia (sid_2105), diciembre (sid_648), donde (sid_687), día (días) (sid_586), good-morning (sid_151), hot dog (sid_598), ¿Dónde? (sid_206)",1319,64.66
S185,28,1.37%,22,1.74%,"Bendiga (sid_782), Clases (sid_327), HOPS (sid_308), Hijo (sid_324), Ladrillo (sid_357), MOV. ASOCIATIVOS SORDOS DE JALISCO (sid_1009), Madre, mamá (sid_344), Puerco, Cedro, Cochino, Marrano (sid_342), Secreto (sid_466), besar (sid_227), brinde (sid_795), culpar (sid_319), curso (clase, (class, learning course)) (sid_1434), give-her (sid_29), lose (sid_133), new (sid_50), ninety (sid_3), nuevo (sid_633), perder (sid_702), son (sid_123), son (sid_135), ¿Quién? (sid_208)",1347,66.03
S119,27,1.32%,25,1.97%,"Color Negro (sid_2041), N (sid_503), NOEMI (sid_2027), Nayarit (sid_745), Noemi Galicia Rojas (sid_2026), Nombre_2 (sid_537), Nuevo Léon 2 (sid_747), Online (sid_1221), Online (sid_1224), Online (sid_1861), Online (sid_1874), Online (sid_1885), Online (sid_1889), OrySurf (Orión) (sid_438), TANIA (sid_2010), guanajuato (sid_1943), guanajuato (sid_1961), ng (sid_1109), nombre 2025 (sid_1962), nuestra (sid_766), Ñ (sid_516), Ñ (sid_715), Ñ. (sid_1913), Ñ. (sid_1924), ñ (sid_575)",1374,67.35
