Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1f5,39,2.3%,31,2.62%,"""22 dicembre"" di L. Lamano (sid_1068), ""22 dicembre"" di L. Lamano (sid_1070), 1 (sid_960), 6 (sid_965), ADR-1.1.1 (sid_171), Euro poesia (sid_1114), Euro_poesia (sid_1130), Euro_poesia (sid_1154), S (sid_945), anni (sid_256), bere (sid_772), borsa (sid_355), camminare portando uno zaino (sid_424), configurazione 1 pollice (sid_217), configurazione 6 (giorno) (sid_224), configurazione glifo pollice in alto (sid_910), due semestri (sid_693), fatica (sid_296), frase 06-02 (sid_22), frase 06-03 (sid_23), frase 06-04 (sid_24), frase 06-05 (sid_25), il gatto insegue il cane_02 (sid_886), il gatto insegue il cane_03 (sid_887), il gatto insegue il cane_04 (sid_888), lis (sid_363), prima (sid_407), simbolo S (sid_895), simbolo S dx (sid_902), undici (sid_691), undici piano quindici piano (sid_771)",1009,59.56
S115,35,2.07%,27,2.28%,"""22 dicembre"" di L. Lamano (sid_1070), 08_arrivare al limite (sid_798), City: Rome (Italy) (sid_164), Euro poesia (sid_1108), Euro_poesia (sid_1096), Euro_poesia (sid_1151), Euro_poesia (sid_1160), H (sid_934), LIS_picchio_02_AB (sid_1202), LIS_picchio_02_AB (sid_1203), U (sid_947), burro (sid_556), cognome (sid_365), colore 3 (sid_702), frase_3_8 (sid_31), impossibile (sid_559), impossibile 1 (sid_560), impossibile 2 (sid_561), impossibile 5 (sid_780), l-u-c-a- (sid_89), lista (sid_366), marmellata (sid_557), morire morto (sid_634), nome (sid_67), sottotitoli (sid_367), vietare (sid_633), Ù (sid_958)",1044,61.63
S153,33,1.95%,20,1.69%,"17_caritro_picchio_LIS_MM (sid_1015), 17_caritro_picchio_LIS_MM (sid_1016), 17_caritro_picchio_LIS_MM (sid_1018), 17_caritro_picchio_LIS_MM (sid_1038), 17_caritro_picchio_LIS_MM (sid_1039), 26_geloso (sid_815), 27_infuriarsi (sid_816), Euro poesia (sid_1100), Euro_poesia (sid_1168), amore che cresce (sid_600), contrazioni muscolari (sid_688), crisi (sid_537), crisi là e laggiù (sid_538), ragn uovo scende (picchio 6/17) (sid_744), ragnatela uovo cade (picchio 5/17) (sid_743), uovo attraversa la porta (picchio 16/17) (sid_754), uovo ruota sulla foglia (picchio 11/17) (sid_749), uovo salto (picchio 1/17) (sid_739), uovo scende (picchio 2/17) (sid_740), uovo si ferma dopo la porta (picchio 17/17) (sid_755)",1077,63.58
S1ce,32,1.89%,22,1.86%,"""22 dicembre"" di L. Lamano (sid_1082), (dentro non) bene (sid_709), 0 (number) (sid_969), 64_raddrizzare gli occhi (sid_850), 76_tremore occhi (sid_862), A casa (sid_985), Euro_poesia (sid_1161), Euro_poesia (sid_1162), Euro_poesia (sid_1163), VALERIA (sid_1244), Valeria (sid_1243), chicchi d'uva (sid_435), configurazione glifo 0 (sid_918), configurazione o (sid_1231), fragola (sid_457), io (sid_414), nome segno immacolata (sid_270), non ancora (incontrare) (sid_679), notare qualcuno che sta passando (sid_420), piccolo tondo (sid_459), rimuovere mant + sicuro (sid_471), sicuro (sid_398)",1109,65.47
S154,27,1.59%,19,1.61%,"06_riso (sid_796), 19_stato confusionale confuso (sid_809), 21_orgoglio (sid_810), 22_caritro_picchio_LIS_SR (sid_1204), 22_caritro_picchio_LIS_SR (sid_1206), 48_innervosirsi (sid_836), 58_ridere a crepapelle (sid_844), 61_compassione (sid_847), LIS_picchio_02_AB (sid_1116), LIS_picchio_02_AB (sid_1120), LIS_picchio_02_AB (sid_1197), LIS_picchio_02_AB (sid_1198), albero chioma (sid_592), amore che cresce (sid_600), la palla su (sid_429), la palla sul tavolo (sid_428), mangiare un frutto (sid_419), puglia (sid_665), tavolo TS (sid_575)",1136,67.06
S16d,27,1.59%,24,2.03%,"""22 dicembre"" di L. Lamano (sid_1070), 17_caritro_picchio_LIS_MM (sid_1023), 17_caritro_picchio_LIS_MM (sid_1027), A casa (sid_986), C (sid_928), C (sid_929), Gruppo sposta (sid_45), LIS_picchio_02_AB (sid_1119), LIS_picchio_02_AB (sid_1120), LIS_picchio_02_AB (sid_1121), LIS_picchio_02_AB (sid_1129), LIS_picchio_02_AB (sid_1133), LIS_picchio_02_AB (sid_1135), LIS_picchio_02_AB (sid_1198), LIS_picchio_02_AB (sid_1199), bicchiere (sid_374), c (C, lettera c, dattilologia c, alfabeto manuale LIS c) (sid_1252), configurazione c (sid_736), configurazione glifo c bianco (sid_922), dentro (sid_466), frase_3_8 (sid_31), l-u-c-a- (sid_89), tavolo gambe (sid_591), Ç (sid_955)",1163,68.65
S1ed,27,1.59%,20,1.69%,"""22 dicembre"" di L. Lamano (sid_1008), ""22 dicembre"" di L. Lamano (sid_1075), ""22 dicembre"" di L. Lamano (sid_1088), 22_caritro_picchio_LIS_SR (sid_1204), 22_caritro_picchio_LIS_SR (sid_1206), 22_caritro_picchio_LIS_SR (sid_1207), 22_caritro_picchio_LIS_SR (sid_1208), 22_caritro_picchio_LIS_SR (sid_1209), 22_caritro_picchio_LIS_SR (sid_1210), buon viaggio (sid_198), c'è (picchio 3/17) (sid_741), giorno (sid_263), lavatrice sportello (sid_593), lavatrice sportello spacca (sid_598), pezzo grande (sid_403), pezzo piccolo (sid_402), stivali (sid_465), stivali 2 (sid_482), uovo salto (picchio 1/17) (sid_739), uovo scende (picchio 2/17) (sid_740)",1190,70.25
S1d4,26,1.53%,21,1.78%,"""22 dicembre"" di L. Lamano (sid_1090), ""22 dicembre"" di L. Lamano (sid_1095), 17_caritro_picchio_LIS_MM (sid_1060), 35_delusione (sid_824), 47_innamorarsi (sid_835), A casa (sid_995), Euro_poesia (sid_1177), LIS_picchio_02_AB (sid_1132), Scuola (sid_41), appuntamento (sid_196), bellissimo (sid_543), calze (sid_381), configurazione (sid_1229), configurazione (sid_1232), fiore (sid_118), frase 06-03 (sid_23), gatto (sid_121), il gatto insegue il cane_03 (sid_887), patate (sid_638), scuola (sid_128), simbolo mano F (sid_898)",1216,71.78
S180,25,1.48%,20,1.69%,"""22 dicembre"" di L. Lamano (sid_1007), ""22 dicembre"" di L. Lamano (sid_1080), ""22 dicembre"" di L. Lamano (sid_1091), altissimo (sid_545), andare via 2 (sid_716), bambin 2 (sid_478), casa (sid_546), ci penso io (sid_410), colore (sid_359), dare un bacio alla francese (sid_421), fa  (passato) (sid_276), maschio (sid_729), meta (linguistica) (sid_733), passato (incontrare) (sid_676), piano (sid_769), segno nome chiara (sid_197), sono io (due segni) (sid_411), undici piano quindici piano (sid_771), vado (sid_194), vecchio (sid_724)",1241,73.26
S118,23,1.36%,18,1.52%,"""22 dicembre"" di L. Lamano (sid_1010), ""22 dicembre"" di L. Lamano (sid_1014), 17_caritro_picchio_LIS_MM (sid_1054), 17_caritro_picchio_LIS_MM (sid_1056), 17_caritro_picchio_LIS_MM (sid_1057), 17_caritro_picchio_LIS_MM (sid_1058), Austria LIS (sid_668), Titolo (sid_996), cane cade dalla finestra (sid_599), computer (sid_573), scendere da (sid_427), scendere dall'autobus (sid_426), valentina (sid_114), valentina (sid_151), valentina (sid_68), valentina (sid_93), verde (sid_7), vigile (sid_384)",1264,74.62
