Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1f7,27,2.59%,22,3.41%,"Nghệ An (sid_160), Thủ Đức (sid_116), Thủ Đức (đã chỉnh sửa) (sid_386), ai (đã chỉnh sửa) (sid_67), anh (anh trai) (sid_298), bạn thân (sid_286), bạn thân (đã chỉnh sửa) (sid_395), chồng (sid_292), chồng (đã chỉnh sửa) (sid_365), chữ A (sid_5), cô (sid_327), giải thích (sid_566), hoà tan (sid_599), hơn (sid_262), khao (bao) (sid_637), lịch sự (sid_247), mệt (sid_265), nhất (sid_263), quan trọng (sid_222), thích (sid_144), tự hào (sid_267), đặc biệt (sid_239)",634,60.9
S1ce,27,2.59%,21,3.25%,"Bến Tre (sid_145), Thái Nguyên (sid_159), chọn (sid_462), chợ (sid_187), chủ tịch (sid_233), chữ T (sid_26), gì (sid_65), gì (sid_66), gì (đã chỉnh sửa) (sid_377), hy vọng (hi vọng) (sid_625), hái (sid_592), khâu (sid_639), kiến trúc sư (sid_171), kiến trúc sư (đã chỉnh sửa) (sid_359), kiểm tra (sid_652), siêu thị (sid_188), thường xuyên (sid_306), thủ đô (sid_139), tóc (sid_357), tỉnh (sid_138), vẽ (sid_195)",661,63.5
S150,27,2.59%,21,3.25%,"bắt (động vật) (sid_427), bắt cóc (sid_430), cáu (sid_278), em bé (sid_307), ghen (sid_556), gào (sid_555), gõ cửa (sid_586), gõ cửa (sid_587), hãnh diện (sid_594), hét (sid_595), may mắn (sid_347), nghèo (sid_324), sợ (sid_279), tức giận (sid_275), tức giận (tức) (sid_274), tức giận (đã chỉnh sửa) (sid_379), ăn dưa hấu (sid_407), ăn táo (sid_410), ăn vú sữa (sid_414), ăn ổi (sid_409), đặt cọc (sid_492)",688,66.09
S1f8,25,2.4%,16,2.48%,"cùng (sid_332), cùng (đã chỉnh sửa) (sid_397), cởi quần (sid_469), cởi áo (sid_468), giặt (sid_575), giết (A giết B) (sid_579), giết (bạn ấy giết bạn) (sid_580), giết (bạn ấy giết tôi) (sid_581), giết (tôi giết bạn ấy) (sid_583), giết (tôi giết bạn) (sid_582), họp (sid_609), khoá (sid_644), khám (sid_636), ăn cam (sid_403), ăn vú sữa (sid_414), đặt cọc (sid_492)",713,68.49
S106,23,2.21%,21,3.25%,"Gò Vấp (sid_115), chết (mất, qua đời) (sid_334), có không (sid_204), dụ dỗ (sid_475), dữ (sid_252), giờ (sid_87), hoạ sĩ (đã chỉnh sửa) (sid_362), hài (sid_591), hư (sid_621), họa sĩ (sid_180), luôn (đã chỉnh sửa) (sid_366), luôn luôn (sid_305), nông dân (sid_169), nông dân (đã chỉnh sửa) (sid_369), số chín (sid_50), số chín mươi (sid_53), số một trăm (sid_54), thợ hàn (sid_175), xui (sid_349), đoán (sid_525), đặt tên (sid_493)",736,70.7
S185,20,1.92%,14,2.17%,"buôn bán (bán) (sid_166), buôn bán (đã chỉnh sửa) (sid_385), bông hoa (bông, hoa) (sid_237), còn (sid_304), còn (đã chỉnh sửa) (sid_396), dạy (sid_193), học (sid_194), học tập (sid_602), quên (sid_283), xấu hổ (sid_272), ăn xoài (sid_412), đem (sid_499), đem (sid_500), đại bàng (sid_218)",756,72.62
S177,15,1.44%,14,2.17%,"báo (sid_421), bắt chước (sid_429), chưa (sid_75), cúp điện (sid_471), hôn (bạn ấy hôn tôi) (sid_613), hôn (sid_612), hôn (tôi hôn bạn) (sid_614), hôn má (sid_615), hôn tay (sid_616), hôn trán (sid_617), thông minh (sid_266), ăn nho (sid_408), đính hôn (sid_523), đếm (sid_506)",771,74.06
S19a,15,1.44%,12,1.86%,"chữ Y (sid_29), cũng (sid_113), hay (sid_343), nhưng (sid_131), quê (sid_141), số sáu (sid_47), tại sao (vì sao) (sid_281), xa (sid_303), yêu (sid_294), ỉa (sid_626), ở nhà (sid_350), ở nhà (đã chỉnh sửa) (sid_375)",786,75.5
S1dc,13,1.25%,12,1.86%,"chữ L (sid_22), giao lưu (sid_572), giải bài tập (sid_563), giải quyết (sid_565), ngủ (đi ngủ) (sid_132), số bảy (sid_48), thời gian (sid_121), thứ (sid_93), tuần (số tuần) (sid_340), tuần (số tuần) (đã chỉnh sửa) (sid_368), y tá (sid_165), đẹp (sid_256)",799,76.75
S140,11,1.06%,10,1.55%,"chữ K (sid_16), chữ P (sid_21), khuyên (sid_651), kiểm tra (sid_652), kể (sid_630), kể lại (sid_631), kệ (sid_632), kỹ sư (sid_170), phó (sid_230), đăng ký (đăng kí) (sid_491)",810,77.81
S119,9,0.86%,9,1.39%,"Nghệ An (sid_160), Vietnam (sid_1), Vietnamese (sid_2), Vũng Tàu (sid_150), chữ N (sid_19), nhưng (sid_131), nội trợ (sid_172), nội trợ (đã chỉnh sửa) (sid_370), đi bộ (sid_510)",819,78.67
S1ed,9,0.86%,9,1.39%,"bà (sid_313), bận (sid_432), chủ tịch (sid_233), chữ Q (sid_23), nội (sid_314), quận (sid_114), điều tra (sid_520), điều tra (sid_521), ốm (gầy) (sid_251)",828,79.54
S1f4,9,0.86%,9,1.39%,"hối lộ (sid_611), ký tên (kí tên) (sid_654), lịch sử (sid_242), ngân hàng (nhà băng) (sid_189), ngân hàng (đã chỉnh sửa) (nhà băng (đã chỉnh sửa)) (sid_372), thư ký (sid_221), trắng (bạch) (sid_214), tuần (số tuần) (sid_340), tuần (số tuần) (đã chỉnh sửa) (sid_368)",837,80.4
S176,9,0.86%,8,1.24%,"bán (sid_420), chữ O (sid_20), không bao giờ (không đời nào) (sid_317), không có (sid_648), số chín mươi (sid_53), số không (sid_41), thứ (sid_301), toán (sid_351)",846,81.27
