Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1f5,32,2.19%,22,2.62%,"Easter (sid_109), I'm fine (well, Theme: greetings and introductions, theme: contact symbols) (sid_266), Life : Alive (live) (sid_371), Number; Seven 7 (Seven) (sid_344), Numbers Eight 8 (Eight, 8) (sid_345), all right (fine, OK, Theme: greetings and introductions) (sid_261), congratulations (theme: cards) (sid_429), door bell (ring the door bell) (sid_495), eleven (11) (sid_782), farmer (sid_608), fine (sid_72), finish (sid_73), good (OK) (sid_834), hello (good, Theme: greetings and introductions) (sid_260), how are you? (Theme: greetings and introductions) (sid_264), know (sid_586), know (sid_759), late (sid_56), six pounds (£ 6.00) (sid_817), start (sid_142), start (sid_352), thousand (1000) (sid_795)",992,67.9
S106,31,2.12%,23,2.73%,"Bird (Parrot) (sid_444), Countries (Egypt) (sid_246), K (sid_172), K (sid_691), K (sid_692), Q (sid_120), R (sid_135), R (sid_705), R (sid_706), begin (sid_187), change (exchange) (sid_727), change (exchange) (sid_728), come (sid_14), kitchen (sid_839), living room (sid_841), make friends (friends) (sid_482), sister (Theme: family, Theme: sheet Maureen) (sid_306), sister (sid_307), sister (sid_308), sister (sid_309), sister (sid_606), sister (sid_612), start (sid_100)",1023,70.02
S1f7,30,2.05%,19,2.26%,"Animal (Gorilla) (sid_442), Back packing (walker , Hiking, Walking) (sid_548), Grate cheese (grate food, grater) (sid_479), March (sid_847), Swim (Crawl stroke) (sid_447), Wash a car (wash windows) (sid_473), bath (sid_564), brother (Theme: family, Theme: sheet Maureen) (sid_257), brother (sid_310), cold (sid_256), date (sid_780), help (sid_258), hungry (theme: contact symbols) (sid_255), mine (my, Theme: family details) (sid_252), number (sid_129), number (sid_18), poster (sid_481), sorry (sid_254), your (Theme: family details) (sid_253)",1053,72.07
S144,19,1.3%,16,1.9%,"4 (four, Theme: numbers) (sid_285), Animal (Zebra) (sid_441), Materials (Checked, Plaid) (sid_328), Money (£4, four pounds) (sid_519), NINE (NUMBER  9) (sid_667), Nine (Nmber 9) (sid_666), Nose bleed (bloody nose) (sid_512), Number four (four) (sid_340), Rainbow (sid_556), forty (40) (sid_771), four pounds (£ 4.00) (sid_810), nine pounds (£ 9.00) (sid_815), nineteen (19) (sid_790), ninety (90) (sid_776), number (Nine) (sid_323), printed-material (sid_67)",1072,73.37
S153,19,1.3%,11,1.31%,"Flash the lights (sid_535), afraid (sid_148), biscuit (sid_162), biscuit (sid_805), bring (sid_74), fingerspell (Theme: In Signing class) (sid_289), furious (sid_113), is-it-afraid (sid_47), lion (sid_123), queen (sid_356), tiger (theme:ANIMAL) (sid_228)",1091,74.67
S18c,17,1.16%,16,1.9%,"M (sid_16), M (sid_695), M (sid_696), MacDonald (sid_616), Manchester (sid_756), May (sid_848), Monday (Theme: days, Theme: sheet Maureen) (sid_298), Mother (sid_244), Mother (sid_245), Mum (sid_242), Number : three (Three) (sid_339), Number: three (Three) (sid_338), million (sid_796), month (sid_846), number (three) (sid_327), parents (sid_107)",1108,75.84
S1ce,16,1.1%,8,0.95%,"B (sid_176), P (sid_94), Perfect (sid_633), Q (sid_120), contact (Theme: poster) (sid_319), question (sid_821), sew (stitch, sewing, sew by hand, mend) (sid_565), silent (Words for Silent night Part 1) (sid_590)",1124,76.93
S19a,16,1.1%,10,1.19%,"Animals (Hippo) (sid_423), Hippo (sid_622), S (sid_723), cow (theme:ANIMAL) (sid_204), maybe (sid_35), maybe (sid_803), new york (sid_642), sheets (sid_390), telephone (sid_7), which (sid_744)",1140,78.03
S1c5,16,1.1%,8,0.95%,"Clothes (panties, knickers, underwear, underpants) (sid_456), I (sid_687), I (sid_688), Jesus (Jesus Christ) (sid_656), Jesus Bible (sid_557), internet (website) (sid_826), live (address, Theme: family details) (sid_279), toilet (sid_760)",1156,79.12
S1dc,14,0.96%,8,0.95%,"7 (seven) (sid_664), 7 (sid_382), American  Sign Language (sid_219), Blow drying hair (drying hair) (sid_525), email (sid_36), language (sid_101), not-allowed (sid_51), twelve (12) (sid_783)",1170,80.08
S1ea,13,0.89%,8,0.95%,"Braid hair (Plait hair, platts) (sid_524), Clothes (scarf, neck scarf) (sid_461), Dealing card (play cards, games) (sid_469), Hair brush (Brush hair) (sid_522), Hobbies (Golf, Sports) (sid_450), Hobbies (Table tennis, sport) (sid_451), match for fire (strike a match) (sid_485), ten (10) (sid_778)",1183,80.97
S1ed,13,0.89%,13,1.55%,"C (sid_833), Cardiff (sid_804), D (sid_676), D (sid_677), Manchester (sid_756), Newcastle (sid_757), camera (sid_655), coffee (sid_748), colour (sid_740), cousin (sid_739), cream (sid_741), daughter (sid_742), police (sid_503)",1196,81.86
S1f4,12,0.82%,8,0.95%,"Animal (Chicken, Bird) (sid_439), Glasses (Spectacles) (sid_359), Open eyes (wake up, Be aware) (sid_508), bird (theme:ANIMAL) (sid_199), bird-flying (sid_60), bird-landing (sid_54), budgie (theme:ANIMAL) (sid_200), cat (theme:ANIMAL) (sid_203)",1208,82.68
S180,12,0.82%,6,0.71%,"Bedroom (sid_550), Dining Room (Canteen) (sid_547), Z (sid_721), Z (sid_722), building (build) (sid_238), clothes (Blouse) (sid_458)",1220,83.5
S182,12,0.82%,9,1.07%,"Arrive (arrived) (sid_544), Duty (sid_558), Responsibility (sid_625), Z (sid_59), garage (sid_130), heart (sid_21), home (sid_34), recently (sid_75), zoo (sid_844)",1232,84.33
S1eb,11,0.75%,9,1.07%,"B (sid_832), Hobbies (Fishing with a  rod, Fishing) (sid_446), P (sid_314), P (sid_830), SignWriting (Theme: poster) (sid_312), Write (write down, writing) (sid_578), happen (sid_79), penny (pence) (sid_806), purple (sid_845)",1243,85.08
S192,10,0.68%,8,0.95%,"Saturday (sid_743), sheep (sid_661), sheep (sid_662), six (6) (sid_734), six pounds (£ 6.00) (sid_812), sixteen (16) (sid_787), sixty (60) (sid_773), skinny (thin, slim) (sid_731)",1253,85.76
S11e,10,0.68%,9,1.07%,"3 (sid_853), 8 (eight) (sid_665), 8 (sid_381), Park car (Park vehicle) (sid_467), Yorkshire (sid_19), black (Theme:COLOURS) (sid_231), horse (sid_212), horse (theme:ANIMAL) (sid_221), thirteen (13) (sid_784)",1263,86.45
S118,10,0.68%,8,0.95%,"Countries (Austria) (sid_239), Family. Niece (niece) (sid_336), aunt (uncle, nephew, niece) (sid_825), lip-pattern (Theme: In Signing class) (sid_290), old (sid_609), seat (chair, row of chairs) (sid_492), sit on a chair (sid_491), walk (sid_649)",1273,87.13
S14e,10,0.68%,6,0.71%,"Animal (Gorilla) (sid_442), Animal (Monkey) (sid_438), Grate cheese (grate food, grater) (sid_479), animal (theme:ANIMAL) (sid_197), comb ones hair (comb hair) (sid_523), technology (sid_175)",1283,87.82
S17d,9,0.62%,7,0.83%,"Countries (Holland) (sid_217), Countries (Sweden) (sid_571), Sweden (country) (sid_623), deoderant (sid_573), friend (sid_604), sheep (theme:ANIMAL) (sid_226), wish (desire, theme: contact symbols) (sid_407)",1292,88.43
S1ec,8,0.55%,6,0.71%,"C (sid_127), D (sid_179), Dad (sid_241), cheek (cheeky, insult) (sid_363), department (sid_83), stay (sid_114)",1300,88.98
S10b,8,0.55%,7,0.83%,"Around the corner (sid_454), Countries (China, Chinese) (sid_569), T (sid_726), blue (sid_160), heart (sid_164), here (sid_41), me (sid_45)",1308,89.53
S154,8,0.55%,4,0.48%,"Mickey mouse (sid_577), animal (theme:ANIMAL) (sid_198), hamster (theme:ANIMAL) (sid_210), king (sid_229)",1316,90.08
S198,8,0.55%,3,0.36%,"S (sid_147), S (sid_707), S (sid_708)",1324,90.62
S15c,6,0.41%,2,0.24%,"boat sailing forward (sid_488), table (sid_489)",1330,91.03
S186,6,0.41%,6,0.71%,"3 (sid_57), Counties (Wales) (sid_270), third (sid_8), thirty (30) (sid_770), three (sid_165), three pounds (£ 3.00) (sid_809)",1336,91.44
S1ef,5,0.34%,3,0.36%,"Clothes (stripped shirt) (sid_465), Glasses (Spectacles) (sid_359), cat (theme:ANIMAL) (sid_203)",1341,91.79
S17c,5,0.34%,4,0.48%,"birds-being-fed (sid_37), christmas (father Christmas) (sid_653), christmas (father christmas, theme: cards) (sid_426), clothes (shoes, put on shoes) (sid_459)",1346,92.13
S10a,5,0.34%,5,0.59%,"Colour Pink (pink) (sid_355), Number. six (Six, 6) (sid_342), camera (sid_655), heartbeat (sid_173), sister (Theme: family, Theme: sheet Maureen) (sid_311)",1351,92.47
S1db,4,0.27%,4,0.48%,"E (sid_678), E (sid_679), O (sid_699), O (sid_700)",1355,92.74
S152,4,0.27%,4,0.48%,"1 (one) (sid_669), A (sid_670), A (sid_671), horrible (sid_70)",1359,93.02
S1cd,4,0.27%,4,0.48%,"eight (8) (sid_736), eight pounds (£ 8.00) (sid_814), eighteen (18) (sid_789), eighty (80) (sid_775)",1363,93.29
S14f,4,0.27%,1,0.12%,"Clothes (Jacket, Life jacket., Coat) (sid_213)",1367,93.57
S13f,4,0.27%,3,0.36%,"Animal (Duck) (sid_440), Nappy (sid_575), with (together, theme: contact symbols) (sid_409)",1371,93.84
S10c,4,0.27%,2,0.24%,"heart-attack (sid_153), heart_attack (sid_65)",1375,94.11
S12d,4,0.27%,3,0.36%,"Bacon (sid_549), Numbers Nine (nine 9) (sid_346), eight pounds (£ 8.00) (sid_819)",1379,94.39
S1fb,4,0.27%,3,0.36%,"Animal (Rhino) (sid_433), Musical instruments (Accordian) (sid_539), Rhino (sid_618)",1383,94.66
S18e,4,0.27%,4,0.48%,"9 (sid_855), fourteen (14) (sid_785), nine (9) (sid_668), nine pounds (£ 9.00) (sid_820)",1387,94.93
S1f0,4,0.27%,4,0.48%,"bird (sid_85), eleven (11) (sid_791), little-bird (sid_140), twenty (20) (sid_793)",1391,95.21
S1d4,4,0.27%,3,0.36%,"Benefits. (sid_476), Clothes (shirt) (sid_462), earring (theme: contact symbols) (sid_410)",1395,95.48
