Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S16d,43,2.19%,35,2.69%,"C (sid_1449), C (sid_268), Colombie (sid_602), Costa-Rica (sid_1244), Iris (sid_1297), Mexique (sid_54), Toulouse (sid_1007), botte (sid_1253), bouteille (sid_1087), champagne (sid_1052), citron (sid_633), communiquer (sid_313), communiquer (sid_904), cousin (sid_1137), elephant (sid_707), essayer-1 (sid_513), experimentation (sid_1296), fleur (sid_197), girafe (sid_258), h-dragon (sid_1069), h-vase (sid_323), h-vase (sid_570), h-vase (sid_739), laver-verre (sid_393), loup (sid_253), mettre-dans-verre (sid_1235), noel (sid_913), noel-1 (sid_1161), pere-noel (sid_875), pere-noel-1 (sid_1031), secouer-bras (sid_1006), the (sid_126), vase (sid_251), verre (sid_11), verre (sid_395)",1215,61.8
S150,43,2.19%,24,1.85%,"Afrique (sid_342), AlexG (sid_405), Laos (sid_337), Lyon (sid_1183), Munich (sid_1226), aout (sid_428), aout-G (sid_907), araignee (sid_946), choux (sid_1277), compliqué (sid_1341), cuire-fort (sid_89), h7-Alex (sid_185), hurlement (sid_1207), lion (sid_769), lion (sid_853), marcher-patte (sid_863), monstre (sid_980), riz (sid_1445), sombre (sid_425), tigre (sid_932), triste (sid_353), vouloir (sid_818), vouloir-fort (sid_124), vouloir-oui (sid_216)",1258,63.99
S1ce,41,2.09%,26,2.0%,"10-1 (sid_1055), LaureneE (sid_485), araignee (sid_946), araignee-2 (sid_447), cherie (sid_502), cour-de-recreation (sid_789), cycle (sid_1415), célibataire (celibataire) (sid_1347), double-boutons (sid_1061), h-dragon (sid_1104), h-dragon (sid_803), histoire (sid_1086), il-y-a-pas (sid_1108), juste (sid_1091), leopard (sid_112), mignon-1 (sid_1083), oui (sid_365), pays (sid_998), primaire (sid_628), rendez-vous (sid_900), salle (sid_301), salle (sid_459), sida (sid_1220), union (sid_79), voix off (sid_1439), ° (sid_1467)",1299,66.07
S180,39,1.98%,29,2.23%,"Coree (sid_880), adorer (sid_196), appeler-moi (sid_151), au-revoir (sid_394), cacher (sid_649), chez (sid_1269), confiance (sid_238), connaitre (sid_793), dans (sid_959), encore (sid_1323), fatigue (sid_590), fiche (sid_1187), grammaire (sid_483), h-dragon (sid_1136), h-dragon (sid_283), h-dragon (sid_973), inferieur (sid_1132), journee (sid_999), manger-beaucoup (sid_153), millier (sid_1373), salon du livre (sid_1383), savoir (sid_933), savoir-oui (sid_1017), separer (sid_1148), soir (sid_679), superieur (sid_1120), tortue (sid_488), vite (sid_294), être (sid_1362)",1338,68.06
S144,33,1.68%,25,1.92%,"4 (sid_1256), 4 (sid_1471), 48-1 (sid_1009), 9 (sid_1476), 9 (sid_792), Jean-Louis (sid_1021), Marie-PauleK (sid_1047), OphelieE (sid_522), Tibili (sid_759), YoannF (sid_335), anniversaire (sid_526), catalogne (sid_1377), chien (sid_172), chien (sid_250), conference (sid_1125), frites (sid_458), frites (sid_730), h-vase (sid_23), herisson-1 (sid_601), herisson-2 (sid_690), jupe (sid_390), paradis (sid_1317), parfum (sid_233), velo (sid_899), week-end (sid_545)",1371,69.74
S1ec,33,1.68%,20,1.54%,"Angleterre (sid_95), Nepal (sid_610), accessibilite (sid_846), accessibilite-1 (sid_540), accessibilite-2 (sid_1145), accessibilite-3 (sid_15), biscotte (sid_1178), biscuit (sid_1053), bourgeois (sid_972), chance (sid_854), cravate-1 (sid_893), expression (sid_676), h-dragon (sid_736), h7-Alex (sid_107), logique (sid_1193), lunette (sid_288), ours (sid_76), personnes (sid_263), photo (sid_129), pizza (sid_910)",1404,71.41
S1d4,33,1.68%,25,1.92%,"Chili (sid_117), RemiE (sid_747), RonitL (sid_1300), RonitL (sid_1301), RonitL-1 (sid_1302), chaussette-1 (sid_344), cheveux (sid_928), cravate (sid_1135), drap (sid_499), fromage (sid_1075), fromage (sid_767), fromage-1 (sid_279), fromage-2 (sid_119), h-dragon (sid_1262), minute (sid_1100), poison (sid_1039), raisin (sid_1140), septembre (sid_949), septembre-1 (sid_1023), septembre-G (sid_905), souligner (sid_1171), the (sid_126), trouver (sid_898), viande (sid_821), viande-1 (sid_418)",1437,73.09
S118,33,1.68%,29,2.23%,"Autriche (sid_1045), JoVS (sid_292), Nord-d-Irlande (sid_434), chamois (sid_35), chenille (sid_1380), chercher (sid_273), chercher (sid_427), escalier-circulaire (sid_807), h-dragon (sid_620), h-dragon (sid_693), h6-chat (sid_1268), h6-chat (sid_65), marcher (sid_316), marcher-1 (sid_734), monter-arbre (sid_699), monter-descendre (sid_740), phrase_01_c/c (sid_1428), poeme-temps (sid_1018), poeme-temps (sid_1196), poeme-temps (sid_1271), poeme-temps (sid_189), poeme-temps (sid_234), reduire (sid_97), sauter (sid_276), transport (sid_1115), vert (sid_520), vert-1 (sid_161), vert-2 (sid_9), vert-3 (sid_47)",1470,74.77
S1dc,33,1.68%,23,1.77%,"2 (sid_1469), 7 (sid_1474), AnthonyE (sid_839), L (sid_503), L-S-F (sid_1294), LarisaL (sid_438), LeocardieE (sid_775), Londres (sid_51), Luxembourg (sid_85), chapeau-1 (sid_755), compter-index (sid_486), ecole (sid_1093), ecole-2 (sid_748), h-dragon (sid_701), h7-Alex (sid_1222), langue (sid_794), libre (sid_983), loi (sid_319), lundi-G (sid_378), marcher-2 (sid_1328), partir (sid_1063), partir (sid_1282), voix off (sid_1439)",1503,76.45
S17d,28,1.42%,21,1.62%,"Suede (sid_501), apprendre (sid_1201), dans (sid_959), elan (sid_84), etudiant (sid_1185), etudiant-31 (sid_162), gant (sid_1070), h-dragon (sid_128), h-dragon (sid_168), h-dragon (sid_629), h-dragon (sid_888), h-vase (sid_739), h7-Alex (sid_1134), h7-Alex (sid_214), h7-Alex (sid_640), h7-Alex (sid_746), h7-Alex (sid_786), manteau-2 (sid_176), ouf (sid_324), pere-noel-1 (sid_1031), prochette (sid_1065)",1531,77.87
