Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1ee,4,0.99%,3,1.1%,"Amarillo (sid_251), despertar (sid_58), jueves (sid_47)",313,77.28
S150,3,0.74%,2,0.74%,"Escritura de Señas Uruguaya (sid_141), gato (sid_68)",316,78.02
S16d,3,0.74%,3,1.1%,"C (sid_6), Famoso (sid_201), Nuevo (sid_203)",319,78.77
S1ed,3,0.74%,2,0.74%,"Significar LSM (sid_116), tomate (sid_70)",322,79.51
S167,3,0.74%,3,1.1%,"6 (sid_37), E (sid_8), Enero (sid_262)",325,80.25
S1cf,3,0.74%,3,1.1%,"S (sid_133), Santiago Val (sid_178), Setiembre (sid_270)",328,80.99
S1bb,3,0.74%,2,0.74%,"15 (sid_233), Lila (sid_259)",331,81.73
S152,3,0.74%,2,0.74%,"aburrido (aburrida) (sid_87), aceptar (sid_88)",334,82.47
S185,3,0.74%,2,0.74%,"abuela (sid_81), aceptar (sid_88)",337,83.21
S1a0,3,0.74%,3,1.1%,"Leche (sid_211), Uruguay (sid_2), Uruguay (sid_3)",340,83.95
S1eb,3,0.74%,3,1.1%,"ESUY (sid_241), ESUY (sid_242), frutilla (sid_73)",343,84.69
S101,3,0.74%,2,0.74%,"d (sid_11), y media (sid_44)",346,85.43
S182,3,0.74%,3,1.1%,"F LSU (sid_123), m (sid_26), menos cuarto (sid_56)",349,86.17
S178,3,0.74%,3,1.1%,".. (sid_210), Tímido (sid_218), Vergonzoso (sid_216)",352,86.91
S133,3,0.74%,2,0.74%,"Enamorado LSM (sid_119), Rapido LSM (sid_121)",355,87.65
S1d8,2,0.49%,1,0.37%,Family IS (sid_111),357,88.15
S12d,2,0.49%,2,0.74%,"Conejo (sid_112), conejo (sid_113)",359,88.64
S112,2,0.49%,2,0.74%,"n (sid_27), ñ (sid_28)",361,89.14
