Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15d,542,15.72%,361,17.14%,"16 (sid_1672), 16 (szesnaście) (sid_2), 17 (sid_1135), 17 (siedemnaście) (sid_27), 18 (osiemnaście) (sid_33), 18 (sid_893), 19 (dziewiętnaście) (sid_34), 19 (sid_1768), Agnieszka Kołodziejczak (sid_1891), Allah (sid_1678), Brzesko (sid_19), CL-leżeć (sid_1825), Cygan (cygański, Rom, romski) (sid_936), Danuta Mikulska (sid_246), Holandia (sid_1794), Jerozolima (sid_1341), Lublin (sid_1670), M (sid_799), Maryja (sid_325), Matka Boża (sid_1731), Nowy Sącz (sid_126), Nowy Targ (sid_1771), Nowy Testament (sid_1901), Pałac Kultury i Nauki (sid_1877), Piotr (sid_760), Piotr Tomaszewski (sid_213), Romuald Szurik (sid_1102), Szwecja (sid_915), Tajlandia (sid_1479), Wiedeń (Jugosławia) (sid_202), absolutnie (sid_546), adres (sid_584), ateizm (ateista) (sid_2009), ateizm (sid_1030), bal (sid_1082), bal (sid_2013), bardzo dawno (sid_490), bez (sid_1570), bezpośredni (sid_60), bezrobotny (bezrobocie) (sid_1973), bezsens (bez sensu) (sid_1935), biblia (sid_756), biblioteka (sid_482), bić brawo (sid_1809), brawo (sid_461), brunet (brunetka) (sid_2180), będzie (sid_339), będzie (sid_767), cel (sid_1936), chodzić (sid_912), choinka (sid_651), chwała (chwalić, pochwała) (sid_1715), ciastko (sid_620), ciastko (sid_858), cieszyć się (sid_2026), cieszyć się (sid_290), cisza (sid_2269), cisza (sid_488), co najmniej (sid_1421), czarny (sid_1322), czwórka (sid_483), czytać (sid_1866), data (sid_451), dawno (sid_1892), decyzja (sid_2027), decyzja (sid_2028), deklaracja podatkowa (sid_1769), dla (sid_1111), dlaczego (sid_1184), dlatego (sid_1317), do (sid_810), do widzenia (do zobaczenia) (sid_758), do widzenia (witać, dzień dobry) (sid_576), dolar (sid_1525), doświadczenie (sid_1496), droga (sid_1250), druk (sid_142), drukarka (sid_1321), drukować (druk, drukarz) (sid_1296), drukować (sid_612), drukować (sid_967), drzwi (sid_1642), drzwi lekko uchylone (sid_1388), dwójka (sid_898), dzieci (sid_1518), dzieci (sid_1654), dzięki (sid_319), dziękować (sid_277), dżem (sid_2231), email (sid_1535), firma (sid_721), fleksja (sid_859), formalny (sid_2033), gadac (sid_1450), gadać (sid_817), gardło (sid_505), gazeta (sid_445), geografia (sid_1756), gmina (sid_1793), gotowy (sid_984), granica (sid_1173), gruby (sid_2190), gumka do mazania (sid_1256), herbata (sid_418), hostel (sid_730), imieniny (sid_1268), imieniny (sid_726), islam (muzułamnizm, muzułmanin, muzułmański, islamski, islamista) (sid_507), jedynka (sid_965), już (sid_621), językoznawstwo (lingwistyka) (sid_739), kanapka (sid_2229), kandydat (kandydować) (sid_1770), karp (akwarystyka) (sid_43), karty (sid_20), kemping (sid_195), klasa (sid_1782), klucz (sid_995), kochać (sid_1549), kochać (sid_1827), komunizm (sid_599), komórka (telefon komórkowy) (sid_1589), komórka (telefon komórkowy) (sid_1680), koniec (sid_216), kontakt (sid_198), koperta (sid_1270), kopia (sid_1594), kopia (sid_163), kopia (sid_1706), kopiować (sid_1121), kopiować (sid_1345), korupcja (sid_1003), kosztować (skarbowy, koszt) (sid_1676), koło (sid_905), końcówka (sid_1238), kredka (sid_2078), kubek (sid_1237), kółko (sid_1697), kłaść (położyć) (sid_830), lato (sid_683), legitymacja (sid_286), leń (lenistwo, leniwy) (sid_698), list (sid_1456), lista (sid_819), lotnisko (sid_188), lubić (sid_1714), lęk (strach) (sid_1753), ma (sid_1653), ma (sid_1786), macie (sid_75), magister (mgr) (sid_2157), mają (sid_283), mam (sid_1022), mamy (sid_220), mapa (sid_105), marzec (sid_64), masz (sid_920), masło (sid_2230), małżeństwo (sid_1578), miasto (sid_792), miejsce (sid_834), miesiąc (sid_562), miesiączka (menstruacja) (sid_688), mieszkać (sid_428), mieć (mam) (sid_130), minuta (sid_1603), między (sid_186), międzynarodowy (sid_578), miłość (sid_1395), miłość (sid_404), miły (sid_1911), moda (sid_699), mysz (sid_433), mąż (żona) (sid_388), młodzież (młodzieżowy) (sid_2227), na przykład (np.) (sid_986), nacjonalizm (sid_1026), namiot (sid_292), naród (narodowość, narodowy) (sid_1167), nie chcieć się (sid_473), nie ma (już nie ma) (sid_307), nie ma (nie mam, nie mieć) (sid_1306), nie mieć (sid_1247), nie mieć (sid_2149), nie moja sprawa (sid_72), nie udać się (przegrać) (sid_728), nie udać się (sid_1204), nie umieć (nie wiedzieć) (sid_1856), nie zdać (oblać) (sid_1183), nie zdać (sid_2150), niedawno (sid_1869), niemiły (sid_531), nienawidzić (sid_403), nienawiść (sid_1633), nowość (sid_1158), nowy (sid_1881), obiad (sid_2046), oboz (sid_149), od (sid_667), odpowiadać (odpowiedzieć, odpowiedź) (sid_1174), okres (sid_15), ortografia (sid_165), paczka (sid_1748), paszport (sid_143), peron (sid_1008), pełny (sid_1137), piwo (pub) (sid_7), piwo (sid_1979), pizza (sid_2241), piątka (sid_1240), plac (sid_1276), plan (sid_1464), pociąg (jechać pociągiem) (sid_571), pociąg (sid_2172), początek (rozpocząć) (sid_1149), podanie (sid_1789), podatek (sid_374), podobać się (sid_24), podstawa (sid_1422), podstawa (sid_959), podstawowy (sid_2154), podstawy (sid_1619), podstawy (sid_911), pokój (sala) (sid_668), pole (sid_247), pole namiotowe (sid_824), pomagać (pomóc ci, pomóc tobie) (sid_1627), pomagać mi (pomóc mi, ty pomagasz mi) (sid_1272), pomoc (sid_1298), potem (sid_1776), potrzeba (sid_389), potrzebować (sid_1402), powietrze (sid_1424), powtarzać (sid_255), powtórzyć (sid_128), pozdrawiać (życzyć) (sid_5), poznać się z kimś (zapoznać się z kimś, poznać kogoś) (sid_387), pozwalać (pozwolić) (sid_243), południe (południowy) (sid_598), pracownia (sid_763), prawo (sid_465), proponować (zaproponować, proponować tobie) (sid_366), prosto (sid_1884), prosty (sid_1728), przedmiot (sid_453), przedział (sid_183), przedział (sid_1909), przegrać (stracić) (sid_1291), przeszły (sid_1720), przez (sid_1534), przyszłość (przyszły) (sid_814), punkt (sid_1182), pół (połowa) (sid_1847), północ (sid_1613), później (sid_910), płacić (zapłacić, płatność) (sid_508), płyta (sid_1131), radość (sid_1920), raz (sid_714), referat (sid_518), rezerwować (rezerwacja, zająć) (sid_489), romski (sid_1606), rozwód (sid_644), ryba (sid_411), rynek (sid_1300), ryzyko (sid_1965), ręcznik (sid_1166), sala (sid_400), samotność (sid_1948), ser (sid_2232), skala (sid_1381), skaner (skanować, zeskanować) (sid_1507), skarpetka (sid_2204), sklep (sid_1635), skrzydło (sid_1179), skrzynka pocztowa (sid_692), skrzyżowanie (sid_210), składać (składnia) (sid_1885), sobota (sid_1739), sport (sportowy, piłka nożna) (sid_2226), sprawa (sid_1206), sprzątać (sid_2051), stać (sid_463), stewardessa (sid_843), strach (sid_341), szczupły (sid_2186), szpital (sid_1060), służyć (usługa, usługiwać, służba, służący) (sid_1472), tabletka (sid_1987), talerz (sid_1824), talerze (sid_1800), temperatura (sid_1316), trzeba (sid_1208), trójka (sid_390), tylko (sid_335), udostępniać (share) (sid_2288), ulga (sid_1281), ulica (sid_931), umieć (sid_196), urodzić się (urodziny) (sid_1359), w lewo (sid_257), w prawo (sid_940), wagary (sid_1512), wegetariański (wegetarianin, bez mięsa, jarosz) (sid_2239), wiara (sid_1458), wierzyć (sid_212), witać (sid_1506), wniosek (propozycja, zlozyc-podanie) (sid_171), wola (sid_1962), wschod (sid_711), wsiąść (wsiadać) (sid_2169), wstac (sid_929), wstawac (sid_190), wstydzić się (sid_1990), wychowawca (wychowanie, wychowywać) (sid_1625), wycieczka (sid_852), wygrac (sid_1689), wyklad (sid_781), wypelniac (sid_1308), wysiasc (sid_1223), wysiąść (sid_2171), wysiąść (wysiadać) (sid_2170), wystarczyc (sid_1128), wywiad (sid_815), węgiel (sid_1735), włosy długie (sid_2193), włosy proste (sid_2192), zachować (sid_1571), zachód (sid_1372), zadowolony (sid_1490), zagranica (sid_1080), zagranica (za granicą) (sid_1100), zapisać (sid_1412), zapisać (sid_1526), zapraszać (zaprosić) (sid_727), zaprosić mnie (sid_1755), zasada (sid_1418), zasada (sid_1704), zasady (sid_1438), zasady (sid_740), zaślepiony (sid_1061), zeszyt (sid_187), zle (sid_1024), znaczek (sid_1486), znizka (sid_265), znizka (sid_530), znowu (sid_713), znowu (sid_907), zona (sid_1611), zostac (sid_1816), zwyciężyć (udać się, wygrać, zdać) (sid_641), zwykly (sid_1201), zyczenie (sid_169), zyczyc (sid_862), łapówka (sid_928), łaska (sid_2164), Ślęczka (sid_533), ślepa miłość (sid_750), ślepa nienawiść (sid_501), średni (sid_1010), środek (centrum) (sid_498)",542,15.72
S100,460,13.34%,306,14.53%,"1 (sid_1703), Agnieszka Kołodziejczak (sid_1891), Agnieszka Zając (sid_2280), Allah (sid_1678), Azja (sid_1187), Azjata (sid_1189), Berlin (sid_1186), CL-człowiek (sid_159), D (sid_477), Francja (sid_1459), Grecja (sid_135), Jan Siestrzyński (sid_204), Lucyna Długołęcka (sid_1592), Magdalena Derwojedowa (sid_181), Małgorzata Czajkowska-Kisil (sid_1889), Małgorzata Woźniakowska (sid_987), Myślenice (sid_555), Olsztyn (sid_813), Piotr (sid_760), Portugalia (sid_1358), Poznań (sid_710), Prusy (sid_1469), Przemyśl (sid_1604), Romuald Szurik (sid_1102), Słowacja (Słowak, słowacki) (sid_1120), X (sid_1248), Z (sid_759), ale (sid_2110), ale (sid_432), audiogram (sid_2116), bajka (sid_1152), bawić się (sid_2015), bazylika (sid_397), bałagan (sid_590), bezsens (bez sensu) (sid_1935), brat (sid_1437), brat (sid_551), burza (sid_393), cel (sid_1936), cerkiew (sid_1465), chat (sid_958), chodzić (przychodzić) (sid_1636), chłopiec (chłopak, mężczyzna) (sid_1112), chłopiec (chłopak, mężczyzna) (sid_1624), cicho (sid_2293), cichy (sid_69), cisza (sid_1253), cisza (sid_2269), cisza (sid_488), cmentarz (sid_941), coś prostokątnego (sid_1356), czas ucieka (sid_1660), czerwony (sid_755), czwarty (sid_479), czy jesteś głodny? (czy jest pani głodna?, czy jest pan głodny?) (sid_1950), czyścić ucho (sid_2132), dB (decybel) (sid_2133), daleki (sid_386), daleki (sid_475), data (sid_451), decyzja (sid_2027), decyzja (sid_2028), decyzja (zdecydować, postanowić) (sid_1637), deklaracja podatkowa (sid_1769), depresja (sid_1922), dla (sid_1111), dlatego (sid_2294), dowód osobisty (sid_1726), drugi (sid_2108), drugi (sid_38), drugi (sid_854), dłonie (sid_539), dłoń (sid_1087), długi (sid_1108), długo (sid_1542), ekspres (sid_1375), godzina (sid_1161), godzina (sid_285), gramatyka (sid_346), grosz (sid_1615), głos (sid_48), głęboki (sid_2138), ich (sid_903), ja (sid_476), ja i ona (ja i on) (sid_1858), jeden (sid_1283), jeden (sid_841), jeden złoty (sid_1853), jedna godzina (sid_1790), jedynak (sid_1702), jej (jego, ich) (sid_2106), jest (sid_628), jest tam (sid_1144), judaizm (sid_1064), język (sid_2036), język (sid_992), język migowy (sid_2082), językoznawstwo (lingwistyka) (sid_739), kartka (sid_2080), kierunek (sid_946), kolęda (sid_147), kompot (sid_930), komunikator (sid_1302), komunikator (sid_449), komórka (telefon komórkowy) (sid_241), konflikt (sid_1939), konserwatyzm (sid_1503), korespondować (sid_569), koła (sid_1893), koło (sid_905), kościół (sid_1254), kościół (sid_18), ktory (sid_1784), kuzyn (sid_293), kółko (sid_1697), kłamstwo (kłamać) (sid_1959), lalka (sid_2117), lekcja (sid_884), liberalizm (sid_1252), liceum (sid_1460), liczyć (sid_1288), liczyć (sid_993), ludzie (sid_328), ludzie (sid_424), mam pomysł (sid_1076), mało (sid_140), metro (sid_878), mianownik (sid_1398), miesiąc (sid_486), milczeć (sid_549), minuta (sid_1603), minuta (sid_94), miłość (sid_1443), morfologia (sid_251), musieć (sid_1090), muzyka (sid_1109), mysz (sid_433), mysz (sid_659), myśleć (sid_1499), myśleć (sid_1852), myśleć (sid_572), mój (sid_1545), nacjonalizm (sid_1026), nakaz (sid_156), nakazać (sid_380), nie (sid_708), nie było (sid_1069), nie było (sid_1165), nie udać się (nie chcieć się) (sid_55), nie udać się (przegrać) (sid_728), nie udać się (sid_1204), nie wolno (zabronić) (sid_1551), nie zdać (oblać) (sid_1183), nie zdać (sid_2150), normalny (klasyczny) (sid_452), nudny (sid_976), numer (sid_96), objazd (sid_1494), oczy (sid_1249), odmiana przez przypadki (odmieniać przez przypadki) (sid_291), odpowiedzialność (odpowiedzialny) (sid_1998), ogród (ogrodnik, ogrodnictwo) (sid_274), oko (sid_1141), on (ona) (sid_1591), on (ona) (sid_353), on (ona) (sid_564), oni (sid_192), oni (sid_588), operacja (operować) (sid_2141), opowiadać (opowiedzieć) (sid_258), organizować (zorgaizować, organizacja, organizator) (sid_1785), osoba (sid_1541), osoba (sid_1580), osobisty (sid_484), pamięć (sid_1983), pamięć (sid_802), pan (sid_250), październik (sid_1154), pierwszy (jeden) (sid_2107), pierwszy (sid_1644), pierwszy (sid_1760), pierwszy (sid_491), pierwszy (sid_74), pilnować (sid_1952), pizza (sid_2241), piąty (sid_916), plotkować (plotka, plotkara) (sid_2042), plus (sid_1758), po (sid_757), podatek (sid_374), pogoda (sid_577), polecony (sid_1091), polityka (sid_1831), posłać (wysłać, wyślę ci) (sid_1425), potrafić (sid_28), powiedzieć (powiem ci) (sid_87), powiedzieć jej (powiedzieć mu) (sid_1844), powiedzieć mi (sid_686), pragnienie (sid_58), prawda (prawdziwy, rzeczywisty, szczery) (sid_1957), prefiks-mężczyzna (sid_2268), procesor (sid_1529), protestantyzm (sid_401), przed (sid_1835), przedrostek (sid_230), przychodzić (sid_1244), przyjść (sid_822), przypadek (sid_804), przyrostek (sid_377), przysłać mi (wysłać mi) (sid_512), psychika (psyche) (sid_1927), psycholog (sid_1151), psychologia (sid_1370), punkt (sid_1182), pół (połowa) (sid_1787), płacz (sid_1918), płukać ucho (sid_2130), płyta (sid_1131), radość (sid_1919), raz (sid_714), religia (sid_1434), restart (sid_662), rodzeństwo (sid_1799), rozmawiać (porozmawiać, rozmowa) (sid_1384), ryzyko (sid_1965), ręce (sid_1405), ręka (sid_296), sam (sid_1159), siostra (sid_1340), siostra (sid_1477), siostra (sid_2085), siostra (sid_528), skala (sid_1381), skrzyżowanie (sid_210), socjalizm (sid_364), spostrzec (zauważyć) (sid_2064), spotkać się (spotkanie) (sid_1556), sprytny (sid_261), struktura (sid_1286), styl (sid_229), syn (sid_2095), sztuczny (sid_310), szydzić (sid_362), słodycze (cukierek) (sid_2234), słowa (sid_580), słowo (sid_137), słowotwórstwo (sid_1150), słońce (sid_2200), tablica (sid_1103), taki sam (tak samo, ten sam, też, także, również) (sid_1086), talerz (sid_1824), talerze (sid_1800), tam (sid_1099), tam (sid_1482), tam (sid_1773), tam (sid_1775), tam (sid_317), telewizja (sid_1401), temperatura (sid_1316), temperówka (strugaczka) (sid_1194), ten (sid_1324), ten (sid_468), ten (sid_674), test (sid_2286), tradycja (sid_1093), trzeci (sid_2109), trzeci (sid_298), trzeci (sid_457), ty (sid_1035), typowy (sid_836), tłumacz (tłumaczyć, tłumaczyć dla ciebie, wytłumaczyć, wytłumaczyć ci, przetłumaczyć, tłumaczenie, wytłumaczenie) (sid_1047), tłumaczyć mi (wytłumaczyć mi) (sid_1097), umysł (rozum) (sid_1961), uwaga (uważać) (sid_655), uważać (uwaga) (sid_1953), uważać (uwaga) (sid_1954), uzależnienie (sid_1917), wasz (sid_1017), wesoly (sid_423), wspomnienie (wspominać) (sid_1944), wy (sid_83), wy-dwaj (sid_944), wygrac (sid_1689), wyraz (leksem) (sid_331), wyslac (sid_1554), wysoki (sid_2184), wytlumacz-mi (sid_1027), zabraniać (sid_182), zakaz (zakazywać, zakazać) (sid_1709), zaklinać (zaklęty) (sid_1088), ziemniak (sid_2237), zle (sid_84), zmienic (sid_1168), znaczenie (sid_778), znaczyc (sid_1752), znak (sid_1802), znak-przerwy (sid_46), znowu (sid_713), zwyciężyć (udać się, wygrać, zdać) (sid_641), Ślęczka (sid_533), śmieszny (sid_2086), świnia (sid_1821), świnka morska (sid_2111), Ź (sid_1406), Ż (sid_1528), że (sid_2295)",1002,29.06
S14c,408,11.83%,270,12.82%,"5 (sid_1675), 50-zl (sid_271), 6 (sid_1524), 7 (sid_308), 8 (sid_1491), 9 (sid_1386), Agnieszka Klimczewska (sid_2034), Antarktyda (sid_1663), Antarktyda (sid_1700), Australia (sid_1815), Betlejem (sid_1139), Biała Podlaska (sid_602), Bogdan Szczepankowski (sid_1104), Grzegorz Galewski (sid_634), Jerozolima (sid_1341), Jezus (sid_1631), Jolanta Wilczak (sid_863), Marek Lasecki (sid_1411), Mirosława Sosnowska (sid_399), OK (sid_124), SignWriting (sid_1033), Stany Zjednoczone (USA) (sid_1115), Stefan Woehrmann (sid_1498), Szwajcaria (sid_888), Ukraina (Ukrainiec, ukraiński) (sid_1673), Wójcik (sid_492), Złotowłosa (sid_961), afera (sid_438), arkusz kalkulacyjny (sid_259), aureola płonie (sid_585), bardzo nie lubić (sid_650), bałagan (sid_850), bezradność (sid_1921), bluzka (sid_2259), brać (sid_288), brzydki (sid_1451), bunt (protest) (sid_1938), charakter (sid_1980), ciemny (sid_1623), cisza (sid_1253), cześć (pa, do widzenia) (sid_924), cztery dni (sid_1600), czuć (sid_1377), czuć się (forma) (sid_472), deszcz (sid_925), do niczego (beznadziejny) (sid_2074), dość (dosyć, wystarczyć) (sid_45), drżeć (sid_1930), duch (sid_849), dusza (sid_519), duzo (sid_1292), dwa dni (sid_1609), dziesięć godzin (sid_309), dziesięć złotych (sid_2031), dziewiąty (sid_1742), dziewięć dni (sid_1408), dziewięć godzin (sid_1357), dziewięć godzin (sid_1385), dziewięć lat (sid_1738), dziewięć złotych (sid_1369), dziwny (sid_1924), e tam (sid_439), edytor tekstu (sid_302), egzamin (sid_1016), egzaminy (sid_2158), ekran (sid_1879), emocja (emocjonalny) (sid_1915), fałszywy (fałsz) (sid_1960), ferie (sid_1134), gardzic (sid_1436), gazeta (sid_4), gdzie (sid_1081), gdzie (sid_1750), gdzieś (sid_1894), godzina dziewiąta (sid_595), godzina piąta (sid_1199), godzina siódma (sid_1114), godzina szósta (sid_1812), godzina ósma (sid_600), gruby (sid_2189), grudzień (sid_318), hej (sid_1046), hej (sid_1068), hej (sid_866), ile (sid_1117), informatyka (informatyk) (sid_1155), jak się czujesz (sid_13), jasny (sid_751), jeden dzień (sid_784), jesień (sid_2174), jesień (sid_567), judaizm (sid_1064), język migowy (sid_2082), kino (sid_1722), klasa-V (sid_1639), klasa-V (sid_419), klasa-VI (sid_252), klasa-VI (sid_738), kluski (sid_1207), kolor (sid_391), komputer (sid_806), kopia (sid_1594), kopia (sid_163), kopia (sid_1706), kopiować (sid_1121), kopiować (sid_1345), kraść (złodziej, kradzieź) (sid_2005), krótki znak zastanawiania się (sid_336), ktory (sid_1784), kąpać się (kąpiel, łazienka) (sid_1473), las (sid_547), lekki (sid_1617), lekki (sid_2140), leworęczny (mańkut, żydowski, Izrael, Żyd) (sid_1051), liczyć (sid_1288), liczyć (sid_993), mak (sid_166), makaron (sid_964), marzenie (marzyć) (sid_1943), masło (sid_2245), mgła (sid_1807), miejsce (sid_1890), miejscownik (sid_496), migać (sid_1203), migać (sid_646), migać (sid_719), mniam-mniam (sid_860), modelarstwo (sid_1596), monitor (sid_1089), motyl (sid_787), myć twarz (sid_960), mówić (sid_1991), młodszy (sid_2114), najedzony (sid_2059), najmłodszy (sid_2115), najsłabszy (sid_609), najładniejszy (sid_777), narzędnik (sid_733), nerwy (nerwowy) (sid_1937), nie (sid_1070), nie bardzo (sid_1926), nie chcieć (sid_2001), nie chcieć (sid_345), nie cierpieć (sid_676), nie dotykać (sid_594), nie lubić (nie podobać się) (sid_1883), nie pamiętać (sid_879), nie wiedzieć (sid_1588), no (sid_1390), no ale (sid_1236), no cóż (sid_1656), no to co (sid_9), obawa (obawiać się) (sid_1993), obrus (sid_1593), obrus (sid_1882), odchylić drzwi (sid_175), opiekować się (sid_2050), osiem dni (sid_499), osiem godzin (sid_148), osiem godzin (sid_861), osiem lat (sid_1781), osiem złotych (sid_973), palce (sid_1041), pisać na komputerze (komputer, klawiatura, informatyka, pisać na maszynie) (sid_743), piątka (sid_1240), piąty (sid_278), piąty (sid_916), pięć dni (sid_1110), pięć godzin (sid_1346), pięć godzin (sid_1523), pięć godzin (sid_227), pięć lat (sid_1282), pięć lat (sid_1666), pięć złotych (sid_1031), początek (rozpocząć się, rozpocząć, na początku) (sid_720), populizm (sid_443), porzucić (sid_1430), powietrze (sid_1733), powietrze (sid_736), powoli (sid_1441), pozamykać (sid_474), prasa drukarska (sid_1333), przestraszyć się (przestraszony) (sid_1732), przestraszyć się (przestraszony) (sid_2075), przygotować (przygotowany, gotowy) (sid_1899), przygotować (przygotowany, gotowy) (sid_513), przygotować (przygotowywać, przygotowanie) (sid_272), przyjść (sid_361), pusty (sid_882), płaszcz (sid_2219), radość (sid_1919), rajstopy (pończochy, rajtuzy) (sid_2203), rajstopy (pończochy, rajtuzy) (sid_2257), razem (sid_61), rezerwować (rezerwacja, zająć) (sid_489), rzeka (sid_436), ręce (sid_422), siedem dni (sid_167), siedem godzin (sid_1651), siedem godzin (sid_831), siedem lat (sid_1746), siedem złotych (sid_681), siwy (siwe włosy) (sid_2181), siódmy (sid_119), spacer (spacerować) (sid_1665), spódnica (sid_2258), stowarzyszenie (sid_1567), system (sid_172), szalik (sid_2221), szary (sid_1175), szesc-zlotych (sid_1848), sześć dni (sid_1279), sześć godzin (sid_1200), sześć godzin (sid_322), sześć lat (sid_254), szopka (sid_1376), szóstka (sid_231), szósty (sid_1084), słabszy (sid_974), słaby (sid_1228), tak mniej więcej (sid_716), taki sobie (umiarkowany, tak sobie, nie bardzo, mniej więcej) (sid_2139), trzy dni (sid_1429), twarz (sid_617), upał (sid_828), w ślad za (sid_1225), warto (warty, wartość, wartościowy) (sid_1986), wiatr (sid_1886), wiatr (sid_1896), wieczór (wieczorem) (sid_57), wilk (sid_1538), woda (sid_1834), wolny (sid_1547), wolny (sid_410), wołacz (sid_1759), wołać (sid_1690), wrażenie (sid_1963), wrażliwość (wrażliwy) (sid_1964), wszyscy (sid_1125), wszyscy (wy wszyscy) (sid_2101), wszystko (sid_1020), wyobraźnia (sid_1942), wystarczyc (sid_1085), wziac (sid_1410), wzor (sid_62), zabrać (sid_29), zaburzenie (sid_2003), zabytek (sid_1565), zabytki (sid_658), zaklinać (zaklęty) (sid_1088), zamknąć (sid_565), zapomnieć (sid_267), załatwiać (załatwić) (sid_1136), zdenerwowany (sid_1929), zdziwienie (sid_1923), zguba (strata, utrata, ubytek, zgubić, szkoda) (sid_661), zgubic (zgubic-sie) (sid_855), zjeść całą zupę (sid_2057), zmeczony (sid_351), znak-zastanawiania-sie (sid_573), zostawic (sid_1229), ósmy (sid_239), ładniejszy (sid_1681), ładny (sid_949), łatwy (sid_109), łatwy (sid_304), ściągnąć (sid_470), ślub (żona, mąż) (sid_1217), śnieg (pada śnieg) (sid_1455), święto (święty) (sid_236)",1410,40.89
S15a,215,6.24%,146,6.93%,"B (sid_706), Belgia (sid_350), Boże Narodzenie (sid_379), Brazylia (sid_1389), Bóg (sid_1348), CL-przedmiot (sid_1169), CL-przedmiot (sid_66), CL-przedmiot (sid_938), CL-rower (sid_256), CL-samochód (sid_1804), Hiszpania (sid_895), Irlandia (sid_1338), Irlandia (sid_1550), Katowice (sid_1414), Niedźwiedziątko (sid_656), Nowy Testament (sid_1901), Piechota (sid_521), SZ (sid_1796), Samoobrona (sid_894), Smosna (sid_467), Stary Testament (sid_415), T-shirt (koszulka) (sid_2209), Valerie Sutton (sid_357), Word (sid_1126), arkusz kalkulacyjny (sid_259), ateizm (ateista) (sid_2009), autorytet (sid_989), badanie (sid_131), bardzo (sid_773), baron (baronowa) (sid_2266), bezpieczeństwo (bezpieczny) (sid_1966), biblia (sid_2017), biblia (sid_2018), biblia (sid_756), biblioteka (sid_482), biskup (sid_1792), blady (sid_990), brak (brakować) (sid_1984), buddyzm (sid_1449), być ciemnym (ciemniak, nieoświecony) (sid_797), błogosławieństwo (sid_1290), chodzić (przychodzić) (sid_1636), chować (schować) (sid_2021), chwała (sid_2168), cześć (hej) (sid_1566), czytać (przeczytać) (sid_1466), dB (decybel) (sid_2133), deskorolka (sid_2029), deskorolka (sid_635), dlatego (sid_2294), do domu (w domu, dom) (sid_1634), dom (sid_1652), dopełnienie (sid_215), duży (sid_541), dzieciątko (niemowlę, malutkie dziecko) (sid_205), dziewczynka (sid_39), dzień (sid_1163), dzień dobry (sid_1778), edytor tekstu (sid_302), email (sid_522), film (sid_1073), filmować (sid_1650), filmować (sid_684), granica (sid_1173), hobby (sid_638), internet (sid_1888), klęczeć (uklęknąć) (sid_180), komunikator (sid_1302), komunikator (sid_449), kościół (sid_18), królestwo (sid_2267), książka (sid_1832), laptop (notebook) (sid_1019), lecieć na paralotni (sid_199), leżeć (sid_1213), literatura (sid_693), luty (sid_622), masło (sid_485), mały (sid_844), mniejszy (sid_1230), modlić się (modlitwa) (sid_886), msza (sid_515), muzeum (sid_1224), na podstawie (based on) (sid_2287), najmniejszy (sid_81), największy (sid_614), nic nie ma (niczego nie ma) (sid_68), nie pamiętać (sid_2143), nie znać (sid_2148), niski (sid_2183), noc (sid_430), papiez (sid_1195), paralotnia (sid_793), pasja (sid_885), pasterka (sid_348), pasterka (sid_847), pies (sid_2098), pisać (sid_311), pismo (sid_91), podpis (sid_1002), podstawowy (sid_2153), prasować (sid_2048), program (sid_679), prośba (prosić) (sid_1234), przedstawiać (przedstawić, przedstawić się) (sid_1343), przepraszać (sid_1839), przyjść do ciebie (wpaść do ciebie) (sid_1032), pub (sid_2053), pusty (sid_882), późny (spóźniony, spóźnienie, opóźnienie, spóźnić się) (sid_1409), pływać (pływak, pływanie) (sid_2041), sanki (sid_444), schować (sid_2022), skarpetka (sid_2204), spowiedź (sid_673), stół (sid_248), systematyczność (systematycznie, systematyczny) (sid_1994), szalik (sid_2262), szczery (sid_1958), szczęście (szczęśliwy) (sid_151), słabosłyszący (niedosłyszący) (sid_1913), taki duży (sid_2066), taki duży (sid_2067), taki mały (sid_2068), temperatura powietrza (sid_642), ukrywać (schować się) (sid_1955), upaść (spaść) (sid_41), warunek (sid_1941), weekend (sid_1122), weekend (sid_1432), wieczór (wieczorem) (sid_57), wiedzieć (sid_1767), większy (sid_1489), wnuk (sid_2096), wnuk (sid_2097), wychodzić (wyjść, wyjście) (sid_89), wygladac (sid_373), wystawa (sid_1626), za wysokie (sid_2071), zagranica (sid_1080), zagranica (za granicą) (sid_1100), zaślepiony (sid_1188), zdanie (sid_1895), zeszyt (sid_187), znac (sid_1185), śmierc (umrzeć, umarły, zmarły) (sid_113)",1625,47.13
