Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,3,30.0%,2,40.0%,"Myanmar (sid_4), နေပြည်တော် (Naypyidaw) (sid_1)",3,30.0
S1f5,2,20.0%,1,20.0%,နှစ်သက်သည် (like) (sid_5),5,50.0
S1da,2,20.0%,1,20.0%,ပုဂံ (Bagan) (sid_2),7,70.0
S115,1,10.0%,1,20.0%,နေပြည်တော် (Naypyidaw) (sid_1),8,80.0
S1fc,1,10.0%,1,20.0%,နေပြည်တော် (Naypyidaw) (sid_1),9,90.0
S18d,1,10.0%,1,20.0%,မန္တလေး (Mandalay) (sid_3),10,100.0
