Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S147,49,2.32%,35,3.12%,"B (b) (sid_201), Facebook (sid_853), Facebook (sid_854), Facebook (sid_855), God (god) (sid_581), Istanbul (sid_852), bad (sid_654), bad (sid_944), bank (sid_1055), base (sid_905), beer (sid_1051), begin (sid_878), beginning (sid_879), behaviour (behavior, behave) (sid_833), big (sid_521), billion (sid_166), blue (sid_18), blue (sid_519), boss (sid_851), bread (sid_1071), brown (sid_14), brown (sid_516), brown (sid_783), budget (sid_1060), bus (sid_1120), business (edited) (sid_963), business (sid_480), cheap (sid_1066), cheap (sid_440), email (e-mail, e mail) (sid_561), house (sid_583), mountain (sid_614), prevent (barrier, protect) (sid_856), professional (sid_453), sofa (couch) (sid_464)",1246,58.91
S150,47,2.22%,26,2.32%,"Cambodia (Kampuchea) (sid_923), angry (sid_4), angry (sid_504), backpack (bag) (sid_1124), bear (sid_660), bear (sid_661), cake (sid_1072), cloud (sid_531), crush (sid_966), dragon (sid_316), durian (sid_1012), energetic (sid_847), grape (sid_1011), grass (sid_578), hot (sid_125), hungry (starvation, hunger, starve) (sid_582), lion (sid_610), messy (mess, mix, scramble) (sid_344), monkey (sid_324), obtain (get) (sid_498), papaya (sid_1007), pig (sid_330), tenacious (sid_848), tiger (sid_312), tiger (sid_313), want (sid_106)",1293,61.13
S19a,45,2.13%,35,3.12%,"-y (sid_909), I go out (sid_765), July (july) (sid_143), May (may) (sid_141), Y (y) (sid_224), country (sid_883), cow (sid_308), crazy (sid_526), crazy (sid_528), drink (sid_543), equality (sid_910), go (sid_691), here I come (sid_764), introduce (sid_889), juice (sid_1053), juice (sid_99), like (sid_717), now (sid_288), ox (cow) (sid_310), ox (cow) (sid_311), ox (sid_307), play (sid_111), prosperity (sid_489), prosperity (sid_914), society (sid_904), stay (sid_474), such as (sid_809), this (sid_266), this (sid_777), wander (sid_700), watermelon (sid_1006), why (sid_135), yellow (sid_21), yesterday (sid_1082), yu sheng (yusheng, lo hei) (sid_494)",1338,63.26
S1ce,42,1.99%,24,2.14%,"Indian (American colloquium) (Native American) (sid_1137), Oceania (sid_922), choose (sid_536), clothing (clothes) (sid_55), count (accounts (finance)) (sid_665), diploma (sid_1036), explain (sid_293), find (sid_821), find (sid_948), freedom (sid_876), if (sid_415), interpret (sid_594), interpreter (sid_593), jingle bells (sid_998), let it go (sid_1139), nine (9) (sid_191), ninth (sid_174), of (sid_892), rainbow (sid_1114), sentence (sid_334), shirt (sid_59), story (sid_941), tea (sid_1049), wristwatch (watch) (sid_75)",1380,65.25
S1dc,41,1.94%,27,2.41%,"L (l) (sid_211), all (sid_652), all (sid_653), because (sid_662), buy (sid_515), language (sid_290), laugh (sid_734), laugh (sid_735), lazy (sid_840), leh (sid_398), lemon (sid_1005), let (sid_864), lie (sid_737), line (sid_751), little (sid_1132), live (sid_613), long (sid_612), look (sid_609), lorry (sid_44), luck (sid_928), moment (sid_875), or (sid_900), other (sid_625), shiok (sid_775), surprise (sid_5), those (sid_934), who (sid_748)",1421,67.19
S192,40,1.89%,26,2.32%,"I (i) (sid_208), J (j) (sid_209), January (january) (sid_137), July (july) (sid_143), June (june) (sid_142), beginning (sid_879), can not (can't) (sid_932), can not (can't, cannot) (sid_666), idea (sid_600), if (sid_601), income (sid_1026), ingredient (sid_976), insult (sid_753), intelligent (sid_598), internet (sid_595), issue (sid_374), jealous (sid_603), jealous (sid_604), jealous (sid_605), job (sid_1019), junior college (JC) (sid_1032), just (sid_716), justice (sid_907), last (sid_182), spaghetti (sid_1075), thin (sid_541)",1461,69.08
S106,40,1.89%,23,2.05%,"Chinese (chinese) (sid_300), ambition (sid_812), apple (sid_89), ask (sid_338), aspiration (sid_862), boyfriend (sid_36), change (adjust, adjustment, modify, edit) (sid_770), change (adjustment, adjust, modify, edit) (sid_804), come (sid_401), complex (sid_289), die (sid_676), dream (sid_382), dry (sid_673), fast (sid_450), from (sid_940), girlfriend (sid_37), must (sid_702), pineapple (sid_1008), reach (take) (sid_837), should (sid_808), spoil (sid_985), tenacious (sid_848), test (sid_1043)",1501,70.97
S11a,39,1.84%,22,1.96%,"R (r) (sid_217), are (sid_1134), better (sid_656), hare (sid_728), mouse (sid_305), or (sid_470), race (sid_899), radish (sid_962), ready (sid_303), ready (sid_500), reason (sid_1003), red (sid_628), relative (sid_1094), relative (sid_24), religion (sid_901), represent (sid_927), rest (sid_427), result (sid_1047), reward (sid_468), rice (sid_1069), river (sid_705), rock (sid_1140)",1540,72.81
S176,39,1.84%,29,2.58%,"Hong Kong (sid_1101), Ministry of Education (MoE, MOE) (sid_802), O (o) (sid_214), October (october) (sid_146), Orchard (sid_982), bright (sid_999), company (sid_1021), for nothing (meaningless) (sid_844), hot (sid_586), idea (sid_599), in (sid_123), include (involve) (sid_690), inspire (sid_1001), light (sid_277), office (sid_483), official (sid_801), oh (sid_769), or (sid_413), or (sid_470), or (sid_900), organise (organize, arrange, order, prepare, sequence) (sid_345), our (sid_916), ourselves (sid_894), out (sid_124), participate (sid_353), radish (sid_962), twenty (20) (sid_198), warm (sid_745), zero (sid_199)",1579,74.66
S140,35,1.65%,27,2.41%,"K (k) (sid_210), Korea (sid_1107), P (p) (sid_215), UK (United Kingdom) (sid_1113), kiasu (sid_395), kill (sid_608), kindergarten (sid_1029), okay (OK) (sid_332), participate (sid_353), pay (sid_1063), peace (sid_270), pear (sid_1004), people (sid_1090), people (sid_358), person (sid_377), pineapple (sid_1008), pink (sid_16), place (sid_482), plant (sid_1014), pledge (sid_893), polytechnic (sid_1034), present (sid_984), primary school (sid_1030), professional (sid_453), prosperity (sid_489), purple (sid_20), the Philippines (sid_1109)",1614,76.31
