canonical_gloss,synonyms,sid,FSW
abierto 2,,103,M529x523S15a02501x486S15a06473x486S20500496x477S2df08508x502S2df10472x501
abismo,separación,8089,M527x526S15a40478x477S15a48512x478S20500497x474S26506512x512S26512474x512
abispa,,104,M528x527S15a06474x515S20500471x502S23b01478x492S18511501x473
abochornar,"verguenza, subir",8037,M534x532S2ff00482x483S14c00500x501S26500520x495
abogado,,105,M517x521S1a443484x478S20600495x510
abogado 2,,106,M542x534S11e10491x465S15a1a490x522S37800499x491S37806459x526S20500504x509S26a00515x476
aborto,,110,M528x533S16f16479x467S16f1e498x467S20500494x482S22a04502x495S22a14485x495S15a14473x505S15a1c516x506
aborto 1,,107,M550x540S30006482x482S20500520x483S20500521x504S1f527528x518S2880c533x488
aborto 2,,108,M550x579S30006482x482S20500520x483S20500521x504S1f527528x518S2880c533x488S17650500x553S22b04515x548S21b00504x571
aborto 3,,109,M542x529S36d00479x472S36d00479x497S17650490x479S14c52479x505S21100527x480S22b04526x497
aborto 5,,111,M569x537S14c50545x489S14c52484x513S36d00480x503S36d00479x464S22a07496x487S20311504x470
aborto 6,,112,M578x525S30006483x482S20500517x479S20500519x505S2880c533x485S36d00479x521S1f52d556x495
abraham,,113,M526x526S20310506x474S20302506x496S37800512x487S37806475x502S20800516x515S26516490x512
abrazar 1,,116,M527x523S15a02474x476S15a06500x496S37706501x480S37706477x500S26a04473x509S26a14499x509
abrazar 2,,7535,M547x523S36d00479x479S37802520x479S37806505x510S37806484x510S37802481x483S37802485x491S3780b501x493S14c01466x487S14c09521x478
abrebotellas 1,,118,M521x526S20348479x507S1ea10496x505S20500490x494S22b00505x473
abrebotellas 2,,119,M530x520S20348476x505S11051481x485S20500471x494S2880a508x480
abreviar,,120,M534x535S10010510x477S10018477x477S28702502x519S28716470x519S20500496x512S36e00477x465
abrigo 1,,7536,M554x521S36d00479x479S2d600505x494S2d618465x494S20500504x510S20500485x509S1f702539x488S1f70a445x489
abrigo 2,,122,M537x525S1f740517x489S1f748461x489S2d500503x506S2d518478x505S20500493x514S20500501x514S20500521x512S20500472x512S36d00479x476
abrigo 3,,123,M544x525S1f510510x510S1f51c478x509S28804511x484S2881c480x484S21100531x509S21100455x509S36d00479x476
abril 1,,124,M527x538S14c00501x506S14c08476x466S1c500497x469S1c508474x510S20500493x501S20500498x462
abril 2,,125,M538x525S2ff00482x483S22b04518x495S22b14465x495S17711519x469
abril 3,,126,M535x517S2ff00482x482S15319466x467S15311510x468S22f04510x449S22f14465x450
abril 5,,127,M535x574S1f500511x520S2ff00482x482S27102513x534
abril 5,,128,M534x563S1f510519x517S1f514518x536S27126491x524S2ff00482x482
abril 5,,129,M534x563S1f510519x517S1f514518x536S27126491x524S2ff00482x482
abril 7,,130,M540x562S2ff00482x482S27126492x523S20310512x522S20318513x542S20500530x533
abril 8,,131,M526x526S15a07483x503S20700474x489S20e00475x474S16d05506x487
abrir 1,,132,M528x517S15a02501x505S15a06474x504S20500494x492S2d50e508x483S2d516472x483
abrir 2,,133,M512x528S1ea57490x472S2a208489x500
abrir el cajon,,134,M523x517S20330508x484S20330478x483S26504508x502S26514478x501
abrir el grifo,,135,M549x542S15052485x516S2df0c528x512S3780a516x492S37802517x461S36d00479x459
abrir la cortina,,7537,M561x540S36d00479x536S3770b520x517S37703520x496S1ea27515x477S26606531x460
abrir la puerta,,136,M526x518S15a36474x506S15a37503x482S20500478x494S2d508480x483
abrir la ventana,,137,M522x517S15a18477x482S20350491x494S2d504501x508
abrir un cubo,,138,M524x525S16d48476x494S15a52494x499S2c300498x475S20500490x514
abrir un sobre,,139,M539x512S10003509x488S15a06463x499S20e00462x498S26506491x498
abrir una caja,,140,M532x517S15a12478x492S15a16482x505S20500469x500S2c300506x483
abrir una maleta,,141,M513x526S20300486x502S20350495x511S20500503x498S2b700493x473
abrochar 1,,143,M543x526S16c04474x494S16c0c503x495S20500492x515S26502528x496S26516447x496S36d00479x475
abrochar 2,,142,M536x534S36d00479x466S16d07473x472S16d07495x493S20500489x488S22b05512x510
abrol de navidad,,689,M543x544S15d1f500x456S15d17471x455S20500492x478S28805509x486S28805515x505S28805523x524S2881d466x484S2881d460x503S2881d457x522
absolon,,144,M540x517S16d10523x487S2ff00482x482
absolucion,,145,M527x526S1c502479x480S20500489x515S2c101504x487S36d00479x474
absolucion 2,,146,M535x550S2ff00482x482S22b06489x524S22b04493x520S15a10523x519
absolver,,8084,M545x534S36e00477x466S20500506x491S1c500515x486S2d503515x519
absorber,,7982,M547x580S34600482x483S15a00464x533S15324515x534S20320485x541S20500477x527S22626538x535S26602487x564
absorber,absorción,7983,M518x590S15a36465x578S17b22464x554S18521479x516S34600482x483S20500508x517S26507450x534
abstención,,8085,M550x544S36e00477x456S14c04469x513S14c0c505x513S26500536x519S26510450x520S20354509x486S20354477x487
abstenerse,,147,M525x537S15d58478x463S15d50503x463S26604509x491S26614477x492S1f520499x522S1f528475x522
abstimencia,,148,M540x552S33b00482x482S22b04493x522S22b06490x525S1f502525x518
abstracto,,7538,M564x517S2ff00482x482S18537471x459S1853f511x460S28806530x482S2881e451x483S22100552x471S22100437x473
absur 1,,161,M532x531S1f710512x511S30005482x482S20600489x520
abuela,,149,M556x525S2ff00482x482S15a02486x510S20500475x513S1f720536x510S26506517x510
abuelo 1,,150,M536x533S2ff00482x482S20600514x514S20300494x518
abuelo 2,,151,M521x545S30004482x482S1ea17497x517S20800511x512
abuelo 3,,152,M550x531S30005482x482S30007482x482S20500516x480S20500516x508S10620529x486S22a04534x516
abuelo 4,,153,M579x522S30005482x482S16f11515x505S20e00522x490S2c500539x491
abuelo 5,,154,M552x528S2ff00482x482S15a02485x511S20500476x517S26506516x508S17620536x507
abuelo 6,,155,M538x561S2ff00482x482S20300493x520S21100514x509S2e231511x534
abuelo 7,,156,M549x537S30005482x482S1f503515x515S20e00499x519S2d200523x495
abundante,,157,M536x541S2ff00482x482S20500496x517S15a12495x529S22b00520x501
aburrido,,158,M518x564S15a32485x552S22b04495x520S2ff00482x482
aburrido 2,,159,M527x581S2ff00482x482S15a32500x566S15a39483x558S22b04493x523S20b00511x551
aburrido 3,,160,M518x579S2ff00482x482S22b04490x521S1501e479x554S20500508x517
abusar 1,,7539,M538x538S30005482x482S1f710518x508S20600502x527
abusar 2,,162,M534x532S15050508x482S15058466x481S22a04516x516S22a14469x517S36d00479x468
acabar,,163,M535x526S11e20511x476S11e28465x474S26504521x509S26514465x511
