HamNoSys,HamNoSys,HamNoSys,FSW_all,AmericanSL,AmericanSL,AmericanSL,ChineseSL,ChineseSL,ChineseSL,ChineseSL,Hong Kong SL,Hong Kong SL,Taiwan SL,Taiwan SL,Taiwan SL,Korean SL,Korean SL,German SL,German SL,Danish SL,Danish SL,Swedish  SL,Swedish  SL,Netherland SL,Netherland SL,British SL,British SL,Australian SL,Australian SL,Australian SL,New Zealand SL,New Zealand SL
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1bb,S1bb,񄘱,8,,,,,,,,,,S1bb,񄘱,,,,,S1bb,񄘱,S1bb,񄘱,,,S1bb,񄘱,flick,S1bb,񄘱
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1ce,S1ce,񄵑,f,S1ce,񄵑,,3,S1ce,񄵑,S1ce,񄵑,钱,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,ok,S1ce,񄵑
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1d0,,,,S1d0,񄸑,,boat,S1d0,񄸑,S1d0,񄸑,wc,S1d0,񄸑,S1d0,񄸑,,,,,,,,,,,,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1d5,,,,S1d5,񄿱,,snow,S1d5,񄿱,,,,,,,,,,,,,,,,,,,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1d6,,,,,,,,,,,,,S1d6,񅁑,,,,,,,,,,,,,,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others nonspread)",S18c,,,,S18c,񃒑,发誓,swear,S18c,񃒑,S18c,񃒑,童,S18c,񃒑,,,,,S18c,񃒑,,,S18c,񃒑,S18c,񃒑,letter_m,S18c,񃒑
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others nonspread)",S18d,S18d,񃓱,flat_m,,,,,,,,,,,,,,S18d,񃓱,,,S18d,񃓱,S18d,񃓱,,,,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others nonspread)",S1da,,,,,,,,S1da,񅇑,,,,,,,,,,,,,,,,,,,,
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1c1,,,,S1c1,񄡡,,sticky,S1c1,񄡱,,,,S1c1,񄡱,,,,,,,,,,,,,,,
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1c3,,,,S1c3,񄤡,,paper,S1c3,񄤱,S1c3,񄤱,借borrow,,,,,,,,,S1c3,񄤱,S1c3,񄤱,,,,S1c3,񄤱
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d1,S1d1,񄹱,open_f,,,,,,,,,,,,,,S1d1,񄹱,,,S1d1,񄹱,,,,,,,
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d2,,,,,,,,,,,,,,,,,S1d2,񄻑,,,,,S1d2,񄻑,,,,,
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d3,,,,,,,,,,,,,,,,,,,,,S1d3,񄼱,,,,,,,
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d4,,,,,,,,,,,,,,,,,S1d4,񄾑,,,,,S1d4,񄾑,S1d4,񄾑,flat-ok,S1d4,񄾑
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d8,,,,,,,,,,,,,,,,,,,S1d8,񅄑,,,,,,,,,
Thumb Opposition,1fin_othersNonfist,FlattenedandInFistfingerUp,S105,,,,,,,,,,,,,,,,,,,,,S105,񀇱,,,,,,,
Thumb Opposition,1fin_othersNonfist,FlattenedandInFistfingerUp,S196,,,,,,,,,,S196,񃡑,,,,,,,,,,,,,,,,,,
