HamNoSys,HamNoSys,HamNoSys,FSW_all,AmericanSL,AmericanSL,AmericanSL,ChineseSL,ChineseSL,ChineseSL,ChineseSL,Hong Kong SL,Hong Kong SL,Taiwan SL,Taiwan SL,Taiwan SL,Korean SL,Korean SL,German SL,German SL,Danish SL,Danish SL,Swedish  SL,Swedish  SL,Netherland SL,Netherland SL,British SL,British SL,Australian SL,Australian SL,Australian SL,New Zealand SL,New Zealand SL
Selected fingers,1_finger,(Selected Fingers bent),S198,,,,S198,񃤑,,interest money,S198,񃤑,S198,񃤑,虫,S198,񃤑,,,,,,,,,,,,,,,
Selected fingers,1_finger,(Selected Fingers bent),S1e1,S1e1,񅑱,curved_l,S1e1,񅑡,,take a photo,S1e1,񅑱,,,,,,S1e1,񅑱,S1e1,񅑱,,,S1e1,񅑱,S1e1,񅑱,S1e1,񅑱,bent_gun,S1e1,񅑱
Selected fingers,1_finger,(Selected Fingers bent),S1e2,,,,,,,,,,,,,S1e2,񅓁,,,,,,,,,,,,,,,
Selected fingers,1_finger,(Selected Fingers bent),Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,1_finger,(Selected Fingers bent),Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,1_finger,(Selected Fingers Hooked),S1ea,S1ea,񅟑,baby_o,S1ea,񅟁,,tear,S1ea,񅟑,S1ea,񅟑,资,S1ea,񅟑,S1ea,񅟑,S1ea,񅟑,S1ea,񅟑,,,S1ea,񅟑,S1ea,񅟑,write,S1ea,񅟑
Selected fingers,2_nonspread,(Selected Fingers extended),S115,S115,񀟱,h,S115,񀟱,,law,S115,񀟱,S115,񀟱,棕,S115,񀟱,S115,񀟱,S115,񀟱,S115,񀟱,S115,񀟱,S115,񀟱,S115,񀟱,spoon,S115,񀟱
Selected fingers,2_nonspread,(Selected Fingers extended),S12d,S12d,񁃡,open_h,S12d,񁃡,,beauty,S12d,񁃱,,,,S12d,񁃱,,,S12d,񁃡,,,S12d,񁃡,S12d,񁃡,S12d,񁃡,open_spoon,S12d,񁃡
Selected fingers,2_nonspread,(Selected Fingers extended),S1b5,,,,,,,,,,,,,S1b5,񄏱,,,,,,,,,,,,,,,
Selected fingers,2_nonspread,(Selected Fingers flattened),S119,S119,񀥱,flat_h,,,,,,,,,,,,,,,,,,S119,񀥱,S119,񀥱,,,,S119,񀥱
Selected fingers,2_nonspread,(Selected Fingers flattened),S132,,,,,,,,,,,,,,,,,S132,񁋑,,,,,,,,,,,
Selected fingers,2_nonspread,(Selected Fingers flattened),S13e,,,,,,,,,,S13e,񁝑,土,,,,,,,,,,,,,,,,,
Selected fingers,2_nonspread,(Selected Fingers bent),S110,,,,,,,,,,,,,,,S110,񀘑,,,,,,,,,,,,,
Selected fingers,2_nonspread,(Selected Fingers bent),S118,S118,񀤑,curved_h,,,,,,,,,,,,,,S118,񀤑,S118,񀤑,S118,񀤑,S118,񀤑,,,,S118,񀤑
Selected fingers,2_nonspread,(Selected Fingers bent),S121,,,,,,,,,,,,,,,S121,񀱱,,,,,,,,,,,,,
Selected fingers,2_nonspread,(Selected Fingers Hooked),None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,2_nonspread,2finger_differshape,S116,,,,,,,,,,,,,S116,񀡑,,,,,,,,,,,,,,,
Selected fingers,2_nonspread,2finger_differshape,S11a,S11a,񀧑,r,S11a,񀧁,,10,S11a,񀧑,S11a,񀧁,笔,S11a,񀧑,,,S11a,񀧑,S11a,񀧑,S11a,񀧑,S11a,񀧑,S11a,񀧑,wish,S11a,񀧑
Selected fingers,2_nonspread,2finger_differshape,S11d,,,,S11d,񀫡,,half,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,2_nonspread,2finger_differshape,S126,,,,,,,,,,S126,񀹑,高,,,,,,,,,,,,,,,,,
Selected fingers,2_spread,(Selected Fingers extended),S10e,S10e,񀕁,v,S10e,񀕁,,2,S10e,񀕁,S10e,񀕁,2,S10e,񀕁,S10e,񀕁,S10e,񀕁,S10e,񀕁,S10e,񀕁,S10e,񀕁,S10e,񀕁,2,S10e,񀕁
Selected fingers,2_spread,(Selected Fingers extended),S11e,S11e,񀭁,3,S11e,񀭁,,north,S11e,񀭁,S11e,񀭁,7,S11e,񀭁,S11e,񀭁,S11e,񀭁,S11e,񀭁,S11e,񀭁,S11e,񀭁,S11e,񀭁,8,S11e,񀭁
Selected fingers,2_spread,(Selected Fingers extended),S125,,,,,,,,,,,,,,,,,S125,񀷱,,,S125,񀷱,,,,,,,
Selected fingers,2_spread,(Selected Fingers extended),S19c,S19c,񃪑,ily,S19c,񃪑,,mountain,S19c,񃪑,S19c,񃪑,守protect,,,,,S19c,񃪑,,,S19c,񃪑,S19c,񃪑,S19c,񃪑,ily,,
Selected fingers,2_spread,(Selected Fingers extended),S1a0,S1a0,񃰑,horns,S1a0,񃰑,,z,S1a0,񃰑,S1a0,񃰑,秀,S1a0,񃰑,,,S1a0,񃰑,S1a0,񃰑,,,S1a0,񃰑,S1a0,񃰑,animal,S1a0,񃰑
Selected fingers,2_spread,(Selected Fingers extended),S1b0,,,,,,,,,,,,,,,,,,,,,,,S1b0,񄈑,,,,,
Selected fingers,2_spread,(Selected Fingers extended),S1b4,,,,,,,,,,,,,S1b4,񄎑,,,,,,,,,,,,,,,
Selected fingers,2_spread,(Selected Fingers extended),S1cb,,,,,,,,,,S1cb,񄰱,飞机,,,,,,,,,,,,,,,,,
Selected fingers,2_spread,(Selected Fingers flattened),S112,S112,񀛑,flat_v,,,,,,,S112,񀛑,虎tiger,,,,,,,,,,,,,,,,,
Selected fingers,2_spread,(Selected Fingers flattened),S123,,,,,,,,,,,,,,,,,,,,,,,,,,,,S123,񀴱
Selected fingers,2_spread,(Selected Fingers bent),S110,S110,񀘑,bent_v,S110,񀘑,,railway,S110,񀘑,S110,񀘑,20,S110,񀘑,,,S110,񀘑,S110,񀘑,S110,񀘑,S110,񀘑,S110,񀘑,bent_two,S110,񀘑
Selected fingers,2_spread,(Selected Fingers bent),S121,,,,,,,,S121,񀱱,,,,S121,񀱱,,,,,,,,,,,,,,S121,񀱱
Selected fingers,2_spread,(Selected Fingers bent),S122,,,,,,,,,,,,,,,,,S122,񀳑,,,S122,񀳑,,,,,,,
Selected fingers,2_spread,2finger_differshape,S126,,,,,,,,,,,,,S126,񀹑,,,,,,,,,,,,,,,
Selected fingers,2_spread,2finger_differshape,S140,S140,񁠑,k/p,S140,񁠑,,k,S140,񁠑,S140,񁠑,科,S140,񁠑,,,S140,񁠑,S140,񁠑,S140,񁠑,S140,񁠑,S140,񁠑,k,S140,񁠑
Selected fingers,2_spread,2finger_differshape,S142,,,,,,,,,,S142,񁣑,欠,,,,,,,,,,,,,,,,,
Selected fingers,3_nonspread,extended,S18e,,,,,,,,,,S18e,񃕑,8,S18e,񃕑,,,,,,,,,S18e,񃕑,,,,,
Selected fingers,3_nonspread,flattened,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,3_nonspread,bent,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,3_nonspread,hooked,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,3_nonspread,3finger_differshape,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,3_spread,extended,S18f,,,,,,,,,,,,,,,,,,,,,S18f,񃖱,,,,,,,
Selected fingers,3_spread,extended,S1a4,,,,,,,,,,,,,S1a4,񃶁,,,,,,,,,,,,,,,
Selected fingers,3_spread,extended,S1ab,S1ab,񄀱,goody_goody,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,3_spread,extended,S1c4,,,,,,,,,,,,,,,,,,,,,,,S1c4,񄦑,,,,,
Selected fingers,3_spread,flattened,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,3_spread,bent,S190,,,,,,,,,,S190,񃘑,80,S190,񃘑,,,,,,,,,,,,,,,
Selected fingers,3_spread,hooked,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,3_spread,3finger_differshape,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,4_nonspread,(Selected Fingers extended),S147,S147,񁪱,closed_b,S147,񁫁,,door,S147,񁪱,S147,񁪱,胡,S147,񁪱,,,S147,񁪱,S147,񁪱,,,S147,񁪱,,,,S147,񁪱
Selected fingers,4_nonspread,(Selected Fingers extended),S15a,,,,S15a,񂇁,,quick,,,S15a,񂇑,9,,,S15a,񂇑,S15a,񂇑,,,S15a,񂇑,S15a,񂇑,,,,S15a,񂇑
Selected fingers,4_nonspread,(Selected Fingers extended),S15d,S15d,񂋱,open_b,S15d,񂋡,,cut,S15d,񂋱,,,,S15d,񂋱,,,S15d,񂋱,S15d,񂋱,S15d,񂋱,S15d,񂋱,S15d,񂋱,flat,S15d,񂋱
Selected fingers,4_nonspread,(Selected Fingers flattened),S14b,S14b,񁰱,flat_b,,,,,,,,,,,,,,,,S14b,񁰱,,,,,,,,,
Selected fingers,4_nonspread,(Selected Fingers flattened),S180,,,,S180,񃀁,,envelope,,,,,,,,,,S180,񃀑,,,,,S180,񃀑,S180,񃀁,bent_flat,,
Selected fingers,4_nonspread,(Selected Fingers flattened),S182,,,,,,,,,,,,,,,,,S182,񃃑,,,S182,񃃑,,,,,,S182,񃃑
Selected fingers,4_nonspread,(Selected Fingers bent),S149,,,,,,,,,,,,,,,S149,񁭱,S149,񁭱,,,,,,,,,,,
Selected fingers,4_nonspread,(Selected Fingers bent),S168,,,,,,,,,,,,,,,,,S168,񂜑,,,,,,,,,,,
Selected fingers,4_nonspread,(Selected Fingers bent),S16e,,,,S16e,񂥑,,shovel,,,,,,,,,,,,,,S16e,񂥑,S16e,񂥑,,,,,
Selected fingers,4_nonspread,(Selected Fingers bent),S170,,,,,,,,,,,,,S170,񂨑,,,,,,,S170,񂨑,S170,񂨑,,,,,
Selected fingers,4_nonspread,(Selected Fingers bent),S171,,,,,,,,,,,,,,,,,,,,,,,,,,,,S171,񂩱
Selected fingers,4_nonspread,(Selected Fingers Hooked),S202,S202,񆃑,e,,,,,S202,񆃑,,,,,,,,S202,񆃑,,,,,,,,,,S202,񆃑
Selected fingers,4_nonspread,4finger_differshape,S1d7,,,,,,,,,,,,,S1d7,񅂱,,,,,,,,,,,,,,,
Selected fingers,4_spread,(Selected Fingers extended),S144,S144,񁦁,flatspread_5,S144,񁦡,,4,S144,񁦁,S144,񁦁,4,S144,񁦁,S144,񁦁,S144,񁦁,S144,񁦁,S144,񁦁,S144,񁦁,,,,S144,񁦁
Selected fingers,4_spread,(Selected Fingers extended),S14c,S14c,񁲁,5,S14c,񁲁,,5,,,S14c,񁲁,5,S14c,񁲁,S14c,񁲁,S14c,񁲁,S14c,񁲁,S14c,񁲁,S14c,񁲁,S14c,񁲁,5,S14c,񁲁
Selected fingers,4_spread,(Selected Fingers flattened),S146,S146,񁩑,flat_4,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,4_spread,(Selected Fingers flattened),S158,,,,,,,,,,,,,,,,,,,,,S158,񂄑,,,,,,S158,񂄑
Selected fingers,4_spread,(Selected Fingers flattened),S159,,,,,,,,,,,,,S159,񂅱,,,,,,,S159,񂅱,,,,,,,
Selected fingers,4_spread,(Selected Fingers bent),S145,S145,񁧱,curved_4,S145,񁧱,,white,,,S145,񁧱,40,S145,񁧱,S145,񁧱,,,,,,,,,,,,,
Selected fingers,4_spread,(Selected Fingers bent),S14e,,,,S14e,񁵑,,relatives,,,,,,S14e,񁵑,,,S14e,񁵑,,,,,,,,,,S14e,񁵑
Selected fingers,4_spread,(Selected Fingers bent),S150,S150,񁸑,open_e,,,,,,,S150,񁸑,果,,,S150,񁸑,,,,,S150,񁸑,,,,,,,
Selected fingers,4_spread,(Selected Fingers Hooked),None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,4_spread,4finger_differshape,S157,S157,񂂱,stacked_5,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected fingers,4_spread,4finger_differshape,S1a7,,,,,,,,,,,,,,,,,,,,,S1a7,񃺱,,,,,,,
Selected fingers,4_spread,4finger_differshape,S1c5,S1c5,񄧱,open_8,,,,,S1c5,񄧱,S1c5,񄧱,菜,,,S1c5,񄧱,S1c5,񄧱,S1c5,񄧱,S1c5,񄧱,,,S1c5,񄧱,middle,S1c5,񄧱
