HamNoSys_Initial_Configuration,HamNoSys_Basic_Handshape,HamNoSys_Handshape_Modifications,FSW_all,FSW,SignWriting
Thumb Opposition,2finSpread_othersFist,(fingers straight),S127,,
Thumb Opposition,2finSpread_othersFist,FlattenedandInFistfingerUp,None,,
Thumb Opposition,4finNonspread,(fingers rounded),S16d,,
Thumb Opposition,4finNonspread,(fingers rounded),S173,,
Thumb Opposition,4finNonspread,(fingers rounded),S176,S176,񂱑
Thumb Opposition,4finNonspread,(fingers rounded),S177,,
Thumb Opposition,4finNonspread,(fingers flattened),S17c,,
Thumb Opposition,4finNonspread,(fingers flattened),S17d,S17d,񂻱
Thumb Opposition,4finNonspread,(fingers flattened),S185,S185,񃇱
Thumb Opposition,4finNonspread,(fingers straight),S160,,
Thumb Opposition,4finSpread,(fingers rounded),S153,,
Thumb Opposition,4finSpread,(fingers rounded),S154,,
Thumb Opposition,4finSpread,(fingers rounded),S155,S155,񁿱
Thumb Opposition,4finSpread,(fingers flattened),S155,,
Thumb Opposition,4finSpread,(fingers straight),None,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S187,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S18b,S18b,񃐱
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1a4,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1a5,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1ba,S1ba,񄗁
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1bb,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1ce,S1ce,񄵑
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1d0,S1d0,񄸑
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1d5,S1d5,񄿱
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1d6,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",Missing,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others nonspread)",S18c,S18c,񃒑
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others nonspread)",S18d,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others nonspread)",S1da,S1da,񅇑
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1c1,S1c1,񄡱
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1c3,S1c3,񄤱
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d1,,
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d2,,
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d3,,
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d4,,
Thumb Opposition,1fin_othersNonfist,(thumb flattened),S1d8,,
Thumb Opposition,1fin_othersNonfist,FlattenedandInFistfingerUp,S105,,
Thumb Opposition,1fin_othersNonfist,FlattenedandInFistfingerUp,S196,,
