,AmericanSL,,,ChineseSL,,,,Hong Kong SL,,Taiwan SL,,,Korean SL,,German SL,,Danish SL,,Swedish  SL,,Netherland SL,,British SL,,Australian SL,,,New Zealand SL,
Selected fingers,FSW,SignWriting,shape name,FSW,SignWriting,CN meaning example,EN translation,FSW,SignWriting,FSW,SignWriting,meaning exmaple,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,FSW,SignWriting,meaningexample,FSW,SignWriting
(Selected Fingers flattened),S119,񀥱,flat_h,,,,,,,S13e,񁝑,土,,,,,S132,񁋑,,,S119,񀥱,S119,񀥱,,,,S119,񀥱
(Selected Fingers bent),S118,񀤑,curved_h,,,,,,,,,,,,S110,񀘑,S118,񀤑,S118,񀤑,S118,񀤑,S118,񀤑,,,,S118,񀤑
,,,,,,,,,,,,,,,S121,񀱱,,,,,,,,,,,,,
(Selected Fingers Hooked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2finger_differshape,S11a,񀧑,r,S11d,񀫡,,half,S11a,񀧑,S126,񀹑,高,S11a,񀧑,,,S11a,񀧑,S11a,񀧑,S11a,񀧑,S11a,񀧑,S11a,񀧑,wish,S11a,񀧑
,,,,S11a,񀧁,,10,,,S11a,񀧁,笔,S116,񀡑,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Selected Fingers extended),S10e,񀕁,v,S10e,񀕁,,2,S10e,񀕁,S10e,񀕁,2,S10e,񀕁,S10e,񀕁,S10e,񀕁,S10e,񀕁,S10e,񀕁,S10e,񀕁,S10e,񀕁,2,S10e,񀕁
,S11e,񀭁,3,S11e,񀭁,,north,S11e,񀭁,S11e,񀭁,7,S11e,񀭁,S11e,񀭁,S11e,񀭁,S11e,񀭁,S125,񀷱,S11e,񀭁,S11e,񀭁,8,S11e,񀭁
,S1a0,񃰑,horns,S19c,񃪑,,mountain,S19c,񃪑,S1cb,񄰱,飞机,S1a0,񃰑,,,S125,񀷱,S1a0,񃰑,S19c,񃪑,S1a0,񃰑,S1a0,񃰑,animal,S1a0,񃰑
,S19c,񃪑,ily,S1a0,񃰑,,z,S1a0,񃰑,S19c,񃪑,守protect,S1b4,񄎑,,,S19c,񃪑,,,S11e,񀭁,S19c,񃪑,S19c,񃪑,ily,,
,,,,,,,,,,S1a0,񃰑,秀,,,,,S1a0,񃰑,,,,,S1b0,񄈑,,,,,
(Selected Fingers flattened),S112,񀛑,flat_v,,,,,,,S112,񀛑,虎tiger,,,,,,,,,,,,,,,,S123,񀴱
(Selected Fingers bent),S110,񀘑,bent_v,S110,񀘑,,railway,S110,񀘑,S110,񀘑,20,S110,񀘑,,,S110,񀘑,S110,񀘑,S110,񀘑,S110,񀘑,S110,񀘑,bent_two,S110,񀘑
,,,,,,,,S121,񀱱,,,,S121,񀱱,,,S122,񀳑,,,S122,񀳑,,,,,,S121,񀱱
(Selected Fingers Hooked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2finger_differshape,S140,񁠑,k/p,S140,񁠑,,k,S140,񁠑,S142,񁣑,欠,S140,񁠑,,,S140,񁠑,S140,񁠑,S140,񁠑,S140,񁠑,S140,񁠑,k,S140,񁠑
,,,,,,,,,,S140,񁠑,科,S126,񀹑,,,,,,,,,,,,,,,
3_nonspread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extended,,,,,,,,,,S18e,񃕑,8,S18e,񃕑,,,,,,,,,S18e,񃕑,,,,,
flattened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hooked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3finger_differshape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extended,S1ab,񄀱,goody_goody,,,,,,,,,,S1a4,񃶁,,,,,,,S18f,񃖱,S1c4,񄦑,,,,,
flattened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bent,,,,,,,,,,S190,񃘑,80,S190,񃘑,,,,,,,,,,,,,,,
hooked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3finger_differshape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_nonspread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Selected Fingers extended),S15d,񂋱,open_b,S147,񁫁,,door,S147,񁪱,S15a,񂇑,9,S15d,񂋱,S15a,񂇑,S15a,񂇑,S15d,񂋱,S15d,񂋱,S15d,񂋱,S15d,񂋱,flat,S15d,񂋱
,S147,񁪱,closed_b,S15a,񂇁,,quick,S15d,񂋱,S147,񁪱,胡,S147,񁪱,,,S15d,񂋱,S147,񁪱,S15a,񂇑,S147,񁪱,,,,S147,񁪱
,,,,S15d,񂋡,,cut,,,,,,,,,,S147,񁪱,,,,,S15a,񂇑,,,,S15a,񂇑
(Selected Fingers flattened),S14b,񁰱,flat_b,S180,񃀁,,envelope,,,,,,,,,,S182,񃃑,S14b,񁰱,S182,񃃑,S180,񃀑,S180,񃀁,bent_flat,S182,񃃑
,,,,,,,,,,,,,,,,,S180,񃀑,,,,,,,,,,,
(Selected Fingers bent),,,,S16e,񂥑,,shovel,,,,,,S170,񂨑,S149,񁭱,S149,񁭱,,,S16e,񂥑,S16e,񂥑,,,,S171,񂩱
,,,,,,,,,,,,,,,,,S168,񂜑,,,S170,񂨑,S170,񂨑,,,,,
(Selected Fingers Hooked),S202,񆃑,e,,,,,S202,񆃑,,,,,,,,S202,񆃑,,,,,,,,,,S202,񆃑
4finger_differshape,,,,,,,,,,,,,S1d7,񅂱,,,,,,,,,,,,,,,
4_spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Selected Fingers extended),S14c,񁲁,5,S144,񁦡,,4,S144,񁦁,S14c,񁲁,5,S14c,񁲁,S14c,񁲁,S14c,񁲁,S14c,񁲁,S14c,񁲁,S14c,񁲁,S14c,񁲁,5,S14c,񁲁
,S144,񁦁,flatspread_5,S14c,񁲁,,5,,,S144,񁦁,4,S144,񁦁,S144,񁦁,S144,񁦁,S144,񁦁,S144,񁦁,S144,񁦁,,,,S144,񁦁
(Selected Fingers flattened),S146,񁩑,flat_4,,,,,,,,,,S159,񂅱,,,,,,,S159,񂅱,,,,,,S158,񂄑
,,,,,,,,,,,,,,,,,,,,,S158,񂄑,,,,,,,
(Selected Fingers bent),S145,񁧱,curved_4,S14e,񁵑,,relatives,,,S145,񁧱,40,S145,񁧱,S145,񁧱,S14e,񁵑,,,S150,񁸑,,,,,,S14e,񁵑
,S150,񁸑,open_e,S145,񁧱,,white,,,S150,񁸑,果,S14e,񁵑,S150,񁸑,,,,,,,,,,,,,
(Selected Fingers Hooked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4finger_differshape,S1c5,񄧱,open_8,,,,,S1c5,񄧱,S1c5,񄧱,菜,,,S1c5,񄧱,S1c5,񄧱,S1c5,񄧱,S1c5,񄧱,,,S1c5,񄧱,middle,S1c5,񄧱
,S157,񂂱,stacked_5,,,,,,,,,,,,,,,,,,S1a7,񃺱,,,,,,,
"Thumb
 Opposition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1fin_othersFist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(fingers rounded),,,,S1ed,񅣡,,sentence,S1ed,񅣡,S1ed,񅢑,句sentence,S1e5,񅗱,S1ed,񅣡,S1ed,񅣡,S1e5,񅗱,S1ed,񅣡,S1ed,񅣡,S1ed,񅣡,letter_c,S1eb,񅠱
,,,,S1eb,񅠱,,write,S1eb,񅠱,S1eb,񅠱,呂,S1ed,񅢑,,,S1eb,񅠱,S1eb,񅠱,S1eb,񅠱,S1eb,񅠱,S1e7,񅚱,write,S1e5,񅗱
,,,,S199,񃥱,,thin (line),,,S199,񃥱,少,,,,,,,,,,,,,,,,,
(fingers flattened),S1f0,񅨑,g,S1f0,񅨁,,inch,S1f4,񅮑,S1f0,񅨁,像,S1f4,񅮑,S1f0,񅨑,S1f0,񅨑,S1f0,񅨑,S1f0,񅨑,S1f0,񅨑,S1f0,񅨑,small,S1f0,񅨑
,,,,S1f4,񅮁,,chicken,S1f0,񅨑,,,,S1f0,񅨁,S1f4,񅮑,S1f4,񅮑,,,S1ee,񅥑,,,S1f4,񅮑,11,S1f4,񅮑
,,,,,,,,,,,,,,,,,,,,,S1f4,񅮑,S1f4,񅮑,,,,,
(fingers straight),,,,,,,,,,,,,,,,,,,,,,,,,,,,S1e4,񅖑
FlattenedandInFistfingerUp,,,,,,,,,,,,,S19f,񃮱,,,,,,,,,,,,,,,
2finNonspread_othersFist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(fingers rounded),,,,,,,,,,,,,S129,񀽱,,,S129,񀽱,S129,񀽱,S129,񀽱,S129,񀽱,,,,S129,񀽱
(fingers flattened),,,,S13f,񁞱,,7,S13f,񁞱,S13f,񁞱,鸭,,,,,S13d,񁛱,S13f,񁞱,S13d,񁛱,S13f,񁞱,S13f,񁞱,12,S13d,񁛱
,,,,S13d,񁛡,,pinch,S13d,񁛱,,,,,,,,S13f,񁞱,,,S13f,񁞱,,,,,,S13f,񁞱
(fingers straight),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlattenedandInFistfingerUp,,,,S1a3,񃴱,,t,S1a3,񃴱,S1b3,񄌱,100,S1b2,񄋑,,,,,,,,,S1a3,񃴱,,,,,
,,,,,,,,,,S1a3,񃴱,龙,,,,,,,,,,,,,,,,,
2finSpread_othersFist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(fingers rounded),,,,S128,񀼑,,eagle claw,S128,񀼑,,,,,,,,,,,,S128,񀼑,S128,񀼑,,,,,
,,,,,,,,,,,,,,,,,,,,,S12a,񀿑,,,,,,,
(fingers flattened),,,,,,,,,,,,,S12b,񁀱,,,S12b,񁀱,,,S12b,񁀱,,,,,,,
(fingers straight),,,,,,,,,,,,,,,,,,,,,,,,,,,,S127,񀺱
FlattenedandInFistfingerUp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4finNonspread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(fingers rounded),S16d,񂣱,c,S176,񂱑,,0,S176,񂱑,S16d,񂣱,方square,S16d,񂣱,S16d,񂣱,S16d,񂣱,S16d,񂣱,S16d,񂣱,S173,񂬱,S16d,񂣱,cup,S16d,񂣱
,S176,񂱑,o,S16d,񂣱,,cup,,,S176,񂱑,0,S176,񂱑,S176,񂱑,S176,񂱑,S176,񂱑,S176,񂱑,S176,񂱑,S176,񂱑,round,S176,񂱑
,,,,,,,,,,,,,,,,,,,,,S177,񂲱,,,,,,,
(fingers flattened),S185,񃇱,flat_o,S185,񃇱,,teach,S185,񃇱,S185,񃇱,10000,S185,񃇱,S185,񃇱,S17d,񂻱,S17d,񂻱,S185,񃇱,S185,񃇱,S185,񃇱,flat-round,S17d,񂻱
,,,,S17d,񂻱,,car,S17d,񂻱,S17d,񂻱,绅,,,S17d,񂻱,S185,񃇱,S185,񃇱,S17c,񂺑,S17d,񂻱,S17d,񂻱,thick,,
,,,,S17c,񂺑,,heels,,,,,,,,,,,,,,S17d,񂻱,,,,,,,
(fingers straight),,,,,,,,,,,,,S160,񂐑,,,,,S160,񂐑,,,,,,,,S160,񂐑
4finSpread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(fingers rounded),S153,񁼱,curved_5,S153,񁼱,,rain,S155,񁿱,S153,񁼱,同same/together,S153,񁼱,,,S153,񁼱,S153,񁼱,S154,񁾑,S153,񁼱,S153,񁼱,,S153,񁼱
(fingers flattened),,,,S155,񁿱,,wolf,,,,,,,,,,,,,,S155,񁿱,S155,񁿱,,,,S155,񁿱
(fingers straight),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1fin_othersNonfist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(thumb rounded,others spread)",S1ce,񄵑,f,S1d0,񄸑,,boat,S1d0,񄸑,S1ce,񄵑,钱,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,S1ce,񄵑,ok,S1ce,񄵑
,S1bb,񄘱,8,S1d5,񄿱,,snow,S1d5,񄿱,S1d0,񄸑,wc,S1d6,񅁑,S1d0,񄸑,S187,񃊱,S1bb,񄘱,S1bb,񄘱,S187,񃊱,S1bb,񄘱,flick,S1bb,񄘱
,S187,񃊱,w,S187,񃊱,,w,S18b,񃐱,S187,񃊱,3,S1bb,񄘱,,,S1ba,񄗁,S187,񃊱,S1a5,񃷱,S1a4,񃶁,S187,񃊱,3,S187,񃊱
,S1a4,񃶁,7,S1ce,񄵑,,3,S1ce,񄵑,S18b,񃐱,3,S187,񃊱,,,S1a4,񃶁,,,S187,񃊱,,,,,,S18b,񃐱
,,,,,,,,S1ba,񄗁,,,30,S18b,񃐱,,,,,,,S18b,񃐱,,,,,,,
,,,,,,,,,,,,,S1d0,񄸑,,,,,,,,,,,,,,,
"(thumb rounded,others nonspread)",S18d,񃓱,flat_m,S18c,񃒑,发誓,swear,S1da,񅇑,S18c,񃒑,童,S18c,񃒑,,,S18d,񃓱,S18c,񃒑,S18d,񃓱,S18c,񃒑,S18c,񃒑,letter_m,S18c,񃒑
,,,,,,,,S18c,񃒑,,,,,,,,,,,,,,S18d,񃓱,,,,,
(thumb flattened),S1d1,񄹱,open_f,S1c1,񄡡,,sticky,S1c1,񄡱,S1c3,񄤱,借borrow,S1c1,񄡱,,,S1d1,񄹱,S1d8,񅄑,S1c3,񄤱,S1c3,񄤱,S1d4,񄾑,flat-ok,S1c3,񄤱
,,,,S1c3,񄤡,,paper,S1c3,񄤱,,,,,,,,S1d2,񄻑,,,S1d3,񄼱,S1d2,񄻑,,,,S1d4,񄾑
,,,,,,,,,,,,,,,,,S1d4,񄾑,,,S1d1,񄹱,S1d4,񄾑,,,,,
FlattenedandInFistfingerUp,,,,,,,,,,S196,񃡑,,,,,,,,,,S105,񀇱,,,,,,,
