canonical_gloss,synonyms,sid,FSW
approuver,,765,M514x544S15d39491x521S11e50485x456S20b00494x507S22a04494x490
araignee,,946,M517x564S1ce19482x436S20500493x488S17612491x466S15012483x539S22b04483x506S22b04501x506
araignee-2,,447,M517x557S1ce19482x443S20500493x495S17612491x473S22b04501x513S22b04483x513S21b00496x549
arbre,,666,M539x538S14c10494x462S37800504x493S15d5a489x519S20500490x506S37706460x524S2e230520x474
arbre-gluant,,608,M521x602S14c18474x528S37800484x559S20e00490x570S22a04490x587S14c10498x540S31000482x482S34200482x482
arete-nez,,926,M552x526S33100482x482S10000517x496S20e00540x490S22a04539x509
argent-1,,1092,M544x529S1f500457x506S1f512490x471S20500463x487S22b03491x494S22b07501x505S2f900533x501
arreter,,388,M519x595S15d39481x572S20500480x555S22a04477x534S15a41496x550S30a00482x482S35d04482x482
arreter,,994,M535x599S30a00484x482S36d00479x521S15a02508x535S15a06471x535S22b04514x556S22b14478x556S2fb04497x593S34a00484x482
asseoir,,1051,M531x533S19a40503x467S19a48468x467S2c315470x498S2c304500x498S2fb04491x527
attends,,585,M552x559S34400480x482S36d00479x522S26a00525x544S30c00480x482S15d20501x532
attends,,1152,M546x563S30a00481x482S36d00479x521S34400481x482S15a20503x536S26a00519x548
atterrir,,1119,M528x531S20e00473x502S19a11500x468S15a1a476x519S2880d490x495
au-revoir,,43,M557x529S22110531x489S15a20535x502S33e00481x482S36d00479x524
au-revoir,,394,M515x516S18020485x501S22110487x484
AudreyS,,833,M539x517S30006482x482S15300524x489S20600517x473
aujourd-'hui,,507,M533x607S30a00482x488S30104482x477S15d30508x536S15d38470x536S2fb04494x601S22a04507x575S22a04520x575S22a14469x575S22a14483x575
aujourd-hui,,1109,
aussi,,546,M519x527S10050504x497S10058480x497S20600488x474
Australie,,967,M533x554S14c50509x455S14c58471x454S2b711474x492S2b701507x494S1bb50502x526S1bb58467x525S2fb00495x447
automne,,950,M534x541S14c51488x465S15d18466x475S20500476x459S24a0c513x494
autoriser,,895,M563x551S14249441x527S14241533x523S14248444x449S14240527x450S2c611437x490S2c600524x490S2fb00480x472
autoriser-moi,,20,M554x557S1421a446x444S14212510x443S14209446x534S14201524x531S2fb00484x471S2c605525x488S2c615457x490
Autriche,,1045,M527x522S11811460x490S11819496x490S36d03485x510S36d01473x511S21800509x477S21800462x477
Autriche-1,,376,M528x524S12201469x491S12209492x491S36d03486x513S21800461x476S21800506x477S36d01471x513S20800487x482
avaler,,338,M543x551S36a00482x477S10040486x519S20e00513x539S2d201517x508
avare,,930,M530x620S14e50504x543S14e58475x543S36d00479x524S30c00482x482S36100482x482S26604509x578S26614480x578S2fb04496x614
avec,,306,M522x516S20340507x501S20348479x501S20500495x484
avec,,392,M520x514S20310505x499S20318479x499S20500494x485
avion,,723,M523x521S22b01478x478S19a11495x499
avion,,977,M528x514S22b02472x492S19a12508x486
Avoir,,1361,M527x549S15210507x513S20500498x524S20500498x538S2ff00482x483
avril,,27,M531x524S15d02504x502S2e232495x476S22b02469x508
avril-G,,465,M532x523S15d0a469x478S2e23a467x504S22b16502x483
B,,265,M507x511S14720493x489
B,,356,M507x511S14710493x489
bagage,,970,M552x543S23614446x514S23604513x514S20310523x494S20318457x495S36d00479x458S2fb04493x537
bailler,,1144,M548x537S30a00482x482S34400482x482S15d00494x506S20500527x526S26a04521x510
bain,,121,M536x611S30a00482x482S23110463x582S20e00472x565S23100510x578S36d00479x524S2fc04492x600S20e00518x561S20300515x538S20300474x543
bain,,902,M542x544S1f502520x467S1f502462x468S20e00464x499S23100516x516S36d00479x457S2fc04492x533S20e00521x498S23110458x517
baleine,,305,M519x517S30000482x482S17620491x463S22a00493x445S14c20490x410S20500509x472
ballon,,403,M530x540S14c50506x459S14c58469x459S20500495x491S20500495x529S2a20a503x497S2a212473x498
banque,,515,M526x536S15d39488x495S20500473x487S20500501x463S26507485x473S1ea41498x517
banque,,887,M526x536S15d39488x495S20500473x487S20500501x463S14741505x515S26507485x473
bas,,75,M543x594S2ff00481x482S36d00479x523S10004525x532S22b04527x564
Basket,,1411,M529x563S30a00483x483S36d00479x548S2b700510x535S14e20490x532S15a22462x543
bateau,,682,M525x534S26620492x465S20800495x499S14741504x513S14749475x511
bateau,,964,M524x538S15d41501x515S15d49476x515S20500496x500S26620493x462
battre,,741,M531x525S20330495x475S20330470x495S2e608502x492
bavarder,,505,M519x577S22114476x549S18518478x562S22114490x523S18510494x535S33b00482x483
bavarder-fort,,304,M558x595S22114481x552S18518480x565S22114493x523S18510497x534S32b00482x482S2e600529x531S2e618444x562S2fb05514x577
BD,,961,M530x515S14720470x493S10110514x485S26506491x499
beige,,758,M535x541S30005482x482S30003482x482S1f717512x510S1f71f466x511S20500525x496S20500464x496S26502490x527
beige-1,,183,M539x586S30005482x482S20e00527x493S14700517x509S14710517x564S25504518x538
Belgique,,879,M556x547S30005482x482S19a20515x506S25900541x519S37b06540x545S20e00502x524
belier,,1254,M540x543S30001482x482S30007482x482S20320521x478S20320465x477S2eb00525x502S2eb18462x502S2fb04493x537
belle,,1067,M538x539S30a00482x482S30004482x482S17c32485x522S26500524x503S20e00525x525S22104524x491
Benoit,,494,M564x517S31400482x482S14720522x484S22124542x489
berger,,1409,M564x518S30007482x483S20310517x481S26504533x482S21100551x482
besoin,,1044,M513x523S14710494x477S22f04488x509
betise,,737,M518x575S33200482x482S19a10480x519S2e600482x542
bien,,706,M544x573S33e00482x483S31400482x483S1f540515x528S2f900533x558S22a04517x558
biscotte,,1178,M529x548S36100482x482S1ec0e490x525S26504515x529
biscuit,,1053,M529x548S36100482x482S1ec0e490x525S26504515x529
bisous,,1003,M542x517S30006482x482S17710522x495S20500518x481
blanc,,244,M584x525S36a00482x477S20500537x508S17710511x510S14c00561x461S26507550x494
blanc-1,,148,M599x517S30006482x482S20500546x493S17710520x492S14c00576x476S26506559x493
bleu,,733,M511x516S14720493x494S22124489x483
boire,,467,M518x579S34700482x482S1f510493x523S2c305487x555
bois,,413,M529x533S20e00501x504S14741472x468S14749477x491S23101509x512
boite,,436,M528x596S30a00482x482S14740514x549S14748479x553S22e02500x532S22e16485x579
bon,,594,M549x529S18500501x512S26600533x499S34e00482x482
bon-1,,662,M536x557S18500512x522S33b00482x482S20500496x520S25504494x535
bon-2,,878,M548x529S18510500x511S26600532x499S21b00538x482S34d00482x482
bon-5,,700,M541x537S34e00482x482S17600493x521S20500513x514S21b00530x485S26500527x499
bonbon,,586,M531x535S10000486x505S33b00482x482S20600509x514
bonjour,,414,AS15a00S26500S33e00M524x539S33e00482x482S15a00494x512S26500510x518
bonjour,,1422,M524x540S33e00482x483S15a00494x513S26500510x519
bonnet,,247,M541x517S2ff00482x482S30000482x482S20500472x493S20500520x493S1f711502x460S1f719478x460S28814460x471S2880c529x471S20500496x456S2fb00492x443
Bordeaux,,1074,M551x526S36d10479x474S20500516x485S14747526x484S23004526x508
botte,,1253,M532x529S15d59468x488S16d51489x471S2c603491x512S21000512x493
boucher,,429,M540x542S36a00482x477S1f520516x507S20600504x531
bourgeois,,972,M544x529S36a00482x477S1ec10513x510S20600522x496
bouteille,,1087,M524x537S16d40485x492S16d48476x517S21600512x462S20500511x511S21400498x524S22b00508x478
boxe,,1139,M552x569S37703506x533S3771b464x547S20319480x532S20311491x518S31000482x482S2e600523x521
BramH,,553,M545x526S30006482x483S20500514x515S17e20522x499S22124522x484
bravo,,140,M522x576S15d10503x549S15d18479x548S20600489x532S30a00482x482S33e00482x482
bravo,,636,M549x563S33e00482x482S30a00482x482S14c10526x490S14c18453x490S36d00479x526S2e230528x531S2e230455x529
Bresil,,892,M542x562S30a00482x482S14710527x505S2920c528x531
Brigitte,,1098,M539x517S30006482x482S20600515x469S15300524x487
brouillard,,96,M548x574S31500480x482S36d00479x521S14c21521x492S14c29449x492S2e600501x529S2e618463x529S2fb04493x568
brun,,455,M522x538S30004482x482S1f700502x518S26602469x515S20e00485x526
Bruxelles,,849,M537x528S11049463x472S11041509x472S20500498x517S26903506x493S26915480x494
but,,639,M546x517S30007482x482S10001521x482S10021516x429S10009494x426S20500510x474S20500511x410S26500516x454
C,,268,M509x510S16d10492x490
C,,1449,M509x510S16d20492x490
ca,,175,M524x519S10057477x489S26507511x481
ca-D,,557,M545x569S15d30525x522S32105482x482S22f04520x555
ca-depend,,548,M540x536S23604501x498S23610459x508S10058478x468S10050511x463S2fb04496x530
ca-va,,406,M535x576S11530507x546S11538474x546S30a00482x482S33e00482x482S22110509x530S22110468x530
caca,,188,M529x569S30c00482x482S34700482x482S20600488x531S19a10501x549S19a18470x548
caca,,852,M565x532S36a00482x477S10012535x514S26a02521x505S20500510x510
cacher,,649,M535x530S18059485x471S15d51512x502S3770b464x487S20e00493x490S2d200483x507
cacher,,1250,M529x583S2fb04488x577S37811501x547S37809483x538S14710495x527S14718485x517S27102514x521S27116462x520S30c00482x482
cacher-bas,,552,M521x620S30d00483x482S34400483x482S36d00479x524S14718484x542S14710500x536S21502496x565S2e620483x587
cafe,,1202,M519x521S19a02481x479S20300488x506S21100506x490
Californie,,52,M579x557S30006482x482S19a20551x537S20500518x483S22a05541x524S19c11516x499
calme,,595,M542x589S30a00482x482S34400482x482S17c10503x529S17c18476x530S20e00491x560S2881e468x563S22104455x559S2fb04489x583S28806505x563S22104530x561
camping,,1142,M541x522S1a011503x480S1a019471x481S20500496x478S22a05528x507S22a13459x508
canard,,1203,M518x533S18520485x518S22114455x518S33b00482x482
capricieux,,869,M548x612S20306508x535S2fc04499x601S20300476x547S37706523x540S37706447x554S31000481x482S34300481x482S22b04515x557S22b00531x551S22b10457x567S22b14474x570S36d00479x522
caresser-nez,,186,M550x548S33100482x482S20e00531x516S15d02522x489S22f04525x534
CarolineP,,260,M518x588S30004482x482S10a00473x522S20500508x515S2e230471x556
carre,,712,M525x534S15a10513x466S15a18474x481S26902507x501S26916479x518
cartable,,8,M554x595S2ff00479x482S36d00479x523S36d00479x559S19a14526x555S22f04526x581
carte,,1163,M582x518S1ed40500x482S1ed48471x481S26506532x486S26512448x485S1f440553x486S1f448419x484S2fb04491x512
casser,,969,M528x536S20350503x465S20500495x485S20350482x465S2a210473x495S2a208505x496S2fb04493x530
catalogne,,1377,M541x544S15d0a495x464S37810505x512S2ae02528x456S37806460x475S14420499x481
cave,,424,M534x554S30006482x482S10e10519x488S20e00520x522S22a04520x539
celebre,,207,M545x537S30007482x482S15d01521x484S20500511x467S23f09524x514
