canonical_gloss,synonyms,sid,FSW
définition,"liste: LANGUE, liste: ECOLE, liste: DICO  BILINGUE, lexique SGBFSS, liste MB divers",9527,M527x543S13d10478x471S13d18498x477S22c24492x501S20500499x458S22104513x502S22104514x515S22104514x528S22104474x503S22104473x517S22104473x529
tornade,"ouragan, liste: NATURE, liste: METEO, liste: DICO BILINGUE, lexique SGBFSS, liste: NATURE/ECOLOGIE/TERRE",4777,M523x553S12d21496x484S12d0b477x507S26620489x446S22235503x463S22231479x533
GENES,"liste: GEOGRAPHIE, liste: ITALIE, liste: VILLE, liste: DICO  BILINGUE, lexique SGBFSS",8872,M511x539S17f20490x510S26700491x462S22212506x487S22212506x466
tripartite,,5388,M520x538S15d0a481x466S11e00497x462S24b04495x497S22104499x531
chou,"liste: ALIMENTATION, liste: LEGUMES, liste: NOURRITURE, liste: DICO BILINGUE, JEU FAMILLES CONFIGURATION, JEU-COULEURS, lexique SGBFSS, CCSS",1411,AS15017S1501fS20600M526x522S15017499x477S1501f473x478S20600487x511
tu me dis,"me dire, liste: VERBES DIRECTIONNELS, EMM3, liste: VERBES",4557,AS1ce42S26604S20500M515x536S1ce42485x464S20500502x525S26604499x490
chagrin,à vérifier,5390,M540x539S36d00464x460S36d00460x535S20311466x473S22e04483x493S21100486x477S36d00498x460S36d00493x535
jouir,"liste: SEXUALITE, liste: DICO  BILINGUE, liste: PISOURD",3845,M558x518S31400482x482S1dc11518x488S1dc19458x488S26606528x482S26612439x482S22134514x480S22134450x481
souple,souplesse,5569,M579x519S1ea02513x491S1ea0a468x492S23700540x481S23714422x498
réseau,"liste: ECOLE, liste: DICO  BILINGUE, séance de réseau, réunion de réseau",9505,M533x549S2d61e468x493S2d606511x496S14451497x469S20500497x525S20500498x451S14459480x468S14450510x518S14458474x518
dum dum,"liste: INSTRUMENTS DE MUSIQUE, liste: MUSIQUE, liste: DICO  BILINGUE, lexique SGBFSS",8344,M586x526S1ea47567x498S1ea40510x486S1ea48467x487S1ea4f414x497S26602535x493S26616434x495S2f900517x476S2f900478x474S26602534x505S26616438x509
flèche gauche,,5938,M508x515S26610492x485
SAN FRANCISCO,"liste: GEOGRAPHIE, liste: ETATS-UNIS, liste: VILLE, liste: DICO  BILINGUE, lexique SGBFSS",2105,M540x514S20320460x499S2880a484x487S1d220511x485
admirer,"être admiratif, être fasciné, liste: EXPRESSIONS LSF, liste: DICO BILINGUE, lexique SGBFSS, liste: VERBES",1838,M541x525S31410482x482S35d04482x482S22a04502x498S21100518x497S11800526x498
VICTOR HUGO,"liste: PERSONNE, liste: LITTERATURE, lexique SGBFSS, liste: DICO BILINGUE",8244,M553x559S30007482x483S30005482x483S1dc21516x488S20500510x477S20500511x511S37900535x508S37906495x552S15a5a526x547S20500538x536
jeûne,"jeûner, liste: MEDICAL, liste: MEDECINE, liste: CORPS, liste: DICO  BILINGUE, lexique SGBFSS, à jeun",8568,M524x535S36d00479x466S36d00479x531S20332476x503S26606494x502S21100497x490
se suicider (pendaison),"suicide (pendaison), liste: SUICIDE, se pendre",5143,M557x525S36e10487x513S2ff00473x482S20320509x474S3780b527x485S37806523x483S22a00510x454S2fb01491x501
scolaire,,3822,M539x538S36d00479x462S1d510506x508S1d518472x509S20500509x472S20500509x484S20500509x497S20500480x472S20500480x485S20500480x497S22b04523x477S22b14460x473
BROC,"liste: GEOGRAPHIE, liste: SUISSE, liste: FRIBOURG, liste: VILLAGE, liste: DICO  BILINGUE, lexique SGBFSS",8319,M542x546S30004482x483S14e00491x515S22f04515x521S20f00516x506
détruire,"liste: VERBES, liste: DICO BILINGUE, lexique SGBFSS",2488,M528x579S20e00516x566S26603502x557S1f751506x529S30c00482x483S32a00482x483S15d39486x550
téléjournal,"FMS12, liste: MEDIA, liste: COMMUNICATION, liste: DICO  BILINGUE, lexique SGBFSS",2853,M538x536S15d5a497x503S14c20515x465S37802480x504S2890a484x471S20320473x489S20500473x515S37806462x509
comité,,2776,M543x520S20500498x481S26a16458x493S16d40501x494S16d48481x494S26a02529x491
révolte,"se révolter, liste: DICO  BILINGUE, lexique SGBFSS, voc LILI",8545,M546x548S30000482x483S30004482x483S10001515x482S10009472x518S20500494x470S20500498x521S10029451x483S28100514x454S10021516x437S28118463x498
maladroit,"liste: ADJECTIFS, liste: DICO BILINGUE",3143,M535x561S19240485x517S30004482x482S2a531510x536S20500509x513
se répandre,"liste: VERBES, liste: DICO BILINGUE, lexique SGBFSS",6321,M561x559S20350499x530S20358477x530S20500491x548S14c50520x460S14c58449x459S26611462x500S26607508x500S22530519x444S22530440x442
