canonical_gloss,synonyms,sid,FSW
recibir,(to recieve),1533,M538x546S11a58522x455S26504524x495S15a30525x518S11a50462x454S26504462x496S15a30464x519
rascarse,(to scratch),1543,M518x570S30c00482x483S35010494x506S37a15448x554S15311475x538S20f00448x534
encogerse,(to shrink),1541,M556x611S15d10537x463S15d18449x463S32a00481x425S22a02514x474S22a16474x473S32c00484x540S15d10512x583S15d18474x584
estornudar,"(to sneeze), estornudo",1531,M527x534S2f700515x490S30304473x477S33210485x497S33910516x504S15d01489x511
quedarse,(to stay),1552,M517x528S1f540502x483S1f548484x483S22a24494x513S2fb00492x472
caminar,(to walk),1529,M519x529S10e04502x478S22514497x516S26501482x471
caminar,(to walk),1530,M535x560S36d00479x440S36d00480x499S15d04516x508S15d0c466x507S2fc00493x519S23704479x539
vestir,(to wear clothes),1308,M544x564S10e02513x471S10e0a456x471S22c04528x488S22c14455x487S36d00478x437S36d00480x560
tren,(train),1427,M536x556S12d40513x475S12d48465x496S2ea00513x514S2ea18473x531S2fc00492x503S2f800478x444
entender,(understand),1425,M549x584S15d02519x565S15d0a453x563S36d00479x544S26500529x546S26510457x545S20500480x570S20500509x571S1f501527x520S1f503452x519S30114483x477
Estados Unidos,(United States),1431,M529x517S20356478x502S1553e472x484S20c00501x494
agua,(water),1394,M514x520S10620493x494S21800487x480
semana,(week),1429,M518x534S20350483x490S2e704501x485S20320498x466S20500487x477S20351497x513
trabajar,(work),1395,M530x537S1d858471x464S1d850513x463S27100478x504S2fc00493x526
",,,",,876,M507x557S20500493x443S21100494x543S20e00494x493
",,,",,877,M507x557S20500493x443S21100494x543S20e00494x493
0 (number),,528,M508x508S17620492x492
0 (numero),,725,M508x508S17610492x492
1,,519,M508x515S10000493x485
Uno,"1, uno",551,M508x515S10000493x485
10,,560,M513x550S14c50488x519S2a202491x486S14c00490x451
cien,100,622,M520x526S10020481x474S16d20503x485S22b06483x510
11,,565,M510x527S1f502491x474S23006492x502
11,,824,M511x528S1f503489x473S23202489x502
12,,566,M517x527S1dc02483x474S23006499x502
12,,823,M515x530S1dc03485x470S23202491x504
13,,567,M518x526S11e02482x474S23006500x501
13,,825,M515x528S11e03485x472S23202494x502
14,,568,M518x523S14402482x478S23006500x498
Catorce,14,805,M517x521S14402484x480S22e00500x503
14,,826,M515x531S14403486x470S23202488x505
15,,1890,M541x545S14c01487x456S14c3a475x498S23200515x478S23214459x525S2fc05506x516S21510464x478
16,,564,M515x518S1f550486x483S26a00488x504
17,,827,M515x526S1dc50485x474S26a00488x512
18,,685,M515x525S11e50486x476S26a00488x511
19,,828,M514x525S14450491x476S26a00487x511
2,,520,M508x515S10e00493x485
2,,552,M508x515S10e00493x485
20,,829,M525x510S1ec10502x491S20600475x495
2000,dos mil,634,M537x524S10e00522x476S15a18463x481S18210491x491S20500478x490S22c02495x508
23,,635,M530x528S1ec20507x484S18600471x473S20500496x488S2df00488x507
23,,2104,M539x529S18600521x472S1ed20485x483S2df08504x508S20600461x487
24,,694,M531x529S1ec20508x485S14400470x472S20500497x489S2df00489x508
25,,815,M533x527S1ec20510x483S2df00491x506S20500499x487S14c00468x473
28,veintiocho,617,M534x524S1ed20508x481S20500497x485S11e01466x477S26602489x508
3,,521,M509x515S18700491x486
3,,553,M509x515S18600491x485
30,,830,M525x515S13610502x485S20600476x500
4,,522,M511x516S14400489x485
4,,554,M511x516S14400489x485
40,,831,M528x514S1d410499x486S20600472x494
5,,523,M512x516S14c00489x485
5,,555,M512x516S14c00489x485
50,cincuenta,591,M516x522S14c20489x491S22520484x478
50,,832,M516x523S14c00487x492S22520484x478
quinta,5°,871,M517x528S2033a487x513S15001483x473S20500490x500S22a04504x504
6,,524,M508x512S1f502493x488
6,,556,M511x511S1f501489x489
60,,833,M508x513S20320493x498S21900494x487
7,,525,M512x515S1dc01489x485
7,,557,M512x515S1dc01489x485
70,,834,M527x508S1f050498x493S20600473x494
8,,526,M513x515S11e01488x485
8,,558,M513x515S11e01488x485
9,,527,M507x515S14700493x493S22204495x485
9,,559,M507x518S14700493x496S22104494x483
`,,518,M511x511S22b35490x490
A,,490,M510x508S1f720490x493
A,,711,M512x508S1f520488x493
A,,1098,M522x522S20357478x486S21400481x479S1f720502x479S26a01501x501
a,,1336,M518x534S1f524464x519S31500482x483S33e10492x503
Abandonar,,362,M531x531S20350470x471S20350516x469S22507469x519S22b23484x485
Lengua de Señas Mexicana,"alfabeto, abecedario , abc",529,
abogado,,239,M518x528S36a00482x477S1f418444x513S20500479x510
abril,,641,M563x518S21512518x475S33010479x483S1f720526x493S2eb0c548x486
Abril,,2003,M566x518S2eb0c551x486S33010479x483S1f520523x493S31430486x494S33e10489x505
absurdo,,601,M529x524S19220508x478S19200471x477S2a204489x496
abuelos,,1971,M524x530S1f502480x471S20300480x515S20600476x500S22f04499x489
aburrido,aburrida,1007,M538x561S35000482x483S2df08517x538S2df10461x540S20301473x512S20301506x512S37600488x526
aburrido2,,1008,M527x574S35000482x483S37600488x526S20301506x512S20301473x512S2a21b469x553S2a203502x553
Acompañar con los 3,,360,M536x552S36d21479x493S20356521x485S16d40482x470S20500500x449S20500469x453S18620493x522S26600517x522
actividad,,612,M546x575S36d10479x524S2ff00481x483S20500477x539S20500511x540S23100518x558S23110454x557S1f550522x538S1f558453x537
adios,adiós,595,M549x518S2ff00482x483S15d20524x487S22124527x478
Adiós,,365,M512x520S15d20488x493S22214491x481
