canonical_gloss,synonyms,sid,FSW
vlinder,thema: DIER,17,M531x528S15d2f480x505S15d27496x505S22b27500x471S22211470x495S22217516x496
Vis-levend (fish-alive),thema: DIER,27,M520x534S15d40483x507S26600481x467S27206501x467
varken (pig),thema: DIER,35,M537x517S2ff00482x482S16d10492x490S20500516x481S20500527x482S20500521x491
tijger (tiger),thema: DIER,39,M565x518S2ff00482x483S11002503x499S1100a471x499S26606535x496S26612436x497
vis,,66,M520x534S15d40483x507S26600481x467S27206501x467
weten,,71,M541x527S2ff00482x482S18210518x486S20500510x471S22b04518x497
weten,,72,M540x543S2ff00482x482S10011519x487S20500512x471S22b04510x513
wie,,43,M518x540S30a00482x482S10010486x510S20500508x516
wij,,58,M526x532S36d00479x469S10014511x478S2f000500x512
wij-twee,,57,M526x534S10e00511x474S36d00479x467S26c0a511x507
wind,,13,M518x517S15a20422x470S15a00456x470S2ff00482x482S22a16439x469S22a16440x483S32a00482x482
