canonical_gloss,synonyms,sid,FSW
gato,,74,M611x520S30002440x483S30006524x483S20e00582x499S1d410557x486S1d418414x486S20e00406x499S26a06597x493S26a12389x493S35d14453x501S34c00468x483S35d00496x483S34400524x483
gracias,¡Gracias!,62,M593x541S35d04407x483S36100467x483S36100557x483S34c00437x483S34800497x483S34c00527x483S15d00419x514S20500407x518S26500444x526
gracias,¡Gracias!,63,M535x540S31400482x483S33e10492x505S15d00494x512S26600519x510
H,h,141,M516x521S11900484x479S26903497x502
hacer señas,,34,M524x537S14c40500x473S14c48475x463S2ea00506x512S2ea4c478x500
Hermano,hermano,127,M620x555S26730591x510S20330585x499S1f550595x509S20e00594x524S30005482x483S10000503x516S20e00519x503S26a04593x541
Hola,,24,M552x573S34c00511x483S34400453x483S35c00482x483S19c20506x537S27102537x533
Hola,,39,M556x552S19c20528x475S27102536x512S31400482x483S33e10492x505
Hombre,"varón, hombre",126,M534x542S30005482x483S10000504x512S20e00522x512
humano,ser_humano,88,M578x590S22b04553x560S1ed26553x528S34600422x483S33b00452x483S34c00482x483S34400542x483S35d00512x483
humanos,,90,M593x613S22b04520x567S1ed26520x537S34600407x483S33b00437x483S34c00467x483S34400527x483S35d00497x483S36100557x483S1ed2e460x552S22b04540x567S22b14464x583S22b14445x583S2fd04489x601
i,I,103,M536x541S34800482x483S19220515x522
igual,,59,M580x578S10050506x548S10058484x548S35d04451x483S35c00544x483S34800420x483S34600482x483S34c00513x483S20600492x532
igual,,60,M580x572S34600482x483S34c00513x483S35d04451x483S35c00544x483S34800420x483S19a50522x545S27106557x532
Kristina,,95,M538x559S31400482x483S20600509x519S14010509x489S33e10492x506S37706470x557S37706498x557
leer,"Leer, LEER",149,M527x535S15a39473x465S10e51488x481S2480c511x507
ley,,69,M549x576S15d18478x540S1de20501x538S35c00451x483S34a00482x483S34800513x483S20500496x526S2f900485x571
libro,"LIBRO, Libro",142,M526x543S15a40503x468S15a48487x468S2a208503x500S2a210475x500S2fb04493x537S20500497x457
libro,,118,M578x617S34400542x483S20500494x537S15a40500x550S15a48485x550S15a30454x558S15a30531x558S2890a505x585S28912458x588S2fb04491x611S35000482x483S34800452x483S35c00422x483S35d04512x483
telefonear,"TELEFONEAR, Telefonear, llamar por teléfono",144,M536x529S2ff00479x483S19a01508x507S33030512x494S33b10491x506
loco,,100,M615x518S35c00437x483S35d04497x483S34400527x483S34900467x483S10012566x491S2ea34600x486
lunes,,20,M579x573S34600452x483S34700512x483S35c00422x483S35d00482x483S36100543x483S1dc20518x537S27102553x533
Madre,,10,M545x520S20500535x482S15a10525x493S20500520x482S30006482x482
Mamá,mamá,81,M585x523S33b00437x483S33b00497x483S34c00467x483S34c00527x483S18d40565x498S32b10527x483S20600563x485
marrón,,157,AS2fb01M535x522S2fb01505x503S21100521x490S1f710515x507S33b00482x483
martes,,26,M596x592S33b00405x483S35d00498x483S36100560x483S34c00436x483S34700529x483S35d04467x483S18d50541x543S2360c534x575
mentiroso,,85,M633x553S33b00386x483S34700413x483S34800468x483S34400524x483S34400578x483S35d00439x483S35d04497x483S36100551x483S10020612x504S20e00597x521S26a00606x539S32b10578x483
miércoles,,57,M624x592S33b00376x483S36100588x483S35d00485x483S35d04458x483S35c00535x483S34700433x483S34400511x483S34800404x483S34700561x483S18d50538x567S19220576x537S28807568x567
miércoles,,158,M530x528S19220509x473S18d50471x503S28807501x503
molestar,,70,M628x546S33b00385x483S34400413x483S34700469x483S34c00552x483S36100497x483S35d00525x483S35d04580x483S35c00441x483S15000603x495S22a04609x531S30e00580x483S30e00552x483S30e00525x483S30e00497x483S30e00469x483S30e00441x483S30e00413x483S30e00385x483
muchas  gracias,,79,M621x580S33b00406x453S35d00466x452S35d04412x513S34c00441x512S34c00529x511S34c00526x452S34800499x513S34500496x452S34f00436x452S36100471x513S36100556x453S36100558x511S15d01580x542S15d09551x541S26600605x548S26610531x550
