canonical_gloss,synonyms,sid,FSW
obligació,"obligación, a la força, caldre",719,M526x526S1ce01499x474S22b03474x491S22b03485x502
tarda,"tarde, a la tarda",1270,M525x542S30003482x482S30005482x482S20500474x510S20500515x511S1820e487x518S26506507x528
a mitjan,a mediados,1570,M556x514S14c4a444x490S15d30537x486S20710480x495S26502518x495
manual 1,"manual, a mà",2037,M532x525S18010502x504S18018469x500S20e00494x513S23208506x478S23218469x474
apartar,"a part, apartar, aparte",399,M533x520S20e00488x502S15d3a467x480S26606503x500S15a48473x493
vertical,"vertical, a plom",507,M508x531S22b04492x501S15a40494x469
a poc a poc,poco a poco,2189,M534x525S15a50514x476S15a50471x476S22f04509x511S22f14465x511S15d50507x475S15d58471x475
a reveure!,¡hasta la vista!,2844,M541x592S31410482x482S10001508x498S20500523x492S26616460x576S10e11514x543S10e19464x542S20500497x541S26602511x576S15a06389x514S15a01396x520S2b700421x540S15a43396x556
sobre 2,"encima, a sobre, damunt",649,M536x524S15d59468x491S20500464x486S15d51478x501S28802498x494S15d31513x475
sota,"debajo, a sota",1471,M523x521S15a1a477x478S15d30485x495S2c601504x481
termini 2,"plazo, a terminis",3521,M513x529S2b900487x471S1ea3f491x501
de vegades,a veces,3609,M547x521S15d38479x495S20600453x506S2a300524x478S18551492x495
a veure 1*,"a ver, aviam",539,M571x534S30a00482x482S10b00498x499S20500521x493S2df0e522x510S14c20548x494
ple 3,"lleno, a vessar",2466,M532x522S16d48468x486S15d50476x495S20e00487x478S26606502x497
veure 2,"ver, a veure*, mira!",3560,M544x524S31410482x482S20600522x495S10b00492x498
avall,abajo,3390,M508x524S10d13492x496S22a04493x475
abandonar 1,abandonar,2682,M533x546S20320472x531S20320514x531S14c58467x455S26610471x494S26600512x494S14c50509x454
abans 1,antes,2645,M549x520S36d00479x501S15d01526x497S20600515x480
abans-d'ahir,anteayer,2196,M550x526S36d00479x508S15d01526x503S20500517x488S2bd01531x473
abastir,abastecer,1504,M551x531S1ea37449x503S1ea41487x502S26617470x490S26607515x482S22100494x477S22100539x470
abdicar-1,abdicar,2190,M546x517S2ff00482x482S15412489x464S23a04520x475S20500474x475
abdicar-2,abdicar,2845,M545x524S2ff00482x482S1ed40506x458S23a04519x482S23a14455x482S1ed48451x459
abeja,,2588,M541x561S33e00482x482S10012500x512S20e00493x522S26606511x527S1f420420x488S2e406407x532S26600433x512
abella,abeja,2846,M541x544S1f420495x370S2e409487x433S26600508x399S2f900511x390S33e00482x483S10012500x513S20e00495x524S26606511x528
avet,abeto,1078,M560x546S16019474x453S16011504x453S20500496x475S28805511x483S28805519x504S28805527x525S2881d468x482S2881d461x504S2881d454x526S22104533x489S22104541x512S22104548x531S22104455x488S22104440x532S22104446x511
sacrificar-se 1,"sacrificarse, abnegació",3414,M535x533S33b00482x482S20e00522x502S22a04522x518S1f502493x504
abocar-1,verter,21,AS1f522S17648S28903M514x542S17648486x526S1f522488x494S28903489x457
abocar-2,verter,20,AS15d22S17648S28903M519x537S17648486x521S15d22481x495S28903494x462
advocat,abogado,2205,M550x535S2ff00482x482S11e20527x495S2f900537x530
avortar 2,abortar,1064,M587x532S36d10479x473S14c42486x508S22a07515x486S22a05546x486S14c51560x502S20321528x468
avortar 1,abortar,1065,M527x556S36d00479x444S16f1e503x479S16f16477x479S15a14473x529S15a1c515x529S22a14486x510S22a04501x510S20500495x496
abraçar,abrazar,1074,M576x523S3770b499x501S37802519x479S20c00445x497S37806499x509S14c09518x478S37902479x482S36d00479x479S20c00548x488S14c01477x487
obreampolles 1,abrebotellas,2313,M536x523S20348475x508S11051479x485S2880a514x477S37b03505x484S20500464x496
obreampolles 2,abrebotellas,2314,M521x523S20348479x502S20500485x487S1ea40498x502S25500505x477
abric,abrigo,2589,M593x566S2ff00435x482S15a02447x501S2eb00453x521S36d00522x510S2881c520x524S28804555x524S1f710555x551S1f718514x551S21100580x552S21100496x552
obrir 8,abrir,1526,M539x515S20340502x500S20348483x500S20500495x484S2d610461x485S2d608510x484
obrir 1,abrir,2315,M536x525S15a02501x488S15a06470x488S2df10464x504S2df08515x504S20500495x474
obrir 3,"abrir, descórrer",2318,M578x525S36d00479x521S1ea27525x475S37706520x522S37702534x500S26606548x474
obrir 4,"abrir, descórrer",2319,M535x519S20e00481x481S26506520x504S15d0a465x492S10002483x504
obrir 5,abrir,2321,M526x520S20330473x480S20330511x480S26504512x505S26514474x505
obrir 6,abrir,2322,M523x528S16d48476x494S15d52495x499S2c300497x471S20500491x517
obrir 9,"abrir, encendre, engegar",2323,M514x528S1ea50486x472S2a208491x500
obrir 10,abrir,2325,M527x507S10e02497x492S22704473x495
obrir 11,abrir,2702,M542x524S1ea11501x477S1ea19469x477S2a21c457x496S20500494x500S2a204519x496
obrir 7,abrir,3318,M520x526S15a12492x501S15a16493x514S20500479x508S2c300492x474
obrir 1,abrir,3612,M531x525S15d02502x481S15d0a471x481S2df10469x504S2df08510x504S20500495x474
abrir 9,,2324,M590x530S15a1a563x470S15a03500x507S15a05469x507S15a12410x470S22b07539x490S22b11430x490
cordar/-se,abrochar/se,1778,M536x537S36d00479x464S1ea11508x476S1ea19465x476S22104511x501S22104511x515S22104512x530S22104479x500S22104479x514S22104478x529S22b24493x500
absoldre 1,absolver,1746,M536x554S2ff00482x482S11510521x512S2330a489x524
abstenir-se,abstenerse,2875,M526x545S15d50505x455S15d58476x455S26604510x491S26614475x491S1f728475x530S1f720506x530
abstracte,abstracto,433,M562x517S2ff00482x482S18537472x461S1853f509x461S28806524x487S2881e454x487S22100550x478S22100438x477
avi 1,abuelo,1069,M538x547S2ff00482x482S20600516x514S37703508x525S20302494x519
avorrir-se 2,aburrirse,152,M524x585S33500476x482S15d39480x562S20500483x551S20500509x518S22b04493x524S15d32491x562
avorrir-se 1,aburrirse,284,M524x573S33500476x482S20500508x520S22b04492x522S1543e487x558
acabar 1,acabar,19,AS15a29S15a21S29904S2991cM530x535S15a29489x465S15a21489x465S37703508x483S3770b470x483S29904504x503S2991c483x502
acabarse,,2246,M538x534S14c12462x500S14c16484x511S22b04478x465S21100504x494S37b06502x488S2d608509x477
acalde 1,,2201,M571x528S16d1e488x490S20500494x512S36d00479x472S20302525x513S24004514x474S37806539x520
calorada,"ola de calor, acalorament, acceso de calor",1296,M538x517S30007482x482S30001482x482S14c58464x459S14c50511x459S20500521x493S20500470x493S2b710462x434S2b701519x434
acampada,acampada,1505,M570x586S15a41502x427S15a49474x427S15a49430x472S15a41547x473S22b13454x447S22b05521x447S20348431x515S1ea40451x523S22e04458x554S22e04488x568S22e04522x563S22e04553x547S2d624494x541S20500495x413
acariciar,acariciar,576,M541x554S2ff00482x482S20e00529x498S2ea00513x529S15a10513x497
accent agut,"acento, accent tancat",296,M562x517S2ff00482x482S1f420533x475S22e07524x494
accent greu,"acento grave, accent obert",295,M560x517S2ff00482x482S1f420531x477S22e05533x496
admetre,"admitir, acceptar",1083,M534x551S18559465x511S18551507x511S15758469x460S15750511x459S26504517x492S26514468x491S20500509x540S20500482x540S2fb00492x449S36d00479x533
accessible,accesible,2590,M609x549S30004482x482S1bb02480x521S20500523x511S21b00469x526S26600521x478S15a5a562x505S15a40571x522S2c601590x506
accident,accidente,1082,M526x535S2bd00491x480S2bd10479x491S15d0a475x516S18011501x502S2fc00486x464
oli,aceite,24,AS1f521S2eb0eM516x522S1f521492x477S2eb0e484x507
oliva,aceituna,2336,M575x532S33b00482x482S10d11501x511S20e00493x520S2c500535x507
bledes,acelgas,2254,M534x543S14c50487x481S15a56507x516S37906466x521S37800498x511S20500483x528S2320c486x457
vorera,acera,3584,M566x518S1ed58471x498S20500496x483S26612435x502S26606536x501S1ed50505x498
acostar-se 1,acercarse,1524,M527x529S18040496x514S18048473x472S26500496x490
acostar-se 2,"acercarse, apropar-se",3553,M508x533S10000492x466S26604492x503
encertar 1,acertar,1729,M525x545S15a16488x533S20340492x514S20b00474x514S14c40487x456S22b04509x486
aclamar,,2591,M557x596S34400482x482S15000516x506S26500523x481S2f710545x486S15a10500x569S15a18485x557S20c00500x551
aclaración,,2592,M587x568S14c18481x433S14c40501x451S20e00505x431S26a00501x487S20321505x546S20325473x547S2890a527x535S28912441x538S14c20564x516S14c28412x514
aclarir,aclarar,2684,M567x571S37703518x548S14c20544x494S14c28432x494S20321475x534S20327503x534S3770b457x549S28911462x502S28909509x502S14c18468x428S14c40488x440S20e00505x428S22f00516x456
acollir,"acoger, allotjar",3502,M564x521S15d38436x494S15d31462x497S2d828476x479S15d3a509x501S15d37541x498
acolorir,colorear,2593,M534x553S2ff00482x482S20500524x504S1dc01486x500S2e231503x526S1f407440x519S2990c444x484
acomiadar-se-1,despedirse,2916,M559x517S2ff00482x482S18000529x499S22114528x486S18008441x499S22114446x486
seguidor,"seguidor, acompanyant, avalador",38,M519x519S20600480x508S1f548494x480S1f540504x485
acompanyar,acompañar,109,M518x540S1f548482x515S1f540503x516S20500495x498S26620492x460
aconsellar,aconsejar,2780,M550x545S2ff00482x482S10620521x486S10628456x486S26a00523x521S26a10453x521S2fb04493x539
acord,acuerdo,3384,M540x517S18510503x502S18518472x502S20500495x485S26602510x482S26616460x482
acordió,acordeón,1073,M554x531S20310539x472S37902520x470S3770a540x487S3790a459x470S37702447x486S36d00479x469S20318446x471S26a02520x504S26a16465x503
escurçar,acortar,1594,M546x522S10010504x477S10018482x477S2d606524x500S2d61e455x500
