canonical_gloss,synonyms,sid,FSW
ค้างคาว,bat (animal),325,M521x524S1980a480x476S19821502x494S20800505x481S22f02484x499
ได้,be able to,235,M537x538S1f540522x514S26500522x496S30104482x477
ได้ (สามารถ),be able to,669,M524x550S35000482x488S30154495x477S1f612514x526
เบื่อ,"น่าเบื่อ, be boring, be bored",194,M535x523S30c00482x483S14700520x501S33210495x494S19200514x462S35f30495x507S26500520x483
be careful,,19,M547x552S33100482x482S20e00502x495S12d00524x501S26500525x537S22104528x484
สามัคคี,"ความสามัคคี, be in unity, be in harmony",176,M513x517S15a03490x494S15a0b487x494S20800495x483
สามัคคี,"ความสามัคคี, be in unity, be in harmony",177,M520x523S17116488x506S17112493x495S2e926480x478
สบายดี,be well,617,
bear,,41,M547x540S36d00479x461S15001462x469S15039507x469S20e00450x464S20e00535x465S22b05504x516S22b13468x515
สวย,"หล่อ, pretty, beautiful, handsome",525,M557x534S30a00482x483S33e10493x506S29104500x485S14c01531x483S1f502520x510
ผึ้ง,bee,374,M543x541S2ff00482x460S1d410513x464S2ff00482x506S15a10512x514S20e00527x519S2d50f523x500
นกจาบคา (กลุ่ม),bee-eaters,511,M543x587S2ff00482x460S1d410513x464S2ff00482x506S15a10512x514S20e00527x519S2d50f523x500S1f420479x572S26c08487x555S2f700513x552
ล่าง,below,392,M513x524S15a50494x476S23004488x506
บิกแบง,Big Bang,292,M565x582S22b07516x540S22b11459x540S35300482x513S17611499x566S17619485x566S15511534x524S15519438x524S22520533x508S22520434x508S34400482x483S35300482x453S30c30489x459
กล้องสองตา,binoculars,294,M547x518S2a310454x476S2ff00482x483S16d10504x486S2a308524x476S16d18480x486
นก,bird,478,M542x588S33b00482x483S1f420462x509S22104462x499S15d27519x543S15d2f458x543S22e04519x570S22e14464x570
บิดบัวบาน (ท่าฟ้อน),Bit Bua Ban (Northern Thai dance),424,M531x518S37b03494x465S37b1b494x464S14729500x450S1d402468x462S2ff20476x483S22e17512x466S26904480x441
สีดำ,black,127,M545x518S30b10482x483S10002511x492S22a06530x474S21100514x474
นกแซงแซวหางปลา,Black Drongo,559,M542x643S33b00482x411S1f420462x436S22104462x426S15d27519x463S15d2f458x463S22e04519x489S22e14464x489S37b13492x534S22512451x518S1f418504x522S37b0b496x535S10e12466x522S32a00482x554S18f38475x595S23604502x626S23610459x626S18f30504x595
นกกิ้งโครงคอดำ,Black-collared Starling,575,
นกขมิ้นท้ายทอยดำ,Black-naped Oriole,548,
นกตีนเทียน,black-winged stilt,488,M538x597S34d00482x443S1ef10499x461S26600512x428S1f410499x410S10c50502x489S10c58481x489S2ea00523x491S2ea4c463x489S33b00482x522S20e00505x559S10000486x549S22a04505x573S22104506x590
นกจาบคาหัวเขียว,blue-tailed bee-eater,512,M543x587S2ff00482x460S1d410513x464S2ff00482x506S15a10512x514S20e00527x519S2d50f523x500S1f420479x572S26c08487x555S2f700513x552
