canonical_gloss,synonyms,sid,FSW
Erdbeere,,8349,M589x568S34700415x483S35d04443x483S35d00473x482S35000518x483S34700548x482S1ef10560x537S15a51465x545S15a57438x544S26606495x546S26612403x546
Körperteil,,22739,M624x618S35d04376x480S35d04436x482S34400407x481S35000463x483S14c02441x529S14c0a388x530S22b04456x579S22b14389x577S21100459x553S21100390x555S35d00501x484S35c00588x486S34c00529x485S34800556x486S21100534x575S15d41550x544S2b704532x594S15d3a527x551
abstellen,,10228,M617x598S20350437x556S2ea4c404x541S20358400x573S2ea00434x524S35d00496x482S34c00393x481S35000422x481S34500467x482S34700523x482S20358557x582S20338517x582S2880a595x565S2881a565x563S14c31473x543S26505500x568S20338588x583S35c00571x484
ausbrechen,verbreiten,13796,M566x574S30e00482x482S35010495x505S20351503x553S20359475x553S14c50542x503S14c58437x502S27307523x529S2731f464x528
rwth200129,,19100,M577x556S2ff00482x483S19a00549x535S24e38520x526S1de10491x499S22a04494x534
Lasse,Lasse_S,23203,M576x606S33e00517x483S37806499x604S37806464x604S2f900524x565S1ce40554x523S34c00447x483S31630525x494S1ce28517x531S37806534x604S11811478x482S31430454x495
Auslegung,,5598,M589x571S34c00412x482S34600440x482S36100469x482S35c00497x482S34700524x482S35d04553x482S36f00474x521S36f50461x521S36f54528x525S36f54451x525S16f16470x546S16f1e501x547S2880a527x545S28812444x546
100000000000,,19535,M620x593S14c50561x558S33b00443x482S34800474x482S35c00504x482S22520558x544S26500565x524S34800531x483S34c00557x483S35d04584x483S26510497x523S22520490x544S14c58493x561S34600381x483S10010414x513S10040419x563S22a04414x553
analog,,14727,M586x599S10050488x569S10058461x569S34c00414x483S34c00468x483S34400522x483S35d00440x483S35c00495x483S35d04550x483S26600486x532S26610462x532
deinem,,2025,M614x562S35c00408x483S34800469x482S34c00439x482S35c00499x482S34700529x482S15d20587x535S26a00587x517S33b00557x482
rwth10963,,20298,M557x515S20300523x492S26500543x486S20309464x488S26510443x490S2fb04493x509
Georg,,2211,M539x560S30007482x482S20321518x477S20600502x469S31400482x482S34400482x482S37906481x558
Belgien,,11587,M568x574S35000453x482S34700483x482S37a06508x572S23404531x534S20e00539x519S37a06456x572S35c00511x482S14710537x494
Patricia,,24263,M546x556S33e00482x483S31430490x494S15010514x504S20600524x489S37906485x554
abdanken,,5716,M527x523S34c00482x488S30104482x477S16d40509x472S16d48472x473S2b727497x454
ausfallen,Ausfall,55,M593x578S36500497x483S2f900438x552S34c00407x483S2f900535x551S14c01499x549S14c09462x549S14c57550x547S14c5f412x551S2df08519x533S2df10445x533S36100467x483S34c00527x483S35c00557x483S34600437x483
dasselbe-wie,dasselbe,331,M605x588S34c00425x481S10e30518x540S27106543x548S35d00395x481S36100454x481S35c00513x482S34700484x482S35000541x482S34700569x483
Edelstahl,,13395,M623x586S34700377x482S34700436x482S35c00465x482S35d00406x482S36d00415x524S11e10435x533S20e00457x554S22f00460x533S35c00587x483S35d00533x482S34500505x482S34c00559x483S11541556x559S1154a531x565S20500552x543S20500565x543
VW-Variant,,11623,M593x645S36500407x481S35d00476x482S34c00446x482S34800502x483S34c00530x483S35d00557x483S15a52426x548S15a50524x547S15a40527x618S22d06466x546S22b04525x583
rwth201491,,21721,M558x557S2ff00482x483S20310543x493S26503528x516S14c01496x530
rechtfertigen,,10226,M605x583S34700423x482S35d04394x482S35800452x482S35d00482x482S36500511x482S34700539x482S35d04569x482S15d39467x560S15d02479x558S20e00496x545S26f00488x529S30c30489x488
schlau,"schlaue, schlaues, schlauen, schlauer",13623,M581x517S30007527x482S11810566x488S20600556x472S34500437x482S35c00468x482S34c00497x482S34600527x482
Sozialisation,,10986,M595x610S34400431x482S28803440x551S36d00440x525S21100440x573S36100405x482S36100460x482S11e01423x526S11e02407x550S35c00505x482S36100559x482S34800533x482S10002544x549S1000a523x555S2ea00554x579S2ea4c537x585S26520544x566
Artenschutzabkommen,,14026,M630x583S35d04418x482S20500613x541S20500565x542S26510471x526S34c00389x482S15d10426x551S15d18389x552S26500503x527S15d31607x558S34c00546x482S35000575x482S15d39543x554S26500426x531S34500477x482S20320503x549S20320471x549S15d59590x554S15d51556x560S26510397x529
groß,,12848,M570x575S14c48470x532S14c40507x531S30e30457x491S2fb04492x569S30e30517x491S35d04452x482S34400482x483S36100511x483S30e30488x491S26606540x544S26612432x545
Mineralwasser,,7126,M625x574S33b00399x482S34800428x482S35d00457x482S22a00489x511S14c00481x543S22520477x529S36500512x482S36100565x482S34c00538x482S18210584x511S20600603x498
Angabe,,15714,M589x576S34700553x483S35d04469x482S15d26530x557S35000524x482S34c00497x482S34c00411x482S35d00440x482S36d00480x524S26600540x527
Genauigkeit,,7799,M578x614S35d04421x481S34700452x482S35d00482x483S34c00513x482S34600542x482S1ce40494x538S1ce48458x538S25e04494x574S25e14463x575S36e00461x522S2f900497x607S2f900465x609
steigen,steigt,23520,M563x599S22b10468x533S14c58465x566S22b00521x532S14c50516x568S35d00468x482S34500438x482S34c00498x483S34800527x484
fragte,,11437,M563x534S30004482x483S20500496x519S1ce02511x512S26607541x480
Sabrina,,17365,M543x590S31400482x482S33e00482x482S14c02457x540S21100492x543S29a06508x541S36d00479x525S37906452x588S37906502x588
Auffassung,,15843,M625x518S34c00422x483S34600453x482S36500483x482S36100541x482S34c00512x482S14c10602x480S20310578x488S2d500587x471S2f900580x507
Korrosion,,950,M548x620S15050522x589S15058472x588S26600529x549S26610475x550S35d04452x482S35d04512x482S34400482x483
Artikulation_vor_Spiegel,AvS_mit_Symbolen,23157,M595x569S37a05442x449S36a10492x556S36a10503x509S33000489x475S33000521x506S36b00454x488S36b00484x522S36a10462x522S36a10534x540S37b05518x542S37a10441x480S37a10441x450S37705521x469S37a05441x526S37a05486x460S37810540x475S2fb02550x509S2fb02547x516S2fb02544x510S2fb02552x518S37800507x524S37800511x527S37900500x525S37900503x525S37800490x529S37800493x522S37800497x525S2fb00515x475S2fb00545x503S2fb00496x479S2fb00500x478S2fb00502x476S2fb02531x514S2fb02534x509S2fb02536x516S2fb02539x509S2fb02542x517S31430462x502S31630502x491S34c10412x431S35010432x433S35830456x433S35d10487x431S34710509x434S36520533x434S35d14554x432S34810571x434S35730573x454S35c10578x471S33b10577x494S34410580x506S36110577x522S34610577x552S30c30406x479S30a30405x457S30e30406x503S31430408x521S31630410x544S31e30409x554S31f30445x558S33e10465x511S34510574x536S34110506x498S31530409x532S34010555x559S34310530x559
Band,,8068,M560x577S35000453x482S34c00482x482S35d00511x482S1ed26541x514S22b04541x547
sorgfältig,,7821,M536x578S36500468x482S36d00480x520S1ce0a467x528S1ce02506x528S2ea00518x553S2ea4c478x552S34a00496x482
rwth10249,,19321,M535x556S16e03508x530S26500509x513S15d48465x444S15d49491x475S26514485x456S16e42504x493S20500503x486S22a24522x480
Eier,,20540,M590x560S2a502557x537S34c00440x483S34800469x483S2f900540x555S1ed10526x531S34700497x483S35d04525x483
komm,,2183,M549x536S30a00482x488S30300482x477S34e00482x488S10a30526x510S21800531x496S36e00477x520
Gemüsemesser,,14055,M623x592S35d04377x483S34700404x482S33b00431x483S34600457x482S34700557x482S36100487x482S1533f454x556S15337415x557S2e509452x523S2e511421x524S33b00528x482S36100587x482S10049535x547S10041546x544S2f900532x579S21100560x535S27101562x566
beträufeln,beträufelt,23936,M593x570S35000408x483S34700438x483S35d00467x483S34800527x483S34400497x483S36500557x483S18550472x554S22114464x539S22104449x539S26606502x554
Demonstrativpronomen,,5164,M636x594S35d00388x482S34700418x483S33b00446x483S22114610x491S35d00522x482S20e00610x477S35000484x482S34400547x482S10057433x527S1005f397x542S27107457x531S27115406x568S33b00575x483S30006575x483S11511607x499S1ce20512x531S26500502x522
vier,,3506,M548x583S34700512x483S36500452x483S34800482x483S14520506x534S22a04512x568
Kopfbewegung nach links,,14387,M518x523S30102482x477S32402482x488
abstrakt,,16552,M639x518S35d00469x483S14c11606x466S2ea06614x497S34c00525x483S35d04495x483S35000417x483S34c00391x482S36100442x483S35d04548x483S35d00574x482
rwth201305,,21552,M523x571S1c512479x488S22a10486x530S15d1a480x552S1c511480x429S15d0a478x505S22a04488x465S20500513x507
Nationalhymne,,15728,M617x578S2e100569x522S35d00552x483S1002f486x548S10001554x533S2e118500x524S10009524x534S10027594x545S34600494x482S33b00524x482S34700581x483S35d00383x483S34c00412x483S36100443x483S15d51432x539S2e706404x551
übergeben,,1476,M543x544S2b800520x498S30104482x477S30c00482x488S14c32500x520S34600482x488
nichts,,20905,M525x589S30a00483x481S34f10495x500S33530476x497S15d39486x544S15d51502x547S21100502x575
nutzen,"Nutzen, Nützlichkeit, nützen",13723,M562x564S22104538x537S22114509x537S35d00437x482S34600466x482S35d00495x482S36100526x482S18520515x549S18528458x549S22114450x536S22104479x536
Kapital,,11446,M604x587S35d04396x483S34c00424x483S35000453x482S34800481x483S35d00511x482S35c00568x483S34c00539x482S2f900441x582S15d3a439x554S1ea0d458x547S20600466x570
Migräne,,17182,M616x518S35d04467x483S35d00524x483S33b00411x483S34800438x483S34a00495x483S34700553x483S15011588x477S30f00411x483S21800581x469S30f00438x483S30f00467x483S30f00495x483S30f00524x483S30f00553x483
Nettolohn,,15600,M609x604S2f900565x599S15d31557x551S34400546x483S22a04564x581S35d00391x483S35d00449x483S34400478x483S34700421x483S35d00573x482S35c00518x482S15d39438x553S15d51452x560S20600466x545
purple,,10777,M611x546S14051389x496S2a400391x454S14051449x493S2a204481x502S2a204481x518S2f900510x506S14051553x490S2e008590x495S37801579x506
Ball,,3694,M549x626S35000453x482S34c00483x482S35c00511x482S14c50505x533S14c58477x532S14c38479x574S14c30504x574S2a20a528x553S2a212458x554S22f00510x611S22f10471x612
rwth10252,,19324,M550x533S14c50491x467S15819451x470S15819473x507S22a05510x495S14c50526x501S22a15466x488S2fb04505x527
Blickrichtung,,11177,M547x523S30107511x476S30101453x477S30100481x476S32111459x497S32110489x495S32117520x496S33e10463x510S33f10489x508S34010521x509S2f800483x459
kacheln,,9165,M577x575S35c00541x482S35d04423x482S34c00452x482S35800481x482S34700511x482S14758439x543S14750457x543S2f900439x569S26706484x548S23404478x561
Zuneigung,,8847,M552x580S35d00452x482S34c00481x482S34800512x482S18001475x560S26507516x538S2f900463x575S20e00501x550S1804f455x550S18040521x529
Gläser,,22493,M563x598S35d04437x483S35c00467x483S2f900454x593S36100527x483S16d40461x551S34a00497x483S26626485x567S16d48452x571S23400467x533
Volker,,12033,M545x556S31400479x482S33010479x482S34010489x505S1d410516x489S20800518x511S37706475x554S37706504x554
Boje,,13697,M562x615S35000437x482S34400468x482S35700497x482S34700526x482S15451483x536S15439482x592S23624475x566
simultan,Simultaneität,5411,M620x597S35d00527x483S35c00498x482S34c00555x482S33b00439x482S35d00584x482S36100379x482S34600470x482S34800409x482S10e40527x537S10e48402x536S11531474x570S11539454x570S2880d522x573S28815404x575S2f900506x587S2f900433x586
ändern,Veränderung,2625,M533x604S35d00497x483S1f700507x548S2df08501x524S2df1c497x583S21100481x547S34a00466x482S1f729497x555
Ausbildungsziel,,23314,M614x580S15a37434x549S15a31450x556S21100463x543S35000474x484S36100445x484S34600416x484S34c00387x484S34800548x483S35c00578x481S36100517x483S10018545x533S10051582x559S26601553x534
Essen,,5705,M542x542S34700482x483S1f701490x520S26a04515x519
macarena 08,,7515,M560x530S15d22509x490S2f900515x470S37805444x510S3780d524x510S2ff02479x482S3770c444x496S2f900470x472S37704536x497S20500470x478S20500515x475S15d2a467x491S36e00477x518
dieses,,1675,M526x590S32104482x482S35000482x482S10004505x536S22a04513x566S2f900514x585
Afghanistan,,17369,M590x579S34c00428x482S36500457x483S34c00510x483S35d04484x483S35d00537x483S26b02571x510S1ce10568x474S37806436x577S37806477x577S37806552x577S37806516x577S31440557x494
Gebärdenpädagogik,,15235,M599x560S34700431x482S35d04401x482S10011468x498S20500469x486S20500442x518S35000505x482S34a00534x482S35d00563x482S18520554x545S18528521x545S26a00557x528S26a10517x525
vermutlich,,7264,M616x599S36500383x483S35d04437x482S34700410x483S33b00522x483S34600551x483S10020476x490S30007437x482S26506497x505S14c50583x527S2a400583x563S35610580x483
Zwickau,,13294,M622x591S36100413x482S36500440x483S35d04498x483S34800469x483S34c00524x483S34600550x483S37806501x589S37806541x589S37806462x589S37806424x589S33110568x488S10e40607x529S20500568x493S2450a577x519S10e11580x487
Systemadministrator,,12336,M612x579S36100388x481S35d00468x483S20500462x539S20500413x539S34600414x482S36100441x482S15d18393x538S15d10473x541S18010412x551S18018443x551S34c00523x482S33b00576x481S35d00550x481S11e58535x524S11e50561x525S27100558x564S27114515x562
seitdem,,17527,M610x588S34c00419x482S34800447x483S36100390x482S35d00475x482S10050450x532S26606472x545S2f900507x549S35d00515x482S34700544x482S33b00574x482S10004524x546S22a04530x573
rwth200773,,20927,M541x638S2ff00482x483S22a00527x623S15a40527x584S22d00525x525S15a10528x486S14c59437x586
Felix,,22231,M579x613S37806525x611S35c00482x482S34700452x483S37806438x611S10000492x553S2ea0a487x588S37806483x611S36500422x483S36100543x483S34800512x483
Tomatensuppe,,6926,M611x577S35d00389x482S34c00475x482S34400418x482S33b00446x482S15310453x534S15318437x536S20600445x566S36100518x482S34600546x482S35000575x483S1ea0d542x526S2f003575x524
um,,10603,M555x581S33b00496x482S34600467x482S10010535x505S10030540x551S22a04535x541
:,Doppelpunkt,13550,S38a06488x464
Edelweiß,,13520,M636x554S36500492x482S10012588x512S20e00605x529S26a06443x526S34700389x482S34700439x482S34c00519x482S34800547x482S35d00414x482S35c00467x482S36100574x482S1ce20419x524S26506621x510
Recht,,15123,M561x629S10e40510x599S10e48465x599S22b04509x558S22b14466x557S2f900511x592S2f900467x590S35800495x482S34700467x482S35d04439x481S35d00525x483S10e18467x524S10e10509x524
rwth200893,,21153,M525x530S15d01502x471S22a03488x486S15d01475x507S22a07498x496
Wildtier,,8207,M620x595S36500390x481S34800419x481S35c00447x481S35d00474x481S30007474x481S19a10504x475S20500526x469S2df08532x483S19a20547x467S35d00574x483S15050594x564S15058567x555S2eb00598x523S2eb4c575x521
Konstrukteur,,1447,M589x609S10e52493x552S10e02494x586S14c48438x537S14c18439x576S26502471x553S26502473x585S20500459x556S20500462x591S22b04571x579S1ed26570x545S36100527x483S35d04438x482S34400467x483S35d00497x483
Mehl,,6832,M548x578S33b00452x482S34700482x482S35c00512x482S18551468x529S22942476x546S21100487x555S2e902500x531
sogar,,20776,M577x595S15d0a462x567S20e00490x583S10000480x550S22b00477x528S36100423x483S35d04483x483S34400454x484S34c00512x482S35d04541x482S30a30429x489S30a30461x489S30a30490x489S30a30519x487S30a30549x489
Pate,"Patin, Patenschaft",9191,M547x581S35d00511x482S2b701497x558S35000453x482S15d31506x535S15d39465x536S34c00482x482S2b711475x557
rwth200003,,18846,M572x511S15d02505x490S15d0a458x490S26500536x495S26504558x496S26514429x493
Vorhang,,9979,M576x549S1ea20503x526S1ea28478x527S26702532x533S26716428x532S36500425x482S35d04481x483S34400454x482S34c00510x482S35d00540x482
ändern,"umwandeln, anders_ausdrücken",13948,M533x603S33b00497x482S1f709489x547S2df10492x526S2df04495x582S21100473x550S34600467x482S1f721491x557
verschwinden,,6915,M592x557S34500453x482S34800510x482S36500482x482S17d14475x540S17d1c509x540S18514411x540S1851c567x542S26606537x538S26612439x540
Litauen,,1749,M594x566S34800481x483S35c00451x482S37a06462x564S30000513x482S11502544x484S20e00537x471S26506579x485S37a06524x564S37a06482x564S35d00513x482
rwth200039,,18669,M554x509S22a04541x493S22a14446x494S20310520x491S20318466x492
Juni,,9087,M572x566S19220514x533S2a20c486x538S35d00496x482S34600466x482S35700438x482S34800526x482S11950550x527
Countdown,,9072,M549x601S32a10451x480S35010464x503S21a2b460x519S14c00460x528S20301464x580S22a04465x563S33540488x497S33900507x484S33900523x482S33900538x480
Karstadt,,23709,M590x614S34500496x483S34c00439x483S34c00554x483S35d00525x483S35d04410x483S14020410x540S26606445x554S22a04549x560S15a39529x577S20500527x572S15052519x540S37a06425x612S37a06482x612S37a06537x612
Smiley,,15228,M518x517S30a00482x482S34c10497x499
rwth200570,,20666,M553x538S15d29448x504S15d20515x463S29006507x494S15d11494x515S15d20534x495
hungrig,,6867,M539x547S34600467x477S35d00496x477S36a00496x477S20500509x513S1ce02490x525S26500525x515
damit,,17267,M592x570S33b00486x484S34800516x483S35d00548x483S18540566x539S22104572x526S35d00417x482S34c00446x483S10050465x540S26500470x528
Plünderer,,16857,M618x616S35c00410x482S35d00466x482S34600439x482S2ea4c478x573S2ea00513x591S15050508x550S15058471x529S34700493x482S35000382x482S35d00523x481S34700552x483S35d00582x484S1ed26596x531S22b04595x566
Toilettenwasser,,22926,M621x532S35d00379x482S2f000501x505S34600407x482S35c00462x483S34c00433x482S1ea11501x481S34c00558x483S36100585x483S36500532x483S18210592x514S20600583x521
sauer,,3567,M538x546S36100482x482S31500482x482S15001479x519S23607509x516
Autos,,22486,M588x588S34c00425x482S34600455x482S35d00484x483S34400512x482S20301449x532S20303481x532S23109482x557S2311b447x557S2fb04470x577S36100540x482S15d50521x543S26606558x557S23404530x574
