canonical_gloss,synonyms,sid,FSW
miten,,142,M550x568S34c00482x482S2e100502x523S2e118472x523S1ce20528x537S1ce28449x538
moottoripyora,,143,M530x570S34400482x482S20350510x532S20350473x532S23000505x552
n,,10,M507x515S11504492x485
Norja,,144,M602x533S33200482x482S11501496x506S2df08522x503S11550556x492S2480a574x502
Nyt-Tanaan,,4,M524x533S15a30475x468S15a30512x467S22a24475x518S22a24511x517
oma (dien),,145,M540x547S31400482x482S26500526x500S2f900528x492S15a20527x520
oma (sien),,146,M547x548S34c00482x482S26507526x504S2f900536x494S15a20521x521
onnitella,,30,M549x585S11520534x502S11528454x502S33e00482x482S29a04526x549S29a1c457x550
p,,19,M511x512S1da1b489x487
Paiva,,5,M538x558S2ff00482x482S15a01506x533S15a00526x472S15a00459x472S15a07474x535S28810467x508S28808519x508
papa,,11,M537x520S30000482x482S30004482x482S20500483x456S20500481x509S1ea10514x467S22a04519x491
perjantai,,147,M508x533S10150492x467S22b04492x503
Ranska,,148,M542x518S30007482x483S20500517x485S15d10523x440S26500506x451S15d01502x472
routsi,,149,M528x539S37806471x532S15a06501x527S20e00486x518S17d51492x497S18551494x460S22f00495x482
s,,18,M507x507S20320492x492
Saksa,,150,M518x517S34c00482x482S10010493x460S20500479x468
Sana (= word),,40,M517x526S10018483x496S1f010488x496S20500486x473
sina,,1,M507x527S10040492x497S26500492x472
sina,,151,M535x559S30a00482x482S34a00482x482S10050519x529S26500521x516
Sininen,,12,M544x527S2ff00482x482S10000529x497S20500504x495S31400482x482
sinun,,152,M536x554S26500440x511S26500522x509S10050437x523S2f900525x500S15a20523x527S31400482x482
sunnuntai,,153,M508x524S20320492x475S22b04492x494
Suomi,,154,M518x551S20600488x519S10a08473x525S30004482x482
Suomi (= Finland),suomi (= Finnish),38,M543x553S30004482x482S10a00469x527S20500509x528S20500533x530
syntya,,155,M543x583S34400482x482S36d00479x519S36d00478x545S15d40524x525S15d48455x524S15d15472x558S15d1d501x558S2c600523x557S2c611455x555
syödä,,106,M547x518S17e10524x502S33b00482x483S2d500507x494S2d500506x503S20500512x482S20500523x483
syödä,,162,M547x517S17e10524x501S33b00482x482S2d500507x493S2d500506x502S20500512x481S20500523x482
syödä,,171,M518x518S33b00482x483S2d508474x491S2d508476x503S20500483x473S20500473x478S17e08455x502
syödä,,180,M577x550S10010547x451S10018429x470S20500493x480S2d700538x515S2d708422x536
Syödä,,112,M579x555S17e10556x468S33b00514x449S2d500539x460S2d500538x469S20500544x448S20500555x449S33b00451x517S2d500473x531S2d500475x537S20500470x518S20500482x516S18510494x540
Syödä,,178,M535x539S36000482x483S15600519x508S20600487x528
syödä piirros,,109,M571x522S33b00482x483S20500515x479S20500529x480S2d500522x495S2d500523x504S17e10548x507
tanaan,,156,M532x569S34a00482x482S2fb04493x563S23118468x541S23108506x540S15d32504x518S15d3a469x518
Tanska,,157,M534x511S11e02466x488S29906502x495
tavata,,105,M532x527S10010517x473S10018468x497S26507483x497S26503503x477
tavata,,160,M532x527S10010517x473S10018468x497S26507483x497S26503503x477
